codec,video,resolution,fps,number of frames,qp,time(s)
VVENC,ice4cif,704x576,60,0,27,265.486
VVENC,ice4cif,704x576,60,0,37,190.07
VVENC,ice4cif,704x576,60,0,32,224.283
VVENC,ice4cif,704x576,60,0,22,302.967
VVENC,duckstakeoff720p,1280x720,50,0,32,1264.08
VVENC,duckstakeoff720p,1280x720,50,0,37,1106.551
VVENC,duckstakeoff720p,1280x720,50,0,27,1368.644
VVENC,duckstakeoff720p,1280x720,50,0,22,1496.218
VVENC,duckstakeoff1080p,1920x1080,50,0,32,3100.188
VVENC,duckstakeoff1080p,1920x1080,50,0,22,3850.412
VVENC,duckstakeoff1080p,1920x1080,50,0,37,2655.766
VVENC,duckstakeoff1080p,1920x1080,50,0,27,3596.017
VVENC,parkjoy720p,1280x720,50,0,37,1049.172
VVENC,parkjoy720p,1280x720,50,0,22,1181.319
VVENC,parkjoy720p,1280x720,50,0,27,1191.775
VVENC,parkjoy720p,1280x720,50,0,32,1115.071
VVENC,parkjoy2160p,3480x2160,50,0,37,8603.876
VVENC,parkjoy2160p,3480x2160,50,0,32,10443.839
VVENC,parkjoy2160p,3480x2160,50,0,27,12254.198
VVENC,parkjoy2160p,3480x2160,50,0,22,13408.12
VVENC,harbourcif,352x288,30,0,27,110.162
VVENC,harbourcif,352x288,30,0,37,77.178
VVENC,harbourcif,352x288,30,0,32,93.381
VVENC,harbourcif,352x288,30,0,22,118.701
VVENC,harbour4cif,704x576,60,0,27,647.564
VVENC,harbour4cif,704x576,60,0,37,433.417
VVENC,harbour4cif,704x576,60,0,32,549.197
VVENC,harbour4cif,704x576,60,0,22,772.263
VVENC,parkjoy1080p,1920x1080,50,0,32,2513.841
VVENC,parkjoy1080p,1920x1080,50,0,37,2281.682
VVENC,parkjoy1080p,1920x1080,50,0,27,2708.248
VVENC,parkjoy1080p,1920x1080,50,0,22,2777.415
VVENC,duckstakeoff2160p,3480x2160,50,0,32,18656.504
VVENC,duckstakeoff2160p,3480x2160,50,0,22,17906.19
VVENC,duckstakeoff2160p,3480x2160,50,0,27,19220.86
VVENC,duckstakeoff2160p,3480x2160,50,0,37,11999.506
VVENC,icecif,352x288,30,0,27,45.799
VVENC,icecif,352x288,30,0,22,50.522
VVENC,icecif,352x288,30,0,32,39.711
VVENC,icecif,352x288,30,0,37,35.507
VVENC,ice4cif,704x576,60,0,37,169.974
VVENC,ice4cif,704x576,60,0,22,928.694
VVENC,ice4cif,704x576,60,0,32,276.469
VVENC,ice4cif,704x576,60,0,27,469.75
VVENC,duckstakeoff720p,1280x720,50,0,32,1372.947
VVENC,duckstakeoff720p,1280x720,50,0,37,796.013
VVENC,duckstakeoff720p,1280x720,50,0,22,4415.4
VVENC,duckstakeoff720p,1280x720,50,0,27,2416.157
VVENC,duckstakeoff1080p,1920x1080,50,0,37,1532.4
VVENC,duckstakeoff1080p,1920x1080,50,0,22,10153.22
VVENC,duckstakeoff1080p,1920x1080,50,0,32,2805.768
VVENC,duckstakeoff1080p,1920x1080,50,0,27,5194.375
VVENC,parkjoy720p,1280x720,50,0,37,518.58
VVENC,parkjoy720p,1280x720,50,0,27,1523.677
VVENC,parkjoy720p,1280x720,50,0,22,2454.552
VVENC,parkjoy720p,1280x720,50,0,32,880.214
VVENC,parkjoy2160p,3480x2160,50,0,37,2876.608
VVENC,parkjoy2160p,3480x2160,50,0,32,5083.234
VVENC,parkjoy2160p,3480x2160,50,0,27,9270.151
VVENC,parkjoy2160p,3480x2160,50,0,22,18390.784
VVENC,harbourcif,352x288,30,0,37,47.742
VVENC,harbourcif,352x288,30,0,32,72.575
VVENC,harbourcif,352x288,30,0,27,114.76
VVENC,harbourcif,352x288,30,0,22,185.101
VVENC,harbour4cif,704x576,60,0,32,420.703
VVENC,harbour4cif,704x576,60,0,27,689.891
VVENC,harbour4cif,704x576,60,0,22,1283.029
