codec,video,resolution,fps,number of frames,qp,time(s)
EVC,ice4cif,704x576,60,0,32,31.19
EVC,ice4cif,704x576,60,0,32,33.337
EVC,ice4cif,704x576,60,0,37,85.543
EVC,ice4cif,704x576,60,0,22,43.607
EVC,ice4cif,704x576,60,0,27,35.81
EVC,ice4cif,704x576,60,0,27,107.158
EVC,ice4cif,704x576,60,0,22,42.999
EVC,ice4cif,704x576,60,0,37,28.682
EVC,ice4cif,704x576,60,0,27,37.723
EVC,ice4cif,704x576,60,0,37,27.23
EVC,ice4cif,704x576,60,0,32,95.944
EVC,ice4cif,704x576,60,0,22,117.206
EVC,duckstakeoff720p,1280x720,50,0,37,57.023
EVC,duckstakeoff720p,1280x720,50,0,22,155.451
EVC,duckstakeoff720p,1280x720,50,0,27,102.373
EVC,duckstakeoff720p,1280x720,50,0,32,74.099
EVC,duckstakeoff720p,1280x720,50,0,27,130.326
EVC,duckstakeoff720p,1280x720,50,0,27,420.902
EVC,duckstakeoff720p,1280x720,50,0,22,203.669
EVC,duckstakeoff720p,1280x720,50,0,37,234.649
EVC,duckstakeoff720p,1280x720,50,0,22,645.656
EVC,duckstakeoff720p,1280x720,50,0,37,73.679
EVC,duckstakeoff720p,1280x720,50,0,32,307.775
EVC,duckstakeoff720p,1280x720,50,0,32,95.188
EVC,duckstakeoff1080p,1920x1080,50,0,32,718.146
EVC,duckstakeoff1080p,1920x1080,50,0,22,447.384
EVC,duckstakeoff1080p,1920x1080,50,0,32,208.893
EVC,duckstakeoff1080p,1920x1080,50,0,22,1528.173
EVC,duckstakeoff1080p,1920x1080,50,0,37,550.64
EVC,duckstakeoff1080p,1920x1080,50,0,27,287.244
EVC,duckstakeoff1080p,1920x1080,50,0,37,100.278
EVC,duckstakeoff1080p,1920x1080,50,0,22,279.777
EVC,duckstakeoff1080p,1920x1080,50,0,27,182.155
EVC,duckstakeoff1080p,1920x1080,50,0,37,158.853
EVC,duckstakeoff1080p,1920x1080,50,0,27,985.733
EVC,duckstakeoff1080p,1920x1080,50,0,32,130.102
EVC,parkjoy720p,1280x720,50,0,37,223.612
EVC,parkjoy720p,1280x720,50,0,22,207.974
EVC,parkjoy720p,1280x720,50,0,22,558.323
EVC,parkjoy720p,1280x720,50,0,22,160.224
EVC,parkjoy720p,1280x720,50,0,32,78.728
EVC,parkjoy720p,1280x720,50,0,37,80.741
EVC,parkjoy720p,1280x720,50,0,27,361.34
EVC,parkjoy720p,1280x720,50,0,27,138.494
EVC,parkjoy720p,1280x720,50,0,32,280.355
EVC,parkjoy720p,1280x720,50,0,37,61.164
EVC,parkjoy720p,1280x720,50,0,27,106.753
EVC,parkjoy720p,1280x720,50,0,32,103.682
EVC,parkjoy2160p,3480x2160,50,0,32,2482.961
EVC,parkjoy2160p,3480x2160,50,0,27,578.284
EVC,parkjoy2160p,3480x2160,50,0,27,3207.65
EVC,parkjoy2160p,3480x2160,50,0,32,740.878
EVC,parkjoy2160p,3480x2160,50,0,37,594.551
EVC,parkjoy2160p,3480x2160,50,0,37,365.074
EVC,parkjoy2160p,3480x2160,50,0,37,2052.842
