codec,video,resolution,fps,number of frames,qp,time(s)
SVT,ice4cif,704x576,60,0,27,48.277
SVT,ice4cif,704x576,60,0,32,63.814
SVT,ice4cif,704x576,60,0,27,265.486
SVT,ice4cif,704x576,60,0,37,190.07
SVT,ice4cif,704x576,60,0,27,70.317
SVT,ice4cif,704x576,60,0,32,224.283
SVT,ice4cif,704x576,60,0,37,37.757
SVT,ice4cif,704x576,60,0,32,43.905
SVT,ice4cif,704x576,60,0,22,52.073
SVT,ice4cif,704x576,60,0,22,75.71
SVT,ice4cif,704x576,60,0,37,55.452
SVT,ice4cif,704x576,60,0,22,302.967
SVT,duckstakeoff720p,1280x720,50,0,22,198.367
SVT,duckstakeoff720p,1280x720,50,0,32,1264.08
SVT,duckstakeoff720p,1280x720,50,0,37,1106.551
SVT,duckstakeoff720p,1280x720,50,0,27,1368.644
SVT,duckstakeoff720p,1280x720,50,0,22,279.679
SVT,duckstakeoff720p,1280x720,50,0,22,1496.218
SVT,duckstakeoff720p,1280x720,50,0,27,188.155
SVT,duckstakeoff720p,1280x720,50,0,32,245.762
SVT,duckstakeoff720p,1280x720,50,0,37,227.389
SVT,duckstakeoff720p,1280x720,50,0,32,173.575
SVT,duckstakeoff720p,1280x720,50,0,37,161.876
SVT,duckstakeoff720p,1280x720,50,0,27,266.118
SVT,duckstakeoff1080p,1920x1080,50,0,27,370.325
SVT,duckstakeoff1080p,1920x1080,50,0,32,431.907
SVT,duckstakeoff1080p,1920x1080,50,0,32,3100.188
SVT,duckstakeoff1080p,1920x1080,50,0,22,3850.412
SVT,duckstakeoff1080p,1920x1080,50,0,27,493.89
SVT,duckstakeoff1080p,1920x1080,50,0,32,326.877
SVT,duckstakeoff1080p,1920x1080,50,0,22,382.137
SVT,duckstakeoff1080p,1920x1080,50,0,37,384.309
SVT,duckstakeoff1080p,1920x1080,50,0,37,291.449
SVT,duckstakeoff1080p,1920x1080,50,0,37,2655.766
SVT,duckstakeoff1080p,1920x1080,50,0,27,3596.017
SVT,duckstakeoff1080p,1920x1080,50,0,22,517.363
SVT,parkjoy720p,1280x720,50,0,37,1049.172
SVT,parkjoy720p,1280x720,50,0,37,240.31
SVT,parkjoy720p,1280x720,50,0,32,253.248
SVT,parkjoy720p,1280x720,50,0,27,183.063
SVT,parkjoy720p,1280x720,50,0,37,161.418
SVT,parkjoy720p,1280x720,50,0,32,172.863
SVT,parkjoy720p,1280x720,50,0,22,268.619
SVT,parkjoy720p,1280x720,50,0,22,181.979
SVT,parkjoy720p,1280x720,50,0,22,1181.319
