codec,video,resolution,fps,number of frames,qp,time(s)
VVENC,ice4cif,704x576,60,0,22,364.08
VVENC,ice4cif,704x576,60,0,37,169.974
VVENC,ice4cif,704x576,60,0,27,188.744
VVENC,ice4cif,704x576,60,0,27,202.533
VVENC,ice4cif,704x576,60,0,37,70.944
VVENC,ice4cif,704x576,60,0,32,112.224
VVENC,ice4cif,704x576,60,0,22,928.694
VVENC,ice4cif,704x576,60,0,22,324.214
VVENC,ice4cif,704x576,60,0,32,276.469
VVENC,ice4cif,704x576,60,0,37,76.391
VVENC,ice4cif,704x576,60,0,27,469.75
VVENC,ice4cif,704x576,60,0,32,120.713
VVENC,duckstakeoff720p,1280x720,50,0,22,1295.195
VVENC,duckstakeoff720p,1280x720,50,0,22,910.052
VVENC,duckstakeoff720p,1280x720,50,0,27,732.823
VVENC,duckstakeoff720p,1280x720,50,0,32,1372.947
VVENC,duckstakeoff720p,1280x720,50,0,37,796.013
VVENC,duckstakeoff720p,1280x720,50,0,27,566.751
VVENC,duckstakeoff720p,1280x720,50,0,22,4415.4
VVENC,duckstakeoff720p,1280x720,50,0,37,211.084
VVENC,duckstakeoff720p,1280x720,50,0,37,256.106
VVENC,duckstakeoff720p,1280x720,50,0,27,2416.157
VVENC,duckstakeoff720p,1280x720,50,0,32,353.226
VVENC,duckstakeoff720p,1280x720,50,0,32,434.186
VVENC,duckstakeoff1080p,1920x1080,50,0,32,539.489
VVENC,duckstakeoff1080p,1920x1080,50,0,37,1532.4
VVENC,duckstakeoff1080p,1920x1080,50,0,22,10153.22
VVENC,duckstakeoff1080p,1920x1080,50,0,37,431.37
VVENC,duckstakeoff1080p,1920x1080,50,0,22,2869.593
VVENC,duckstakeoff1080p,1920x1080,50,0,22,1724.996
VVENC,duckstakeoff1080p,1920x1080,50,0,32,2805.768
VVENC,duckstakeoff1080p,1920x1080,50,0,27,5194.375
VVENC,duckstakeoff1080p,1920x1080,50,0,27,954.049
VVENC,duckstakeoff1080p,1920x1080,50,0,32,785.317
VVENC,duckstakeoff1080p,1920x1080,50,0,37,306.859
VVENC,duckstakeoff1080p,1920x1080,50,0,27,1460.092
VVENC,parkjoy720p,1280x720,50,0,37,185.498
VVENC,parkjoy720p,1280x720,50,0,27,498.457
VVENC,parkjoy720p,1280x720,50,0,22,621.837
VVENC,parkjoy720p,1280x720,50,0,37,518.58
VVENC,parkjoy720p,1280x720,50,0,27,421.707
VVENC,parkjoy720p,1280x720,50,0,37,165.565
VVENC,parkjoy720p,1280x720,50,0,27,1523.677
VVENC,parkjoy720p,1280x720,50,0,32,308.209
VVENC,parkjoy720p,1280x720,50,0,22,2454.552
VVENC,parkjoy720p,1280x720,50,0,32,880.214
VVENC,parkjoy720p,1280x720,50,0,32,272.591
VVENC,parkjoy720p,1280x720,50,0,22,784.991
VVENC,parkjoy2160p,3480x2160,50,0,37,792.189
VVENC,parkjoy2160p,3480x2160,50,0,32,814.306
VVENC,parkjoy2160p,3480x2160,50,0,32,1385.879
VVENC,parkjoy2160p,3480x2160,50,0,22,4765.15
VVENC,parkjoy2160p,3480x2160,50,0,37,2876.608
VVENC,parkjoy2160p,3480x2160,50,0,22,2676.901
VVENC,parkjoy2160p,3480x2160,50,0,32,5083.234
VVENC,parkjoy2160p,3480x2160,50,0,37,467.933
VVENC,parkjoy2160p,3480x2160,50,0,27,9270.151
VVENC,parkjoy2160p,3480x2160,50,0,22,18390.784
VVENC,parkjoy2160p,3480x2160,50,0,27,2488.427
VVENC,parkjoy2160p,3480x2160,50,0,27,1441.056
VVENC,harbourcif,352x288,30,0,37,47.742
VVENC,harbourcif,352x288,30,0,32,41.067
VVENC,harbourcif,352x288,30,0,32,41.355
VVENC,harbourcif,352x288,30,0,22,81.257
VVENC,harbourcif,352x288,30,0,32,72.575
VVENC,harbourcif,352x288,30,0,37,28.133
VVENC,harbourcif,352x288,30,0,27,114.76
VVENC,harbourcif,352x288,30,0,37,28.031
VVENC,harbourcif,352x288,30,0,22,84.408
VVENC,harbourcif,352x288,30,0,27,59.204
VVENC,harbourcif,352x288,30,0,22,185.101
VVENC,harbourcif,352x288,30,0,27,57.923
VVENC,harbour4cif,704x576,60,0,32,420.703
VVENC,harbour4cif,704x576,60,0,27,230.229
VVENC,harbour4cif,704x576,60,0,22,371.661
VVENC,harbour4cif,704x576,60,0,37,109.744
VVENC,harbour4cif,704x576,60,0,22,453.643
VVENC,harbour4cif,704x576,60,0,37,116.849
VVENC,harbour4cif,704x576,60,0,32,171.651
VVENC,harbour4cif,704x576,60,0,32,155.365
VVENC,harbour4cif,704x576,60,0,27,689.891
VVENC,harbour4cif,704x576,60,0,22,1283.029
VVENC,harbour4cif,704x576,60,0,37,274.737
