Picture Number:    0	 QP:    8  [ PSNR-Y: 39.44 dB,	PSNR-U: 46.48 dB,	PSNR-V: 48.24 dB,	MSE-Y: 7.40,	MSE-U: 1.46,	MSE-V: 0.98,	SSIM-Y: 0.98538,	SSIM-U: 0.98090,	SSIM-V: 0.98663 ]	  74334 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 39.83 dB,	PSNR-U: 46.12 dB,	PSNR-V: 47.88 dB,	MSE-Y: 6.77,	MSE-U: 1.59,	MSE-V: 1.06,	SSIM-Y: 0.98647,	SSIM-U: 0.97947,	SSIM-V: 0.98567 ]	 201675 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 40.49 dB,	PSNR-U: 45.90 dB,	PSNR-V: 47.75 dB,	MSE-Y: 5.81,	MSE-U: 1.67,	MSE-V: 1.09,	SSIM-Y: 0.98812,	SSIM-U: 0.97838,	SSIM-V: 0.98527 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 39.79 dB,	PSNR-U: 45.78 dB,	PSNR-V: 47.60 dB,	MSE-Y: 6.82,	MSE-U: 1.72,	MSE-V: 1.13,	SSIM-Y: 0.98623,	SSIM-U: 0.97793,	SSIM-V: 0.98481 ]	  16284 bytes
Picture Number:    4	 QP:   20  [ PSNR-Y: 40.75 dB,	PSNR-U: 45.66 dB,	PSNR-V: 47.47 dB,	MSE-Y: 5.47,	MSE-U: 1.77,	MSE-V: 1.16,	SSIM-Y: 0.98876,	SSIM-U: 0.97732,	SSIM-V: 0.98444 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 39.75 dB,	PSNR-U: 45.52 dB,	PSNR-V: 47.41 dB,	MSE-Y: 6.89,	MSE-U: 1.82,	MSE-V: 1.18,	SSIM-Y: 0.98630,	SSIM-U: 0.97665,	SSIM-V: 0.98425 ]	  41347 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 40.46 dB,	PSNR-U: 45.50 dB,	PSNR-V: 47.45 dB,	MSE-Y: 5.85,	MSE-U: 1.83,	MSE-V: 1.17,	SSIM-Y: 0.98808,	SSIM-U: 0.97649,	SSIM-V: 0.98431 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 39.99 dB,	PSNR-U: 45.86 dB,	PSNR-V: 47.63 dB,	MSE-Y: 6.52,	MSE-U: 1.69,	MSE-V: 1.12,	SSIM-Y: 0.98589,	SSIM-U: 0.97820,	SSIM-V: 0.98492 ]	  13845 bytes
Picture Number:    8	 QP:   18  [ PSNR-Y: 41.99 dB,	PSNR-U: 46.32 dB,	PSNR-V: 47.90 dB,	MSE-Y: 4.11,	MSE-U: 1.52,	MSE-V: 1.06,	SSIM-Y: 0.98983,	SSIM-U: 0.98034,	SSIM-V: 0.98584 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 39.76 dB,	PSNR-U: 45.47 dB,	PSNR-V: 47.35 dB,	MSE-Y: 6.87,	MSE-U: 1.84,	MSE-V: 1.20,	SSIM-Y: 0.98631,	SSIM-U: 0.97632,	SSIM-V: 0.98411 ]	  72132 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 40.48 dB,	PSNR-U: 45.62 dB,	PSNR-V: 47.45 dB,	MSE-Y: 5.83,	MSE-U: 1.78,	MSE-V: 1.17,	SSIM-Y: 0.98803,	SSIM-U: 0.97714,	SSIM-V: 0.98446 ]	      5 bytes
Picture Number:   11	 QP:   22  [ PSNR-Y: 39.77 dB,	PSNR-U: 45.55 dB,	PSNR-V: 47.43 dB,	MSE-Y: 6.86,	MSE-U: 1.81,	MSE-V: 1.18,	SSIM-Y: 0.98614,	SSIM-U: 0.97680,	SSIM-V: 0.98437 ]	  16540 bytes
Picture Number:   12	 QP:   20  [ PSNR-Y: 40.76 dB,	PSNR-U: 45.54 dB,	PSNR-V: 47.53 dB,	MSE-Y: 5.46,	MSE-U: 1.82,	MSE-V: 1.15,	SSIM-Y: 0.98860,	SSIM-U: 0.97674,	SSIM-V: 0.98468 ]	      5 bytes
Picture Number:   13	 QP:   22  [ PSNR-Y: 39.76 dB,	PSNR-U: 45.54 dB,	PSNR-V: 47.45 dB,	MSE-Y: 6.87,	MSE-U: 1.82,	MSE-V: 1.17,	SSIM-Y: 0.98609,	SSIM-U: 0.97671,	SSIM-V: 0.98444 ]	  38969 bytes
Picture Number:   14	 QP:   21  [ PSNR-Y: 40.68 dB,	PSNR-U: 45.86 dB,	PSNR-V: 47.72 dB,	MSE-Y: 5.56,	MSE-U: 1.69,	MSE-V: 1.10,	SSIM-Y: 0.98795,	SSIM-U: 0.97836,	SSIM-V: 0.98535 ]	      5 bytes
Picture Number:   15	 QP:   22  [ PSNR-Y: 39.88 dB,	PSNR-U: 45.81 dB,	PSNR-V: 47.64 dB,	MSE-Y: 6.68,	MSE-U: 1.71,	MSE-V: 1.12,	SSIM-Y: 0.98655,	SSIM-U: 0.97802,	SSIM-V: 0.98510 ]	  13300 bytes
Picture Number:   16	 QP:   13  [ PSNR-Y: 39.42 dB,	PSNR-U: 45.92 dB,	PSNR-V: 47.72 dB,	MSE-Y: 7.44,	MSE-U: 1.66,	MSE-V: 1.10,	SSIM-Y: 0.98578,	SSIM-U: 0.97852,	SSIM-V: 0.98526 ]	      5 bytes
Picture Number:   17	 QP:   22  [ PSNR-Y: 39.83 dB,	PSNR-U: 45.87 dB,	PSNR-V: 47.65 dB,	MSE-Y: 6.76,	MSE-U: 1.68,	MSE-V: 1.12,	SSIM-Y: 0.98650,	SSIM-U: 0.97844,	SSIM-V: 0.98513 ]	 103440 bytes
Picture Number:   18	 QP:   21  [ PSNR-Y: 40.46 dB,	PSNR-U: 45.61 dB,	PSNR-V: 47.49 dB,	MSE-Y: 5.85,	MSE-U: 1.79,	MSE-V: 1.16,	SSIM-Y: 0.98814,	SSIM-U: 0.97722,	SSIM-V: 0.98457 ]	      5 bytes
