Picture Number:    0	 QP:    9  [ PSNR-Y: 38.49 dB,	PSNR-U: 46.32 dB,	PSNR-V: 47.56 dB,	MSE-Y: 9.20,	MSE-U: 1.52,	MSE-V: 1.14,	SSIM-Y: 0.98931,	SSIM-U: 0.98018,	SSIM-V: 0.98435 ]	  29683 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 39.17 dB,	PSNR-U: 46.08 dB,	PSNR-V: 47.38 dB,	MSE-Y: 7.87,	MSE-U: 1.60,	MSE-V: 1.19,	SSIM-Y: 0.99062,	SSIM-U: 0.97920,	SSIM-V: 0.98375 ]	  73492 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 39.76 dB,	PSNR-U: 45.65 dB,	PSNR-V: 46.99 dB,	MSE-Y: 6.87,	MSE-U: 1.77,	MSE-V: 1.30,	SSIM-Y: 0.99154,	SSIM-U: 0.97726,	SSIM-V: 0.98234 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 38.98 dB,	PSNR-U: 45.44 dB,	PSNR-V: 46.94 dB,	MSE-Y: 8.22,	MSE-U: 1.86,	MSE-V: 1.32,	SSIM-Y: 0.98988,	SSIM-U: 0.97629,	SSIM-V: 0.98220 ]	   5140 bytes
Picture Number:    4	 QP:   20  [ PSNR-Y: 40.42 dB,	PSNR-U: 45.64 dB,	PSNR-V: 47.11 dB,	MSE-Y: 5.90,	MSE-U: 1.77,	MSE-V: 1.26,	SSIM-Y: 0.99186,	SSIM-U: 0.97757,	SSIM-V: 0.98292 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 38.96 dB,	PSNR-U: 45.31 dB,	PSNR-V: 46.78 dB,	MSE-Y: 8.26,	MSE-U: 1.92,	MSE-V: 1.37,	SSIM-Y: 0.98975,	SSIM-U: 0.97578,	SSIM-V: 0.98164 ]	  13246 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 39.78 dB,	PSNR-U: 45.35 dB,	PSNR-V: 46.93 dB,	MSE-Y: 6.84,	MSE-U: 1.89,	MSE-V: 1.32,	SSIM-Y: 0.99135,	SSIM-U: 0.97612,	SSIM-V: 0.98227 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 39.15 dB,	PSNR-U: 45.52 dB,	PSNR-V: 47.05 dB,	MSE-Y: 7.91,	MSE-U: 1.82,	MSE-V: 1.28,	SSIM-Y: 0.99003,	SSIM-U: 0.97697,	SSIM-V: 0.98286 ]	   4624 bytes
Picture Number:    8	 QP:   18  [ PSNR-Y: 41.06 dB,	PSNR-U: 45.39 dB,	PSNR-V: 47.09 dB,	MSE-Y: 5.10,	MSE-U: 1.88,	MSE-V: 1.27,	SSIM-Y: 0.99359,	SSIM-U: 0.97608,	SSIM-V: 0.98286 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 38.89 dB,	PSNR-U: 45.37 dB,	PSNR-V: 47.01 dB,	MSE-Y: 8.39,	MSE-U: 1.89,	MSE-V: 1.30,	SSIM-Y: 0.98976,	SSIM-U: 0.97611,	SSIM-V: 0.98276 ]	  22987 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 39.79 dB,	PSNR-U: 45.35 dB,	PSNR-V: 46.93 dB,	MSE-Y: 6.83,	MSE-U: 1.90,	MSE-V: 1.32,	SSIM-Y: 0.99141,	SSIM-U: 0.97616,	SSIM-V: 0.98271 ]	      5 bytes
