Picture Number:    0	 QP:    4  [ PSNR-Y: 43.77 dB,	PSNR-U: 50.53 dB,	PSNR-V: 50.60 dB,	MSE-Y: 2.73,	MSE-U: 0.58,	MSE-V: 0.57,	SSIM-Y: 0.97924,	SSIM-U: 0.99309,	SSIM-V: 0.99316 ]	  47878 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 43.50 dB,	PSNR-U: 50.33 dB,	PSNR-V: 50.49 dB,	MSE-Y: 2.90,	MSE-U: 0.60,	MSE-V: 0.58,	SSIM-Y: 0.97894,	SSIM-U: 0.99277,	SSIM-V: 0.99307 ]	  82702 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 43.82 dB,	PSNR-U: 50.14 dB,	PSNR-V: 50.43 dB,	MSE-Y: 2.70,	MSE-U: 0.63,	MSE-V: 0.59,	SSIM-Y: 0.97934,	SSIM-U: 0.99243,	SSIM-V: 0.99283 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 43.23 dB,	PSNR-U: 50.10 dB,	PSNR-V: 50.29 dB,	MSE-Y: 3.09,	MSE-U: 0.64,	MSE-V: 0.61,	SSIM-Y: 0.97782,	SSIM-U: 0.99238,	SSIM-V: 0.99256 ]	   2832 bytes
Picture Number:    4	 QP:   19  [ PSNR-Y: 43.96 dB,	PSNR-U: 49.92 dB,	PSNR-V: 50.27 dB,	MSE-Y: 2.62,	MSE-U: 0.66,	MSE-V: 0.61,	SSIM-Y: 0.97881,	SSIM-U: 0.99210,	SSIM-V: 0.99255 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 43.33 dB,	PSNR-U: 49.99 dB,	PSNR-V: 50.32 dB,	MSE-Y: 3.02,	MSE-U: 0.65,	MSE-V: 0.60,	SSIM-Y: 0.97853,	SSIM-U: 0.99234,	SSIM-V: 0.99288 ]	   8584 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 43.72 dB,	PSNR-U: 49.94 dB,	PSNR-V: 50.23 dB,	MSE-Y: 2.76,	MSE-U: 0.66,	MSE-V: 0.62,	SSIM-Y: 0.97860,	SSIM-U: 0.99227,	SSIM-V: 0.99266 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 43.29 dB,	PSNR-U: 50.01 dB,	PSNR-V: 50.28 dB,	MSE-Y: 3.05,	MSE-U: 0.65,	MSE-V: 0.61,	SSIM-Y: 0.97826,	SSIM-U: 0.99235,	SSIM-V: 0.99290 ]	   2842 bytes
Picture Number:    8	 QP:   15  [ PSNR-Y: 44.99 dB,	PSNR-U: 50.06 dB,	PSNR-V: 50.36 dB,	MSE-Y: 2.06,	MSE-U: 0.64,	MSE-V: 0.60,	SSIM-Y: 0.98202,	SSIM-U: 0.99229,	SSIM-V: 0.99289 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 43.29 dB,	PSNR-U: 49.94 dB,	PSNR-V: 50.26 dB,	MSE-Y: 3.05,	MSE-U: 0.66,	MSE-V: 0.61,	SSIM-Y: 0.97877,	SSIM-U: 0.99219,	SSIM-V: 0.99289 ]	  17777 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 43.86 dB,	PSNR-U: 50.01 dB,	PSNR-V: 50.38 dB,	MSE-Y: 2.67,	MSE-U: 0.65,	MSE-V: 0.60,	SSIM-Y: 0.98006,	SSIM-U: 0.99234,	SSIM-V: 0.99307 ]	      5 bytes
