Picture Number:    0	 QP:   11  [ PSNR-Y: 41.86 dB,	PSNR-U: 48.43 dB,	PSNR-V: 48.55 dB,	MSE-Y: 4.24,	MSE-U: 0.93,	MSE-V: 0.91,	SSIM-Y: 0.97151,	SSIM-U: 0.98940,	SSIM-V: 0.99012 ]	  23662 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 41.06 dB,	PSNR-U: 48.32 dB,	PSNR-V: 48.50 dB,	MSE-Y: 5.09,	MSE-U: 0.96,	MSE-V: 0.92,	SSIM-Y: 0.97045,	SSIM-U: 0.98921,	SSIM-V: 0.99021 ]	  39130 bytes
Picture Number:    2	 QP:   35  [ PSNR-Y: 41.01 dB,	PSNR-U: 48.29 dB,	PSNR-V: 48.60 dB,	MSE-Y: 5.16,	MSE-U: 0.96,	MSE-V: 0.90,	SSIM-Y: 0.96950,	SSIM-U: 0.98905,	SSIM-V: 0.98996 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 40.56 dB,	PSNR-U: 48.21 dB,	PSNR-V: 48.48 dB,	MSE-Y: 5.71,	MSE-U: 0.98,	MSE-V: 0.92,	SSIM-Y: 0.96791,	SSIM-U: 0.98885,	SSIM-V: 0.98966 ]	    842 bytes
Picture Number:    4	 QP:   33  [ PSNR-Y: 41.00 dB,	PSNR-U: 48.10 dB,	PSNR-V: 48.48 dB,	MSE-Y: 5.16,	MSE-U: 1.01,	MSE-V: 0.92,	SSIM-Y: 0.96812,	SSIM-U: 0.98870,	SSIM-V: 0.98984 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 40.58 dB,	PSNR-U: 48.36 dB,	PSNR-V: 48.53 dB,	MSE-Y: 5.69,	MSE-U: 0.95,	MSE-V: 0.91,	SSIM-Y: 0.96878,	SSIM-U: 0.98937,	SSIM-V: 0.99031 ]	   2574 bytes
Picture Number:    6	 QP:   35  [ PSNR-Y: 40.69 dB,	PSNR-U: 48.17 dB,	PSNR-V: 48.51 dB,	MSE-Y: 5.54,	MSE-U: 0.99,	MSE-V: 0.92,	SSIM-Y: 0.96768,	SSIM-U: 0.98892,	SSIM-V: 0.99028 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 40.65 dB,	PSNR-U: 48.18 dB,	PSNR-V: 48.49 dB,	MSE-Y: 5.60,	MSE-U: 0.99,	MSE-V: 0.92,	SSIM-Y: 0.96836,	SSIM-U: 0.98902,	SSIM-V: 0.99028 ]	    781 bytes
Picture Number:    8	 QP:   28  [ PSNR-Y: 41.93 dB,	PSNR-U: 48.12 dB,	PSNR-V: 48.58 dB,	MSE-Y: 4.17,	MSE-U: 1.00,	MSE-V: 0.90,	SSIM-Y: 0.97173,	SSIM-U: 0.98866,	SSIM-V: 0.99029 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 40.59 dB,	PSNR-U: 48.18 dB,	PSNR-V: 48.47 dB,	MSE-Y: 5.67,	MSE-U: 0.99,	MSE-V: 0.93,	SSIM-Y: 0.96917,	SSIM-U: 0.98885,	SSIM-V: 0.99037 ]	   6006 bytes
Picture Number:   10	 QP:   35  [ PSNR-Y: 40.74 dB,	PSNR-U: 48.19 dB,	PSNR-V: 48.42 dB,	MSE-Y: 5.48,	MSE-U: 0.99,	MSE-V: 0.94,	SSIM-Y: 0.96945,	SSIM-U: 0.98899,	SSIM-V: 0.99046 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 40.46 dB,	PSNR-U: 48.04 dB,	PSNR-V: 48.17 dB,	MSE-Y: 5.85,	MSE-U: 1.02,	MSE-V: 0.99,	SSIM-Y: 0.96912,	SSIM-U: 0.98867,	SSIM-V: 0.99008 ]	    846 bytes
Picture Number:   12	 QP:   33  [ PSNR-Y: 41.25 dB,	PSNR-U: 48.36 dB,	PSNR-V: 48.66 dB,	MSE-Y: 4.87,	MSE-U: 0.95,	MSE-V: 0.89,	SSIM-Y: 0.97213,	SSIM-U: 0.98940,	SSIM-V: 0.99101 ]	      5 bytes
