Picture Number:    0	 QP:    9  [ PSNR-Y: 39.50 dB,	PSNR-U: 40.52 dB,	PSNR-V: 41.09 dB,	MSE-Y: 7.30,	MSE-U: 5.77,	MSE-V: 5.06,	SSIM-Y: 0.93757,	SSIM-U: 0.94903,	SSIM-V: 0.94657 ]	 901966 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 39.44 dB,	PSNR-U: 40.48 dB,	PSNR-V: 41.19 dB,	MSE-Y: 7.40,	MSE-U: 5.82,	MSE-V: 4.94,	SSIM-Y: 0.93933,	SSIM-U: 0.94715,	SSIM-V: 0.94229 ]	 3849054 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 40.60 dB,	PSNR-U: 41.27 dB,	PSNR-V: 41.64 dB,	MSE-Y: 5.67,	MSE-U: 4.85,	MSE-V: 4.45,	SSIM-Y: 0.95040,	SSIM-U: 0.95437,	SSIM-V: 0.94732 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 39.63 dB,	PSNR-U: 40.64 dB,	PSNR-V: 41.25 dB,	MSE-Y: 7.09,	MSE-U: 5.61,	MSE-V: 4.87,	SSIM-Y: 0.94150,	SSIM-U: 0.94951,	SSIM-V: 0.94317 ]	 274345 bytes
Picture Number:    4	 QP:   19  [ PSNR-Y: 40.89 dB,	PSNR-U: 41.76 dB,	PSNR-V: 41.96 dB,	MSE-Y: 5.30,	MSE-U: 4.34,	MSE-V: 4.14,	SSIM-Y: 0.95094,	SSIM-U: 0.95715,	SSIM-V: 0.94961 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 39.50 dB,	PSNR-U: 40.76 dB,	PSNR-V: 41.36 dB,	MSE-Y: 7.29,	MSE-U: 5.46,	MSE-V: 4.75,	SSIM-Y: 0.93635,	SSIM-U: 0.94926,	SSIM-V: 0.94316 ]	 718432 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 40.62 dB,	PSNR-U: 41.57 dB,	PSNR-V: 41.88 dB,	MSE-Y: 5.63,	MSE-U: 4.52,	MSE-V: 4.22,	SSIM-Y: 0.94714,	SSIM-U: 0.95551,	SSIM-V: 0.94798 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 39.77 dB,	PSNR-U: 41.00 dB,	PSNR-V: 41.54 dB,	MSE-Y: 6.85,	MSE-U: 5.16,	MSE-V: 4.56,	SSIM-Y: 0.93781,	SSIM-U: 0.95091,	SSIM-V: 0.94423 ]	 288322 bytes
Picture Number:    8	 QP:   17  [ PSNR-Y: 41.58 dB,	PSNR-U: 42.44 dB,	PSNR-V: 42.54 dB,	MSE-Y: 4.52,	MSE-U: 3.71,	MSE-V: 3.63,	SSIM-Y: 0.95580,	SSIM-U: 0.96128,	SSIM-V: 0.95374 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 39.67 dB,	PSNR-U: 40.95 dB,	PSNR-V: 41.49 dB,	MSE-Y: 7.01,	MSE-U: 5.22,	MSE-V: 4.61,	SSIM-Y: 0.93592,	SSIM-U: 0.94958,	SSIM-V: 0.94339 ]	 1392706 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 40.38 dB,	PSNR-U: 41.36 dB,	PSNR-V: 41.69 dB,	MSE-Y: 5.96,	MSE-U: 4.76,	MSE-V: 4.41,	SSIM-Y: 0.94428,	SSIM-U: 0.95286,	SSIM-V: 0.94549 ]	      5 bytes
Picture Number:   11	 QP:   22  [ PSNR-Y: 39.57 dB,	PSNR-U: 40.72 dB,	PSNR-V: 41.39 dB,	MSE-Y: 7.18,	MSE-U: 5.51,	MSE-V: 4.72,	SSIM-Y: 0.93744,	SSIM-U: 0.94781,	SSIM-V: 0.94239 ]	 250696 bytes
Picture Number:   12	 QP:   19  [ PSNR-Y: 40.88 dB,	PSNR-U: 41.65 dB,	PSNR-V: 41.95 dB,	MSE-Y: 5.31,	MSE-U: 4.45,	MSE-V: 4.15,	SSIM-Y: 0.95099,	SSIM-U: 0.95555,	SSIM-V: 0.94840 ]	      5 bytes
Picture Number:   13	 QP:   22  [ PSNR-Y: 39.22 dB,	PSNR-U: 40.36 dB,	PSNR-V: 41.10 dB,	MSE-Y: 7.79,	MSE-U: 5.99,	MSE-V: 5.05,	SSIM-Y: 0.93436,	SSIM-U: 0.94508,	SSIM-V: 0.93962 ]	 792885 bytes
Picture Number:   14	 QP:   21  [ PSNR-Y: 40.40 dB,	PSNR-U: 41.07 dB,	PSNR-V: 41.50 dB,	MSE-Y: 5.93,	MSE-U: 5.08,	MSE-V: 4.60,	SSIM-Y: 0.94831,	SSIM-U: 0.95177,	SSIM-V: 0.94467 ]	      5 bytes
Picture Number:   15	 QP:   22  [ PSNR-Y: 39.51 dB,	PSNR-U: 40.43 dB,	PSNR-V: 41.15 dB,	MSE-Y: 7.29,	MSE-U: 5.89,	MSE-V: 4.99,	SSIM-Y: 0.94164,	SSIM-U: 0.94712,	SSIM-V: 0.94139 ]	 257705 bytes
Picture Number:   16	 QP:   14  [ PSNR-Y: 39.02 dB,	PSNR-U: 40.40 dB,	PSNR-V: 41.05 dB,	MSE-Y: 8.15,	MSE-U: 5.94,	MSE-V: 5.10,	SSIM-Y: 0.93702,	SSIM-U: 0.94636,	SSIM-V: 0.94111 ]	      5 bytes
