Picture Number:    0	 QP:   25  [ PSNR-Y: 31.37 dB,	PSNR-U: 37.19 dB,	PSNR-V: 39.44 dB,	MSE-Y: 47.46,	MSE-U: 12.42,	MSE-V: 7.40,	SSIM-Y: 0.92490,	SSIM-U: 0.93766,	SSIM-V: 0.91519 ]	  89209 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 32.91 dB,	PSNR-U: 35.83 dB,	PSNR-V: 39.14 dB,	MSE-Y: 33.29,	MSE-U: 16.97,	MSE-V: 7.93,	SSIM-Y: 0.94295,	SSIM-U: 0.91805,	SSIM-V: 0.90995 ]	 363179 bytes
Picture Number:    2	 QP:   36  [ PSNR-Y: 32.86 dB,	PSNR-U: 34.88 dB,	PSNR-V: 38.72 dB,	MSE-Y: 33.65,	MSE-U: 21.12,	MSE-V: 8.72,	SSIM-Y: 0.94302,	SSIM-U: 0.90009,	SSIM-V: 0.90218 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 32.63 dB,	PSNR-U: 34.82 dB,	PSNR-V: 38.53 dB,	MSE-Y: 35.53,	MSE-U: 21.42,	MSE-V: 9.13,	SSIM-Y: 0.94024,	SSIM-U: 0.89469,	SSIM-V: 0.89759 ]	    633 bytes
Picture Number:    4	 QP:   34  [ PSNR-Y: 33.39 dB,	PSNR-U: 34.71 dB,	PSNR-V: 38.33 dB,	MSE-Y: 29.81,	MSE-U: 22.00,	MSE-V: 9.55,	SSIM-Y: 0.94741,	SSIM-U: 0.89086,	SSIM-V: 0.89382 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 32.48 dB,	PSNR-U: 34.66 dB,	PSNR-V: 38.32 dB,	MSE-Y: 36.73,	MSE-U: 22.24,	MSE-V: 9.56,	SSIM-Y: 0.93604,	SSIM-U: 0.88844,	SSIM-V: 0.89345 ]	  19055 bytes
Picture Number:    6	 QP:   36  [ PSNR-Y: 32.69 dB,	PSNR-U: 34.68 dB,	PSNR-V: 38.38 dB,	MSE-Y: 35.02,	MSE-U: 22.12,	MSE-V: 9.43,	SSIM-Y: 0.93816,	SSIM-U: 0.88925,	SSIM-V: 0.89454 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 33.04 dB,	PSNR-U: 35.16 dB,	PSNR-V: 38.50 dB,	MSE-Y: 32.31,	MSE-U: 19.82,	MSE-V: 9.19,	SSIM-Y: 0.94277,	SSIM-U: 0.89856,	SSIM-V: 0.89743 ]	    582 bytes
Picture Number:    8	 QP:   31  [ PSNR-Y: 34.30 dB,	PSNR-U: 35.40 dB,	PSNR-V: 38.43 dB,	MSE-Y: 24.18,	MSE-U: 18.74,	MSE-V: 9.34,	SSIM-Y: 0.95619,	SSIM-U: 0.90431,	SSIM-V: 0.89667 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 32.54 dB,	PSNR-U: 35.04 dB,	PSNR-V: 38.51 dB,	MSE-Y: 36.27,	MSE-U: 20.35,	MSE-V: 9.16,	SSIM-Y: 0.93953,	SSIM-U: 0.89687,	SSIM-V: 0.89777 ]	  68853 bytes
Picture Number:   10	 QP:   36  [ PSNR-Y: 32.67 dB,	PSNR-U: 34.69 dB,	PSNR-V: 38.43 dB,	MSE-Y: 35.18,	MSE-U: 22.09,	MSE-V: 9.34,	SSIM-Y: 0.93833,	SSIM-U: 0.88964,	SSIM-V: 0.89597 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 32.35 dB,	PSNR-U: 34.58 dB,	PSNR-V: 38.33 dB,	MSE-Y: 37.89,	MSE-U: 22.64,	MSE-V: 9.55,	SSIM-Y: 0.93532,	SSIM-U: 0.88663,	SSIM-V: 0.89448 ]	    929 bytes
Picture Number:   12	 QP:   34  [ PSNR-Y: 33.70 dB,	PSNR-U: 34.74 dB,	PSNR-V: 38.43 dB,	MSE-Y: 27.77,	MSE-U: 21.81,	MSE-V: 9.34,	SSIM-Y: 0.94848,	SSIM-U: 0.89122,	SSIM-V: 0.89640 ]	      5 bytes
Picture Number:   13	 QP:   37  [ PSNR-Y: 32.30 dB,	PSNR-U: 34.78 dB,	PSNR-V: 38.67 dB,	MSE-Y: 38.29,	MSE-U: 21.62,	MSE-V: 8.84,	SSIM-Y: 0.93539,	SSIM-U: 0.89164,	SSIM-V: 0.90111 ]	  18987 bytes
Picture Number:   14	 QP:   36  [ PSNR-Y: 32.58 dB,	PSNR-U: 35.19 dB,	PSNR-V: 39.01 dB,	MSE-Y: 35.91,	MSE-U: 19.68,	MSE-V: 8.16,	SSIM-Y: 0.93762,	SSIM-U: 0.90226,	SSIM-V: 0.90835 ]	      5 bytes
Picture Number:   15	 QP:   37  [ PSNR-Y: 32.54 dB,	PSNR-U: 36.05 dB,	PSNR-V: 39.43 dB,	MSE-Y: 36.21,	MSE-U: 16.15,	MSE-V: 7.42,	SSIM-Y: 0.94049,	SSIM-U: 0.91799,	SSIM-V: 0.91586 ]	   1062 bytes
Picture Number:   16	 QP:   25  [ PSNR-Y: 34.33 dB,	PSNR-U: 37.53 dB,	PSNR-V: 39.76 dB,	MSE-Y: 23.99,	MSE-U: 11.49,	MSE-V: 6.88,	SSIM-Y: 0.96159,	SSIM-U: 0.93822,	SSIM-V: 0.92191 ]	      5 bytes
Picture Number:   17	 QP:   37  [ PSNR-Y: 32.59 dB,	PSNR-U: 36.13 dB,	PSNR-V: 39.47 dB,	MSE-Y: 35.80,	MSE-U: 15.87,	MSE-V: 7.34,	SSIM-Y: 0.94103,	SSIM-U: 0.91904,	SSIM-V: 0.91693 ]	 156050 bytes
Picture Number:   18	 QP:   36  [ PSNR-Y: 32.60 dB,	PSNR-U: 35.21 dB,	PSNR-V: 39.03 dB,	MSE-Y: 35.77,	MSE-U: 19.57,	MSE-V: 8.13,	SSIM-Y: 0.93774,	SSIM-U: 0.90267,	SSIM-V: 0.90865 ]	      5 bytes
Picture Number:   19	 QP:   37  [ PSNR-Y: 32.57 dB,	PSNR-U: 34.93 dB,	PSNR-V: 38.69 dB,	MSE-Y: 36.02,	MSE-U: 20.88,	MSE-V: 8.80,	SSIM-Y: 0.93682,	SSIM-U: 0.89507,	SSIM-V: 0.90184 ]	    986 bytes
Picture Number:   20	 QP:   34  [ PSNR-Y: 33.68 dB,	PSNR-U: 34.82 dB,	PSNR-V: 38.41 dB,	MSE-Y: 27.90,	MSE-U: 21.44,	MSE-V: 9.38,	SSIM-Y: 0.94846,	SSIM-U: 0.89299,	SSIM-V: 0.89601 ]	      5 bytes
Picture Number:   21	 QP:   37  [ PSNR-Y: 32.36 dB,	PSNR-U: 34.75 dB,	PSNR-V: 38.48 dB,	MSE-Y: 37.76,	MSE-U: 21.77,	MSE-V: 9.24,	SSIM-Y: 0.93552,	SSIM-U: 0.89049,	SSIM-V: 0.89694 ]	  19565 bytes
Picture Number:   22	 QP:   36  [ PSNR-Y: 32.71 dB,	PSNR-U: 34.84 dB,	PSNR-V: 38.50 dB,	MSE-Y: 34.86,	MSE-U: 21.35,	MSE-V: 9.18,	SSIM-Y: 0.93862,	SSIM-U: 0.89352,	SSIM-V: 0.89779 ]	      5 bytes
Picture Number:   23	 QP:   37  [ PSNR-Y: 32.74 dB,	PSNR-U: 35.30 dB,	PSNR-V: 38.64 dB,	MSE-Y: 34.59,	MSE-U: 19.17,	MSE-V: 8.89,	SSIM-Y: 0.94168,	SSIM-U: 0.90311,	SSIM-V: 0.90065 ]	   1241 bytes
Picture Number:   24	 QP:   30  [ PSNR-Y: 34.65 dB,	PSNR-U: 35.82 dB,	PSNR-V: 38.61 dB,	MSE-Y: 22.28,	MSE-U: 17.02,	MSE-V: 8.95,	SSIM-Y: 0.95956,	SSIM-U: 0.91288,	SSIM-V: 0.90070 ]	      5 bytes
Picture Number:   25	 QP:   37  [ PSNR-Y: 32.93 dB,	PSNR-U: 35.39 dB,	PSNR-V: 38.70 dB,	MSE-Y: 33.14,	MSE-U: 18.81,	MSE-V: 8.78,	SSIM-Y: 0.94351,	SSIM-U: 0.90470,	SSIM-V: 0.90179 ]	  76691 bytes
Picture Number:   26	 QP:   35  [ PSNR-Y: 32.91 dB,	PSNR-U: 34.96 dB,	PSNR-V: 38.56 dB,	MSE-Y: 33.30,	MSE-U: 20.77,	MSE-V: 9.06,	SSIM-Y: 0.94166,	SSIM-U: 0.89693,	SSIM-V: 0.89871 ]	      5 bytes
Picture Number:   27	 QP:   37  [ PSNR-Y: 32.39 dB,	PSNR-U: 34.94 dB,	PSNR-V: 38.53 dB,	MSE-Y: 37.52,	MSE-U: 20.86,	MSE-V: 9.11,	SSIM-Y: 0.93763,	SSIM-U: 0.89636,	SSIM-V: 0.89845 ]	   1198 bytes
Picture Number:   28	 QP:   33  [ PSNR-Y: 33.77 dB,	PSNR-U: 35.15 dB,	PSNR-V: 38.58 dB,	MSE-Y: 27.26,	MSE-U: 19.86,	MSE-V: 9.01,	SSIM-Y: 0.95127,	SSIM-U: 0.90193,	SSIM-V: 0.90016 ]	      5 bytes
Picture Number:   29	 QP:   37  [ PSNR-Y: 32.46 dB,	PSNR-U: 35.13 dB,	PSNR-V: 38.85 dB,	MSE-Y: 36.94,	MSE-U: 19.95,	MSE-V: 8.47,	SSIM-Y: 0.93855,	SSIM-U: 0.90199,	SSIM-V: 0.90554 ]	  21693 bytes
Picture Number:   30	 QP:   35  [ PSNR-Y: 33.04 dB,	PSNR-U: 35.51 dB,	PSNR-V: 39.27 dB,	MSE-Y: 32.28,	MSE-U: 18.28,	MSE-V: 7.69,	SSIM-Y: 0.94375,	SSIM-U: 0.91062,	SSIM-V: 0.91357 ]	      5 bytes
Picture Number:   31	 QP:   37  [ PSNR-Y: 32.70 dB,	PSNR-U: 36.48 dB,	PSNR-V: 39.81 dB,	MSE-Y: 34.91,	MSE-U: 14.63,	MSE-V: 6.79,	SSIM-Y: 0.94557,	SSIM-U: 0.92696,	SSIM-V: 0.92310 ]	   1482 bytes
Picture Number:   32	 QP:   21  [ PSNR-Y: 33.69 dB,	PSNR-U: 38.53 dB,	PSNR-V: 40.43 dB,	MSE-Y: 27.80,	MSE-U: 9.13,	MSE-V: 5.89,	SSIM-Y: 0.95820,	SSIM-U: 0.95069,	SSIM-V: 0.93260 ]	      5 bytes
Picture Number:   33	 QP:   37  [ PSNR-Y: 32.86 dB,	PSNR-U: 36.55 dB,	PSNR-V: 39.85 dB,	MSE-Y: 33.63,	MSE-U: 14.38,	MSE-V: 6.73,	SSIM-Y: 0.94641,	SSIM-U: 0.92786,	SSIM-V: 0.92368 ]	 393124 bytes
Picture Number:   34	 QP:   35  [ PSNR-Y: 33.00 dB,	PSNR-U: 35.54 dB,	PSNR-V: 39.33 dB,	MSE-Y: 32.58,	MSE-U: 18.14,	MSE-V: 7.58,	SSIM-Y: 0.94272,	SSIM-U: 0.90998,	SSIM-V: 0.91454 ]	      5 bytes
Picture Number:   35	 QP:   37  [ PSNR-Y: 32.47 dB,	PSNR-U: 35.15 dB,	PSNR-V: 38.91 dB,	MSE-Y: 36.84,	MSE-U: 19.85,	MSE-V: 8.36,	SSIM-Y: 0.93800,	SSIM-U: 0.90067,	SSIM-V: 0.90643 ]	    972 bytes
Picture Number:   36	 QP:   33  [ PSNR-Y: 33.89 dB,	PSNR-U: 35.22 dB,	PSNR-V: 38.70 dB,	MSE-Y: 26.55,	MSE-U: 19.53,	MSE-V: 8.78,	SSIM-Y: 0.95092,	SSIM-U: 0.90115,	SSIM-V: 0.90213 ]	      5 bytes
Picture Number:   37	 QP:   37  [ PSNR-Y: 32.27 dB,	PSNR-U: 34.88 dB,	PSNR-V: 38.58 dB,	MSE-Y: 38.53,	MSE-U: 21.12,	MSE-V: 9.02,	SSIM-Y: 0.93549,	SSIM-U: 0.89391,	SSIM-V: 0.89919 ]	  21906 bytes
Picture Number:   38	 QP:   35  [ PSNR-Y: 32.93 dB,	PSNR-U: 34.95 dB,	PSNR-V: 38.63 dB,	MSE-Y: 33.10,	MSE-U: 20.79,	MSE-V: 8.91,	SSIM-Y: 0.94023,	SSIM-U: 0.89585,	SSIM-V: 0.89991 ]	      5 bytes
Picture Number:   39	 QP:   37  [ PSNR-Y: 32.91 dB,	PSNR-U: 35.39 dB,	PSNR-V: 38.72 dB,	MSE-Y: 33.25,	MSE-U: 18.81,	MSE-V: 8.73,	SSIM-Y: 0.94244,	SSIM-U: 0.90475,	SSIM-V: 0.90181 ]	   1203 bytes
Picture Number:   40	 QP:   30  [ PSNR-Y: 34.74 dB,	PSNR-U: 35.85 dB,	PSNR-V: 38.70 dB,	MSE-Y: 21.84,	MSE-U: 16.91,	MSE-V: 8.76,	SSIM-Y: 0.95901,	SSIM-U: 0.91343,	SSIM-V: 0.90209 ]	      5 bytes
Picture Number:   41	 QP:   37  [ PSNR-Y: 32.93 dB,	PSNR-U: 35.36 dB,	PSNR-V: 38.74 dB,	MSE-Y: 33.13,	MSE-U: 18.92,	MSE-V: 8.69,	SSIM-Y: 0.94202,	SSIM-U: 0.90425,	SSIM-V: 0.90198 ]	  73146 bytes
