Picture Number:    0	 QP:   10  [ PSNR-Y: 38.34 dB,	PSNR-U: 45.93 dB,	PSNR-V: 47.26 dB,	MSE-Y: 9.52,	MSE-U: 1.66,	MSE-V: 1.22,	SSIM-Y: 0.98889,	SSIM-U: 0.97851,	SSIM-V: 0.98324 ]	  28743 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 39.02 dB,	PSNR-U: 45.77 dB,	PSNR-V: 47.09 dB,	MSE-Y: 8.15,	MSE-U: 1.72,	MSE-V: 1.27,	SSIM-Y: 0.99007,	SSIM-U: 0.97775,	SSIM-V: 0.98260 ]	  73689 bytes
Picture Number:    2	 QP:   21  [ PSNR-Y: 39.47 dB,	PSNR-U: 45.46 dB,	PSNR-V: 46.81 dB,	MSE-Y: 7.35,	MSE-U: 1.85,	MSE-V: 1.36,	SSIM-Y: 0.99085,	SSIM-U: 0.97639,	SSIM-V: 0.98178 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 38.76 dB,	PSNR-U: 45.32 dB,	PSNR-V: 46.71 dB,	MSE-Y: 8.66,	MSE-U: 1.91,	MSE-V: 1.39,	SSIM-Y: 0.98917,	SSIM-U: 0.97557,	SSIM-V: 0.98134 ]	   5250 bytes
Picture Number:    4	 QP:   20  [ PSNR-Y: 40.20 dB,	PSNR-U: 45.47 dB,	PSNR-V: 46.84 dB,	MSE-Y: 6.21,	MSE-U: 1.85,	MSE-V: 1.35,	SSIM-Y: 0.99143,	SSIM-U: 0.97657,	SSIM-V: 0.98186 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 38.67 dB,	PSNR-U: 45.01 dB,	PSNR-V: 46.51 dB,	MSE-Y: 8.82,	MSE-U: 2.05,	MSE-V: 1.45,	SSIM-Y: 0.98908,	SSIM-U: 0.97402,	SSIM-V: 0.98062 ]	  13804 bytes
Picture Number:    6	 QP:   21  [ PSNR-Y: 39.52 dB,	PSNR-U: 45.14 dB,	PSNR-V: 46.60 dB,	MSE-Y: 7.26,	MSE-U: 1.99,	MSE-V: 1.42,	SSIM-Y: 0.99085,	SSIM-U: 0.97489,	SSIM-V: 0.98086 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 38.93 dB,	PSNR-U: 45.33 dB,	PSNR-V: 46.69 dB,	MSE-Y: 8.31,	MSE-U: 1.91,	MSE-V: 1.39,	SSIM-Y: 0.98957,	SSIM-U: 0.97582,	SSIM-V: 0.98151 ]	   4728 bytes
Picture Number:    8	 QP:   18  [ PSNR-Y: 40.64 dB,	PSNR-U: 45.30 dB,	PSNR-V: 46.77 dB,	MSE-Y: 5.61,	MSE-U: 1.92,	MSE-V: 1.37,	SSIM-Y: 0.99290,	SSIM-U: 0.97550,	SSIM-V: 0.98165 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 38.68 dB,	PSNR-U: 45.15 dB,	PSNR-V: 46.64 dB,	MSE-Y: 8.81,	MSE-U: 1.99,	MSE-V: 1.41,	SSIM-Y: 0.98923,	SSIM-U: 0.97503,	SSIM-V: 0.98131 ]	  23910 bytes
Picture Number:   10	 QP:   21  [ PSNR-Y: 39.53 dB,	PSNR-U: 45.05 dB,	PSNR-V: 46.67 dB,	MSE-Y: 7.25,	MSE-U: 2.03,	MSE-V: 1.40,	SSIM-Y: 0.99087,	SSIM-U: 0.97455,	SSIM-V: 0.98159 ]	      5 bytes
