Picture Number:    0	 QP:   17  [ PSNR-Y: 38.31 dB,	PSNR-U: 39.32 dB,	PSNR-V: 40.10 dB,	MSE-Y: 9.60,	MSE-U: 7.61,	MSE-V: 6.35,	SSIM-Y: 0.95018,	SSIM-U: 0.95054,	SSIM-V: 0.93822 ]	 260219 bytes
Picture Number:    1	 QP:   28  [ PSNR-Y: 37.58 dB,	PSNR-U: 39.14 dB,	PSNR-V: 40.40 dB,	MSE-Y: 11.37,	MSE-U: 7.93,	MSE-V: 5.93,	SSIM-Y: 0.94937,	SSIM-U: 0.94853,	SSIM-V: 0.93734 ]	 1044364 bytes
Picture Number:    2	 QP:   27  [ PSNR-Y: 38.31 dB,	PSNR-U: 39.28 dB,	PSNR-V: 40.44 dB,	MSE-Y: 9.59,	MSE-U: 7.68,	MSE-V: 5.88,	SSIM-Y: 0.95275,	SSIM-U: 0.95010,	SSIM-V: 0.93797 ]	      5 bytes
Picture Number:    3	 QP:   28  [ PSNR-Y: 37.63 dB,	PSNR-U: 39.16 dB,	PSNR-V: 40.48 dB,	MSE-Y: 11.23,	MSE-U: 7.88,	MSE-V: 5.82,	SSIM-Y: 0.94969,	SSIM-U: 0.94947,	SSIM-V: 0.93857 ]	  59955 bytes
Picture Number:    4	 QP:   26  [ PSNR-Y: 38.81 dB,	PSNR-U: 39.75 dB,	PSNR-V: 40.75 dB,	MSE-Y: 8.55,	MSE-U: 6.89,	MSE-V: 5.47,	SSIM-Y: 0.95214,	SSIM-U: 0.95334,	SSIM-V: 0.94138 ]	      5 bytes
Picture Number:    5	 QP:   28  [ PSNR-Y: 37.66 dB,	PSNR-U: 39.30 dB,	PSNR-V: 40.74 dB,	MSE-Y: 11.14,	MSE-U: 7.64,	MSE-V: 5.48,	SSIM-Y: 0.94698,	SSIM-U: 0.95063,	SSIM-V: 0.94124 ]	 138846 bytes
Picture Number:    6	 QP:   27  [ PSNR-Y: 38.61 dB,	PSNR-U: 39.63 dB,	PSNR-V: 41.00 dB,	MSE-Y: 8.96,	MSE-U: 7.08,	MSE-V: 5.17,	SSIM-Y: 0.95037,	SSIM-U: 0.95310,	SSIM-V: 0.94386 ]	      5 bytes
Picture Number:    7	 QP:   28  [ PSNR-Y: 37.94 dB,	PSNR-U: 39.55 dB,	PSNR-V: 41.03 dB,	MSE-Y: 10.44,	MSE-U: 7.22,	MSE-V: 5.12,	SSIM-Y: 0.94678,	SSIM-U: 0.95282,	SSIM-V: 0.94407 ]	  49993 bytes
Picture Number:    8	 QP:   24  [ PSNR-Y: 39.80 dB,	PSNR-U: 40.51 dB,	PSNR-V: 41.38 dB,	MSE-Y: 6.81,	MSE-U: 5.79,	MSE-V: 4.74,	SSIM-Y: 0.95536,	SSIM-U: 0.95860,	SSIM-V: 0.94742 ]	      5 bytes
Picture Number:    9	 QP:   28  [ PSNR-Y: 37.93 dB,	PSNR-U: 39.51 dB,	PSNR-V: 40.92 dB,	MSE-Y: 10.47,	MSE-U: 7.28,	MSE-V: 5.26,	SSIM-Y: 0.94555,	SSIM-U: 0.95095,	SSIM-V: 0.94244 ]	 263103 bytes
Picture Number:   10	 QP:   27  [ PSNR-Y: 38.36 dB,	PSNR-U: 39.45 dB,	PSNR-V: 40.79 dB,	MSE-Y: 9.48,	MSE-U: 7.38,	MSE-V: 5.42,	SSIM-Y: 0.94761,	SSIM-U: 0.94956,	SSIM-V: 0.94028 ]	      5 bytes
Picture Number:   11	 QP:   28  [ PSNR-Y: 37.77 dB,	PSNR-U: 39.21 dB,	PSNR-V: 40.72 dB,	MSE-Y: 10.86,	MSE-U: 7.80,	MSE-V: 5.51,	SSIM-Y: 0.94652,	SSIM-U: 0.94745,	SSIM-V: 0.93947 ]	  49424 bytes
Picture Number:   12	 QP:   26  [ PSNR-Y: 38.87 dB,	PSNR-U: 39.57 dB,	PSNR-V: 40.75 dB,	MSE-Y: 8.43,	MSE-U: 7.17,	MSE-V: 5.47,	SSIM-Y: 0.95198,	SSIM-U: 0.95009,	SSIM-V: 0.93959 ]	      5 bytes
Picture Number:   13	 QP:   28  [ PSNR-Y: 37.47 dB,	PSNR-U: 38.83 dB,	PSNR-V: 40.40 dB,	MSE-Y: 11.64,	MSE-U: 8.51,	MSE-V: 5.93,	SSIM-Y: 0.94597,	SSIM-U: 0.94426,	SSIM-V: 0.93545 ]	 155544 bytes
Picture Number:   14	 QP:   27  [ PSNR-Y: 38.16 dB,	PSNR-U: 39.01 dB,	PSNR-V: 40.36 dB,	MSE-Y: 9.94,	MSE-U: 8.17,	MSE-V: 5.99,	SSIM-Y: 0.95020,	SSIM-U: 0.94587,	SSIM-V: 0.93524 ]	      5 bytes
Picture Number:   15	 QP:   28  [ PSNR-Y: 37.69 dB,	PSNR-U: 38.95 dB,	PSNR-V: 40.32 dB,	MSE-Y: 11.06,	MSE-U: 8.28,	MSE-V: 6.05,	SSIM-Y: 0.95063,	SSIM-U: 0.94599,	SSIM-V: 0.93499 ]	  57636 bytes
Picture Number:   16	 QP:   21  [ PSNR-Y: 38.54 dB,	PSNR-U: 39.14 dB,	PSNR-V: 40.20 dB,	MSE-Y: 9.11,	MSE-U: 7.93,	MSE-V: 6.21,	SSIM-Y: 0.95383,	SSIM-U: 0.94701,	SSIM-V: 0.93407 ]	      5 bytes
Picture Number:   17	 QP:   28  [ PSNR-Y: 37.55 dB,	PSNR-U: 38.83 dB,	PSNR-V: 40.17 dB,	MSE-Y: 11.43,	MSE-U: 8.51,	MSE-V: 6.25,	SSIM-Y: 0.95061,	SSIM-U: 0.94549,	SSIM-V: 0.93407 ]	 565315 bytes
Picture Number:   18	 QP:   27  [ PSNR-Y: 38.12 dB,	PSNR-U: 38.92 dB,	PSNR-V: 40.19 dB,	MSE-Y: 10.02,	MSE-U: 8.33,	MSE-V: 6.23,	SSIM-Y: 0.95312,	SSIM-U: 0.94726,	SSIM-V: 0.93477 ]	      5 bytes
Picture Number:   19	 QP:   28  [ PSNR-Y: 37.32 dB,	PSNR-U: 38.76 dB,	PSNR-V: 40.16 dB,	MSE-Y: 12.04,	MSE-U: 8.65,	MSE-V: 6.27,	SSIM-Y: 0.95089,	SSIM-U: 0.94725,	SSIM-V: 0.93509 ]	  63399 bytes
Picture Number:   20	 QP:   26  [ PSNR-Y: 38.58 dB,	PSNR-U: 39.21 dB,	PSNR-V: 40.30 dB,	MSE-Y: 9.01,	MSE-U: 7.80,	MSE-V: 6.06,	SSIM-Y: 0.95454,	SSIM-U: 0.95153,	SSIM-V: 0.93718 ]	      5 bytes
Picture Number:   21	 QP:   28  [ PSNR-Y: 37.42 dB,	PSNR-U: 38.71 dB,	PSNR-V: 40.15 dB,	MSE-Y: 11.78,	MSE-U: 8.74,	MSE-V: 6.28,	SSIM-Y: 0.95146,	SSIM-U: 0.94814,	SSIM-V: 0.93567 ]	 176259 bytes
Picture Number:   22	 QP:   27  [ PSNR-Y: 37.97 dB,	PSNR-U: 38.72 dB,	PSNR-V: 40.03 dB,	MSE-Y: 10.37,	MSE-U: 8.73,	MSE-V: 6.46,	SSIM-Y: 0.95382,	SSIM-U: 0.94810,	SSIM-V: 0.93417 ]	      5 bytes
Picture Number:   23	 QP:   28  [ PSNR-Y: 37.26 dB,	PSNR-U: 38.65 dB,	PSNR-V: 40.02 dB,	MSE-Y: 12.23,	MSE-U: 8.87,	MSE-V: 6.47,	SSIM-Y: 0.95298,	SSIM-U: 0.94747,	SSIM-V: 0.93437 ]	  66468 bytes
Picture Number:   24	 QP:   24  [ PSNR-Y: 39.04 dB,	PSNR-U: 39.69 dB,	PSNR-V: 40.31 dB,	MSE-Y: 8.11,	MSE-U: 6.98,	MSE-V: 6.05,	SSIM-Y: 0.95885,	SSIM-U: 0.95490,	SSIM-V: 0.93840 ]	      5 bytes
Picture Number:   25	 QP:   28  [ PSNR-Y: 37.01 dB,	PSNR-U: 38.42 dB,	PSNR-V: 39.83 dB,	MSE-Y: 12.95,	MSE-U: 9.36,	MSE-V: 6.76,	SSIM-Y: 0.95284,	SSIM-U: 0.94452,	SSIM-V: 0.93147 ]	 386929 bytes
Picture Number:   26	 QP:   27  [ PSNR-Y: 37.75 dB,	PSNR-U: 38.37 dB,	PSNR-V: 39.71 dB,	MSE-Y: 10.91,	MSE-U: 9.46,	MSE-V: 6.96,	SSIM-Y: 0.95604,	SSIM-U: 0.94428,	SSIM-V: 0.92962 ]	      5 bytes
Picture Number:   27	 QP:   28  [ PSNR-Y: 36.81 dB,	PSNR-U: 38.12 dB,	PSNR-V: 39.63 dB,	MSE-Y: 13.55,	MSE-U: 10.03,	MSE-V: 7.08,	SSIM-Y: 0.95323,	SSIM-U: 0.94205,	SSIM-V: 0.92872 ]	  69887 bytes
Picture Number:   28	 QP:   26  [ PSNR-Y: 38.24 dB,	PSNR-U: 38.61 dB,	PSNR-V: 39.71 dB,	MSE-Y: 9.75,	MSE-U: 8.95,	MSE-V: 6.95,	SSIM-Y: 0.95977,	SSIM-U: 0.94618,	SSIM-V: 0.92984 ]	      5 bytes
Picture Number:   29	 QP:   28  [ PSNR-Y: 36.78 dB,	PSNR-U: 37.99 dB,	PSNR-V: 39.51 dB,	MSE-Y: 13.64,	MSE-U: 10.33,	MSE-V: 7.29,	SSIM-Y: 0.95549,	SSIM-U: 0.94034,	SSIM-V: 0.92657 ]	 200801 bytes
Picture Number:   30	 QP:   27  [ PSNR-Y: 37.58 dB,	PSNR-U: 38.20 dB,	PSNR-V: 39.53 dB,	MSE-Y: 11.36,	MSE-U: 9.84,	MSE-V: 7.25,	SSIM-Y: 0.95847,	SSIM-U: 0.94129,	SSIM-V: 0.92644 ]	      5 bytes
Picture Number:   31	 QP:   28  [ PSNR-Y: 36.82 dB,	PSNR-U: 38.11 dB,	PSNR-V: 39.51 dB,	MSE-Y: 13.53,	MSE-U: 10.05,	MSE-V: 7.28,	SSIM-Y: 0.95436,	SSIM-U: 0.93940,	SSIM-V: 0.92569 ]	  71178 bytes
