Picture Number:    0	 QP:   25  [ PSNR-Y: 35.71 dB,	PSNR-U: 36.92 dB,	PSNR-V: 38.76 dB,	MSE-Y: 17.45,	MSE-U: 13.21,	MSE-V: 8.65,	SSIM-Y: 0.94971,	SSIM-U: 0.92924,	SSIM-V: 0.91155 ]	  97169 bytes
Picture Number:    1	 QP:   37  [ PSNR-Y: 33.87 dB,	PSNR-U: 36.51 dB,	PSNR-V: 38.88 dB,	MSE-Y: 26.69,	MSE-U: 14.51,	MSE-V: 8.42,	SSIM-Y: 0.94101,	SSIM-U: 0.92459,	SSIM-V: 0.91158 ]	 349954 bytes
Picture Number:    2	 QP:   36  [ PSNR-Y: 34.42 dB,	PSNR-U: 36.47 dB,	PSNR-V: 38.94 dB,	MSE-Y: 23.52,	MSE-U: 14.65,	MSE-V: 8.29,	SSIM-Y: 0.94509,	SSIM-U: 0.92324,	SSIM-V: 0.91298 ]	      5 bytes
Picture Number:    3	 QP:   37  [ PSNR-Y: 33.74 dB,	PSNR-U: 36.40 dB,	PSNR-V: 39.03 dB,	MSE-Y: 27.47,	MSE-U: 14.91,	MSE-V: 8.13,	SSIM-Y: 0.94050,	SSIM-U: 0.92292,	SSIM-V: 0.91506 ]	  10728 bytes
Picture Number:    4	 QP:   35  [ PSNR-Y: 35.09 dB,	PSNR-U: 36.66 dB,	PSNR-V: 39.30 dB,	MSE-Y: 20.12,	MSE-U: 14.02,	MSE-V: 7.64,	SSIM-Y: 0.94658,	SSIM-U: 0.92579,	SSIM-V: 0.91947 ]	      5 bytes
Picture Number:    5	 QP:   37  [ PSNR-Y: 34.01 dB,	PSNR-U: 36.60 dB,	PSNR-V: 39.37 dB,	MSE-Y: 25.81,	MSE-U: 14.21,	MSE-V: 7.53,	SSIM-Y: 0.94060,	SSIM-U: 0.92556,	SSIM-V: 0.92133 ]	  30950 bytes
Picture Number:    6	 QP:   36  [ PSNR-Y: 34.98 dB,	PSNR-U: 36.87 dB,	PSNR-V: 39.62 dB,	MSE-Y: 20.64,	MSE-U: 13.37,	MSE-V: 7.10,	SSIM-Y: 0.94580,	SSIM-U: 0.92849,	SSIM-V: 0.92513 ]	      5 bytes
Picture Number:    7	 QP:   37  [ PSNR-Y: 34.50 dB,	PSNR-U: 36.85 dB,	PSNR-V: 39.70 dB,	MSE-Y: 23.08,	MSE-U: 13.44,	MSE-V: 6.97,	SSIM-Y: 0.94191,	SSIM-U: 0.92951,	SSIM-V: 0.92652 ]	   9674 bytes
Picture Number:    8	 QP:   33  [ PSNR-Y: 36.50 dB,	PSNR-U: 37.33 dB,	PSNR-V: 39.76 dB,	MSE-Y: 14.56,	MSE-U: 12.04,	MSE-V: 6.87,	SSIM-Y: 0.95245,	SSIM-U: 0.93374,	SSIM-V: 0.92722 ]	      5 bytes
Picture Number:    9	 QP:   37  [ PSNR-Y: 34.51 dB,	PSNR-U: 36.84 dB,	PSNR-V: 39.61 dB,	MSE-Y: 22.99,	MSE-U: 13.45,	MSE-V: 7.11,	SSIM-Y: 0.93999,	SSIM-U: 0.92727,	SSIM-V: 0.92560 ]	  67607 bytes
Picture Number:   10	 QP:   36  [ PSNR-Y: 34.79 dB,	PSNR-U: 36.79 dB,	PSNR-V: 39.55 dB,	MSE-Y: 21.56,	MSE-U: 13.61,	MSE-V: 7.21,	SSIM-Y: 0.94148,	SSIM-U: 0.92430,	SSIM-V: 0.92351 ]	      5 bytes
Picture Number:   11	 QP:   37  [ PSNR-Y: 34.15 dB,	PSNR-U: 36.58 dB,	PSNR-V: 39.45 dB,	MSE-Y: 24.98,	MSE-U: 14.29,	MSE-V: 7.38,	SSIM-Y: 0.93742,	SSIM-U: 0.92057,	SSIM-V: 0.92167 ]	   9467 bytes
Picture Number:   12	 QP:   35  [ PSNR-Y: 35.18 dB,	PSNR-U: 36.58 dB,	PSNR-V: 39.43 dB,	MSE-Y: 19.73,	MSE-U: 14.28,	MSE-V: 7.41,	SSIM-Y: 0.94501,	SSIM-U: 0.91966,	SSIM-V: 0.92013 ]	      5 bytes
Picture Number:   13	 QP:   37  [ PSNR-Y: 33.84 dB,	PSNR-U: 36.26 dB,	PSNR-V: 39.23 dB,	MSE-Y: 26.85,	MSE-U: 15.39,	MSE-V: 7.76,	SSIM-Y: 0.93697,	SSIM-U: 0.91591,	SSIM-V: 0.91654 ]	  34856 bytes
Picture Number:   14	 QP:   36  [ PSNR-Y: 34.50 dB,	PSNR-U: 36.37 dB,	PSNR-V: 39.12 dB,	MSE-Y: 23.08,	MSE-U: 15.01,	MSE-V: 7.96,	SSIM-Y: 0.94275,	SSIM-U: 0.91723,	SSIM-V: 0.91455 ]	      5 bytes
Picture Number:   15	 QP:   37  [ PSNR-Y: 34.04 dB,	PSNR-U: 36.32 dB,	PSNR-V: 39.08 dB,	MSE-Y: 25.67,	MSE-U: 15.16,	MSE-V: 8.04,	SSIM-Y: 0.94157,	SSIM-U: 0.91752,	SSIM-V: 0.91387 ]	  10216 bytes
Picture Number:   16	 QP:   29  [ PSNR-Y: 35.52 dB,	PSNR-U: 36.35 dB,	PSNR-V: 38.96 dB,	MSE-Y: 18.23,	MSE-U: 15.06,	MSE-V: 8.26,	SSIM-Y: 0.95136,	SSIM-U: 0.91731,	SSIM-V: 0.91170 ]	      5 bytes
