Picture Number:    0	 QP:    9  [ PSNR-Y: 34.98 dB,	PSNR-U: 43.68 dB,	PSNR-V: 43.66 dB,	MSE-Y: 20.65,	MSE-U: 2.79,	MSE-V: 2.80,	SSIM-Y: 0.90341,	SSIM-U: 0.98207,	SSIM-V: 0.96811 ]	 2478329 bytes
Picture Number:    1	 QP:   22  [ PSNR-Y: 36.90 dB,	PSNR-U: 36.99 dB,	PSNR-V: 38.61 dB,	MSE-Y: 13.27,	MSE-U: 13.00,	MSE-V: 8.96,	SSIM-Y: 0.94060,	SSIM-U: 0.91437,	SSIM-V: 0.89712 ]	 13193404 bytes
Picture Number:    2	 QP:   20  [ PSNR-Y: 37.93 dB,	PSNR-U: 37.88 dB,	PSNR-V: 39.10 dB,	MSE-Y: 10.48,	MSE-U: 10.58,	MSE-V: 7.99,	SSIM-Y: 0.95295,	SSIM-U: 0.93130,	SSIM-V: 0.90892 ]	      5 bytes
Picture Number:    3	 QP:   22  [ PSNR-Y: 36.89 dB,	PSNR-U: 37.00 dB,	PSNR-V: 38.68 dB,	MSE-Y: 13.31,	MSE-U: 12.99,	MSE-V: 8.81,	SSIM-Y: 0.94045,	SSIM-U: 0.91390,	SSIM-V: 0.89813 ]	 1325241 bytes
Picture Number:    4	 QP:   18  [ PSNR-Y: 38.96 dB,	PSNR-U: 38.80 dB,	PSNR-V: 39.66 dB,	MSE-Y: 8.26,	MSE-U: 8.57,	MSE-V: 7.03,	SSIM-Y: 0.96352,	SSIM-U: 0.94550,	SSIM-V: 0.92120 ]	      5 bytes
Picture Number:    5	 QP:   22  [ PSNR-Y: 36.93 dB,	PSNR-U: 37.08 dB,	PSNR-V: 38.81 dB,	MSE-Y: 13.18,	MSE-U: 12.73,	MSE-V: 8.56,	SSIM-Y: 0.93993,	SSIM-U: 0.91492,	SSIM-V: 0.90050 ]	 2948616 bytes
Picture Number:    6	 QP:   20  [ PSNR-Y: 38.01 dB,	PSNR-U: 38.00 dB,	PSNR-V: 39.23 dB,	MSE-Y: 10.28,	MSE-U: 10.32,	MSE-V: 7.77,	SSIM-Y: 0.95313,	SSIM-U: 0.93221,	SSIM-V: 0.91122 ]	      5 bytes
Picture Number:    7	 QP:   22  [ PSNR-Y: 36.95 dB,	PSNR-U: 37.06 dB,	PSNR-V: 38.79 dB,	MSE-Y: 13.13,	MSE-U: 12.81,	MSE-V: 8.60,	SSIM-Y: 0.93974,	SSIM-U: 0.91376,	SSIM-V: 0.90011 ]	 1284550 bytes
Picture Number:    8	 QP:   15  [ PSNR-Y: 40.47 dB,	PSNR-U: 40.30 dB,	PSNR-V: 40.74 dB,	MSE-Y: 5.84,	MSE-U: 6.07,	MSE-V: 5.48,	SSIM-Y: 0.97397,	SSIM-U: 0.96117,	SSIM-V: 0.93862 ]	      5 bytes
Picture Number:    9	 QP:   22  [ PSNR-Y: 36.59 dB,	PSNR-U: 36.98 dB,	PSNR-V: 38.65 dB,	MSE-Y: 14.25,	MSE-U: 13.05,	MSE-V: 8.87,	SSIM-Y: 0.93731,	SSIM-U: 0.91428,	SSIM-V: 0.89781 ]	 5109990 bytes
Picture Number:   10	 QP:   20  [ PSNR-Y: 37.99 dB,	PSNR-U: 38.00 dB,	PSNR-V: 39.16 dB,	MSE-Y: 10.32,	MSE-U: 10.30,	MSE-V: 7.89,	SSIM-Y: 0.95428,	SSIM-U: 0.93415,	SSIM-V: 0.91076 ]	      5 bytes
