Picture Number:    0	 QP:   13  [ PSNR-Y: 32.75 dB,	PSNR-U: 41.26 dB,	PSNR-V: 41.54 dB,	MSE-Y: 34.54,	MSE-U: 4.86,	MSE-V: 4.57,	SSIM-Y: 0.85521,	SSIM-U: 0.96872,	SSIM-V: 0.94799 ]	 1640939 bytes
Picture Number:    1	 QP:   27  [ PSNR-Y: 34.45 dB,	PSNR-U: 35.14 dB,	PSNR-V: 37.68 dB,	MSE-Y: 23.33,	MSE-U: 19.90,	MSE-V: 11.09,	SSIM-Y: 0.89711,	SSIM-U: 0.86687,	SSIM-V: 0.87289 ]	 9825764 bytes
Picture Number:    2	 QP:   24  [ PSNR-Y: 36.39 dB,	PSNR-U: 36.47 dB,	PSNR-V: 38.29 dB,	MSE-Y: 14.92,	MSE-U: 14.65,	MSE-V: 9.63,	SSIM-Y: 0.93352,	SSIM-U: 0.90290,	SSIM-V: 0.88860 ]	      5 bytes
Picture Number:    3	 QP:   27  [ PSNR-Y: 34.45 dB,	PSNR-U: 35.19 dB,	PSNR-V: 37.92 dB,	MSE-Y: 23.36,	MSE-U: 19.69,	MSE-V: 10.49,	SSIM-Y: 0.89687,	SSIM-U: 0.86394,	SSIM-V: 0.87676 ]	 703488 bytes
Picture Number:    4	 QP:   22  [ PSNR-Y: 37.31 dB,	PSNR-U: 37.27 dB,	PSNR-V: 38.62 dB,	MSE-Y: 12.07,	MSE-U: 12.20,	MSE-V: 8.94,	SSIM-Y: 0.94689,	SSIM-U: 0.92135,	SSIM-V: 0.89780 ]	      5 bytes
Picture Number:    5	 QP:   27  [ PSNR-Y: 34.49 dB,	PSNR-U: 35.13 dB,	PSNR-V: 38.01 dB,	MSE-Y: 23.12,	MSE-U: 19.97,	MSE-V: 10.28,	SSIM-Y: 0.89598,	SSIM-U: 0.85963,	SSIM-V: 0.87873 ]	 1880625 bytes
Picture Number:    6	 QP:   24  [ PSNR-Y: 36.40 dB,	PSNR-U: 36.49 dB,	PSNR-V: 38.34 dB,	MSE-Y: 14.89,	MSE-U: 14.59,	MSE-V: 9.53,	SSIM-Y: 0.93284,	SSIM-U: 0.90208,	SSIM-V: 0.88932 ]	      5 bytes
Picture Number:    7	 QP:   27  [ PSNR-Y: 34.51 dB,	PSNR-U: 35.10 dB,	PSNR-V: 37.99 dB,	MSE-Y: 23.02,	MSE-U: 20.08,	MSE-V: 10.32,	SSIM-Y: 0.89640,	SSIM-U: 0.85748,	SSIM-V: 0.87831 ]	 654942 bytes
Picture Number:    8	 QP:   19  [ PSNR-Y: 38.59 dB,	PSNR-U: 38.53 dB,	PSNR-V: 39.41 dB,	MSE-Y: 9.00,	MSE-U: 9.13,	MSE-V: 7.44,	SSIM-Y: 0.95969,	SSIM-U: 0.94178,	SSIM-V: 0.91630 ]	      5 bytes
Picture Number:    9	 QP:   27  [ PSNR-Y: 34.32 dB,	PSNR-U: 35.10 dB,	PSNR-V: 37.83 dB,	MSE-Y: 24.07,	MSE-U: 20.08,	MSE-V: 10.71,	SSIM-Y: 0.89543,	SSIM-U: 0.86236,	SSIM-V: 0.87450 ]	 3688126 bytes
Picture Number:   10	 QP:   24  [ PSNR-Y: 36.47 dB,	PSNR-U: 36.48 dB,	PSNR-V: 38.25 dB,	MSE-Y: 14.66,	MSE-U: 14.62,	MSE-V: 9.73,	SSIM-Y: 0.93595,	SSIM-U: 0.90458,	SSIM-V: 0.88774 ]	      5 bytes
