Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.980044,0.950344,0.955056,0.983788,0.993542,0.000000,0.000000,0.650209,0.923600,0.960614,0.976110,89.323205,
1,0.976227,0.946614,0.946883,0.979580,0.991666,3.353189,3.717654,0.631007,0.925311,0.964819,0.980542,93.267193,
2,0.981252,0.948425,0.954065,0.987539,0.994481,3.353189,3.353189,0.642138,0.937883,0.972219,0.985177,95.073185,
3,0.976381,0.945469,0.947122,0.980683,0.991169,4.850497,4.850497,0.622372,0.922344,0.963378,0.979497,94.965358,
4,0.982453,0.949885,0.956327,0.987174,0.995961,3.910109,6.898657,0.652717,0.945547,0.976346,0.987557,96.408286,
5,0.974643,0.944308,0.944115,0.976189,0.991835,3.104182,3.910109,0.618230,0.921874,0.963759,0.980955,92.608372,
6,0.980762,0.946926,0.951743,0.985153,0.995886,3.104182,3.104182,0.639191,0.937537,0.972426,0.985958,94.732091,
7,0.975829,0.946160,0.941960,0.979691,0.991777,8.952062,8.952062,0.628032,0.924044,0.965710,0.982298,99.913240,
8,0.985920,0.955092,0.958158,0.990845,0.998646,10.968513,14.106015,0.684881,0.956373,0.981879,0.990858,100.000000,
9,0.972795,0.940590,0.938089,0.975980,0.990728,4.293876,10.968513,0.614766,0.923017,0.964393,0.981347,93.717412,
10,0.981453,0.946328,0.953543,0.986099,0.996295,3.301561,4.293876,0.636937,0.938951,0.973458,0.986709,95.235771,
11,0.975528,0.942666,0.943130,0.979750,0.991988,3.301561,3.301561,0.615981,0.921636,0.963798,0.980240,92.987047,
12,0.983742,0.949441,0.957373,0.989312,0.997172,4.698951,5.730782,0.650578,0.946760,0.977346,0.988298,97.757005,
13,0.973689,0.941553,0.940002,0.976106,0.992104,4.698951,4.698951,0.613801,0.920987,0.963717,0.981120,94.344847,
14,0.980750,0.948310,0.949626,0.984685,0.996498,6.745967,6.745967,0.644853,0.936982,0.972386,0.985634,99.076712,
15,0.976820,0.945849,0.946669,0.980126,0.992572,7.166884,9.276816,0.633610,0.928343,0.967243,0.982446,98.201816,
16,0.984492,0.951225,0.959500,0.990231,0.997174,3.207820,7.166884,0.669442,0.952931,0.979600,0.989513,96.302360,
17,0.978513,0.946423,0.950728,0.981847,0.993741,3.207820,3.207820,0.634998,0.930964,0.968247,0.983638,93.990064,
18,0.981653,0.946429,0.954370,0.987780,0.995547,4.469100,5.143035,0.640851,0.940911,0.973906,0.986184,96.687143,
19,0.974768,0.943243,0.945049,0.977731,0.991072,4.469100,4.469100,0.623510,0.926038,0.965932,0.981859,94.465908,
20,0.982603,0.948854,0.954360,0.987668,0.996742,8.512968,8.512968,0.659596,0.949151,0.978262,0.989006,100.000000,
21,0.975236,0.944481,0.942002,0.979104,0.991394,8.144745,11.835651,0.627481,0.924115,0.965133,0.980984,98.750791,
22,0.980409,0.946812,0.953491,0.985193,0.994801,6.595467,8.144745,0.641387,0.939153,0.972814,0.985422,98.833743,
23,0.974067,0.944284,0.944275,0.976221,0.990783,6.595467,6.595467,0.620247,0.923758,0.964475,0.980932,96.685765,
24,0.987083,0.952461,0.963367,0.992709,0.999281,6.613738,6.613738,0.679753,0.959038,0.982642,0.990835,100.000000,
25,0.975772,0.947073,0.943860,0.978982,0.991181,10.256525,10.256525,0.629449,0.923651,0.964264,0.980574,100.000000,
26,0.981390,0.948410,0.952934,0.986312,0.995675,10.347206,10.762180,0.649470,0.940883,0.973803,0.986366,100.000000,
27,0.975780,0.944142,0.944549,0.979876,0.991620,7.386401,10.347206,0.622809,0.924798,0.965209,0.981216,98.026937,
28,0.984899,0.951541,0.959765,0.991252,0.997166,4.241767,7.386401,0.664072,0.951826,0.979330,0.989020,97.613502,
29,0.974104,0.942742,0.942616,0.978753,0.989972,4.241767,4.241767,0.625074,0.926777,0.966010,0.981440,94.019492,
30,0.982125,0.948927,0.954075,0.986806,0.996586,9.460917,9.460917,0.654600,0.942086,0.974594,0.986566,100.000000,
31,0.977667,0.947090,0.945779,0.981597,0.993997,3.362835,11.412610,0.640613,0.932391,0.969020,0.983568,94.026123,
32,0.982609,0.951220,0.956803,0.986789,0.996559,2.970780,3.362835,0.677208,0.952464,0.979031,0.988692,95.502146,
33,0.977303,0.947388,0.946772,0.980750,0.993328,2.970780,2.970780,0.640106,0.933155,0.969560,0.983608,93.493093,
34,0.980467,0.948527,0.953052,0.985584,0.994407,6.190592,6.190592,0.651300,0.942528,0.974633,0.986405,98.543995,
35,0.976561,0.948536,0.947595,0.979175,0.992058,10.324931,10.324931,0.631935,0.925937,0.966136,0.981831,100.000000,
36,0.983585,0.951971,0.954866,0.988951,0.997249,10.811970,11.031343,0.668723,0.950954,0.978954,0.989190,100.000000,
37,0.976620,0.947841,0.948087,0.981739,0.990398,8.570230,10.811970,0.626586,0.924971,0.964934,0.981366,99.552685,
38,0.980995,0.948036,0.955297,0.986839,0.994604,3.440649,8.570230,0.640834,0.939787,0.973585,0.986312,95.281740,
39,0.975262,0.944537,0.949765,0.979172,0.989834,3.440649,3.440649,0.620241,0.924370,0.965011,0.980945,93.211181,
40,0.985868,0.953299,0.965231,0.991306,0.997499,5.901613,6.909076,0.676378,0.958498,0.982394,0.990725,100.000000,
41,0.975217,0.944755,0.945658,0.979241,0.991046,5.819444,5.901613,0.618778,0.924366,0.964897,0.981302,96.077302,
42,0.981760,0.948045,0.956236,0.987649,0.995187,5.819444,5.819444,0.639700,0.939610,0.973273,0.986112,98.290611,
43,0.976632,0.948474,0.946153,0.978828,0.992551,6.471519,6.471519,0.631412,0.924387,0.965470,0.981672,97.204385,
44,0.982566,0.951035,0.953926,0.986566,0.997191,10.426475,14.579437,0.664850,0.947322,0.977350,0.988102,100.000000,
45,0.974952,0.941637,0.942490,0.978798,0.992337,3.079051,10.426475,0.617185,0.925832,0.966193,0.982138,92.854113,
46,0.982519,0.947459,0.956737,0.988629,0.996060,3.079051,3.079051,0.639078,0.940671,0.974102,0.986652,95.219829,
47,0.978603,0.947035,0.950138,0.983125,0.993724,4.321334,4.321334,0.629370,0.929849,0.967860,0.982690,95.275588,
48,0.986208,0.953229,0.963539,0.992617,0.997965,5.486193,5.486193,0.671502,0.956812,0.981750,0.990452,99.648939,
49,0.977708,0.945464,0.950116,0.981900,0.993217,5.393851,7.143707,0.629026,0.928419,0.967049,0.982710,96.329880,
50,0.980115,0.949084,0.953863,0.985586,0.993831,3.915126,5.393851,0.637897,0.937596,0.972119,0.985614,95.547270,
51,0.974809,0.946090,0.944745,0.977501,0.991445,3.915126,3.915126,0.618464,0.922048,0.964192,0.980944,93.650538,
52,0.982308,0.948685,0.956601,0.987727,0.995925,9.204730,9.204730,0.650108,0.943990,0.975388,0.986807,100.000000,
53,0.974371,0.942715,0.943335,0.978496,0.990960,8.504146,9.391950,0.614665,0.920853,0.963204,0.980339,98.813278,
54,0.980341,0.947326,0.952323,0.986806,0.994285,7.514047,8.504146,0.637125,0.936772,0.972169,0.985684,99.865263,
55,0.972148,0.941243,0.938466,0.975620,0.990850,5.708704,7.514047,0.614206,0.921030,0.963204,0.980481,95.136160,
56,0.985390,0.955352,0.963489,0.990155,0.997673,5.360588,5.708704,0.685038,0.957202,0.981751,0.990509,99.329991,
57,0.973416,0.943398,0.940193,0.977178,0.991369,4.342602,5.360588,0.616985,0.924086,0.965529,0.982022,94.014694,
58,0.981373,0.947987,0.953164,0.987115,0.996161,4.342602,4.342602,0.636420,0.937172,0.972114,0.985221,96.307533,
59,0.973144,0.941148,0.940091,0.977571,0.990721,4.574031,4.574031,0.611372,0.920213,0.962907,0.980231,93.971323,
60,0.981860,0.948816,0.955493,0.986654,0.996394,5.700313,5.700313,0.651152,0.946839,0.977051,0.988320,98.539269,
61,0.973978,0.942109,0.943672,0.977339,0.990952,5.319605,5.748551,0.616762,0.921127,0.963176,0.980346,95.060847,
62,0.980765,0.949515,0.955353,0.985460,0.994415,4.998007,5.319605,0.649662,0.940545,0.973654,0.986409,97.138077,
63,0.977322,0.945774,0.949047,0.980809,0.993195,3.531895,4.998007,0.635416,0.929984,0.967900,0.983178,94.075515,
64,0.984021,0.952419,0.961319,0.987581,0.997654,3.220883,3.531895,0.681805,0.954670,0.980215,0.989903,96.276354,
65,0.978224,0.948432,0.951255,0.981670,0.993132,3.220883,3.220883,0.642290,0.932497,0.968552,0.983472,93.943087,
66,0.981872,0.948883,0.954409,0.986405,0.996504,6.241981,6.241981,0.652728,0.944544,0.975687,0.987464,99.048325,
67,0.973099,0.942343,0.940091,0.976850,0.990418,6.049301,7.561378,0.619955,0.925379,0.965752,0.981709,95.960403,
68,0.982956,0.950250,0.957301,0.987495,0.997086,5.108125,6.049301,0.661881,0.950320,0.978587,0.988859,98.192618,
69,0.975390,0.943266,0.945750,0.977803,0.992985,3.992036,5.108125,0.618495,0.923007,0.964596,0.981258,93.913863,
70,0.980620,0.948412,0.955713,0.986047,0.993887,3.992036,3.992036,0.640047,0.939547,0.973186,0.985739,95.812237,
71,0.974316,0.942971,0.944999,0.978249,0.990403,4.902368,4.902368,0.614503,0.921680,0.963382,0.979693,94.596995,
72,0.985889,0.953990,0.964325,0.991422,0.997462,6.035301,6.035301,0.683295,0.959703,0.982971,0.991258,100.000000,
73,0.975991,0.946117,0.947389,0.980849,0.990497,4.600744,7.652951,0.622021,0.925037,0.964954,0.981235,94.794861,
74,0.980548,0.947227,0.952543,0.987325,0.994182,4.442929,4.600744,0.635971,0.939815,0.973309,0.985614,96.341867,
75,0.973745,0.942657,0.943339,0.978475,0.989506,3.715806,4.442929,0.615558,0.922627,0.963755,0.980243,93.107547,
76,0.981862,0.949271,0.957219,0.987713,0.994743,3.638862,3.715806,0.653121,0.948019,0.977538,0.988353,96.070846,
77,0.974448,0.944243,0.945455,0.978108,0.990398,3.638862,3.638862,0.617802,0.923578,0.964626,0.981136,93.275213,
78,0.980220,0.948631,0.954484,0.986456,0.993056,4.152612,4.152612,0.641457,0.939674,0.973435,0.985667,95.926148,
79,0.976483,0.946049,0.946861,0.980656,0.991999,4.381444,4.381444,0.630734,0.929978,0.968264,0.983077,94.937167,
80,0.987765,0.953972,0.964162,0.993474,1.000274,8.649076,8.649076,0.679921,0.958462,0.982848,0.991691,100.000000,
81,0.976435,0.942871,0.945754,0.980389,0.993048,7.839668,10.647037,0.626865,0.928786,0.967784,0.982755,98.933293,
82,0.980016,0.947023,0.951729,0.985865,0.994578,6.198123,7.839668,0.636554,0.938017,0.973205,0.986292,98.363940,
83,0.974245,0.943678,0.945981,0.976856,0.991424,5.255068,6.198123,0.614727,0.921032,0.963322,0.980940,95.095605,
84,0.982001,0.949573,0.958056,0.986948,0.996125,5.255068,5.255068,0.652748,0.948389,0.977679,0.988374,98.075185,
85,0.975204,0.944666,0.946892,0.979259,0.991419,4.828716,5.515417,0.615700,0.923428,0.964998,0.981607,94.926949,
86,0.981282,0.948505,0.954336,0.987727,0.995260,3.782562,4.828716,0.638359,0.939515,0.973335,0.985944,95.723321,
87,0.976399,0.944952,0.946047,0.980582,0.993417,2.975153,3.782562,0.618046,0.926343,0.966790,0.982597,93.102007,
88,0.985770,0.953533,0.965232,0.991759,0.997198,2.975153,2.975153,0.679737,0.959956,0.983076,0.991210,96.600549,
89,0.974867,0.943658,0.946275,0.980980,0.989504,3.514648,3.514648,0.618059,0.925125,0.965781,0.982374,93.366470,
90,0.980343,0.946959,0.953383,0.987387,0.994033,3.568799,3.568799,0.634916,0.938982,0.973132,0.986212,95.270809,
91,0.977725,0.946711,0.950814,0.982515,0.992435,4.019734,4.019734,0.618997,0.922751,0.964434,0.981304,94.447987,
92,0.982888,0.952169,0.958726,0.988663,0.995679,4.261175,6.594807,0.658696,0.949724,0.978200,0.988647,97.113639,
93,0.973383,0.944117,0.944635,0.976461,0.990280,3.492774,4.261175,0.618373,0.923887,0.964702,0.981105,92.868420,
94,0.980826,0.948788,0.958041,0.986069,0.994033,3.492774,3.492774,0.646781,0.941636,0.974293,0.985999,95.317808,
95,0.976776,0.946384,0.949528,0.981194,0.992384,3.560749,3.851052,0.635795,0.930684,0.968184,0.983068,93.997933,
96,0.982425,0.951103,0.959169,0.987641,0.995901,3.431643,3.560749,0.677119,0.952311,0.978888,0.988400,96.006422,
97,0.978149,0.948516,0.952729,0.981880,0.993322,3.431643,3.431643,0.638291,0.932863,0.969364,0.983276,94.209143,
98,0.981477,0.949289,0.957787,0.986426,0.995464,3.220011,4.663854,0.646379,0.942387,0.974871,0.987027,95.232650,
99,0.973749,0.943467,0.945249,0.977802,0.990145,3.220011,3.220011,0.620132,0.925474,0.965783,0.982020,92.736558,
100,0.982299,0.950318,0.958776,0.987845,0.995518,3.033461,3.340273,0.655903,0.949951,0.978316,0.988432,95.462711,
101,0.974744,0.944621,0.946049,0.979052,0.990699,3.033461,3.033461,0.615007,0.924024,0.965021,0.980878,92.599858,
102,0.979259,0.947850,0.953841,0.983442,0.994101,3.685418,3.685418,0.636887,0.938825,0.973005,0.985503,95.114993,
103,0.975346,0.945368,0.946055,0.980269,0.991118,3.856797,4.013701,0.618817,0.925414,0.965722,0.981461,93.811004,
104,0.984986,0.953205,0.963778,0.991132,0.996847,2.963230,3.856797,0.676361,0.960052,0.983177,0.991330,96.431007,
105,0.975493,0.944529,0.949278,0.979937,0.990497,2.963230,2.963230,0.617998,0.924869,0.965160,0.980890,92.681727,
106,0.980239,0.948058,0.953102,0.985693,0.995100,3.032626,3.032626,0.639009,0.938896,0.973051,0.985581,94.531625,
107,0.974148,0.943422,0.944242,0.977590,0.991563,3.080109,3.080109,0.614915,0.923599,0.964723,0.981231,92.542560,
