Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.978647,0.956012,0.965990,0.983574,0.987971,0.000000,0.000000,0.621379,0.928370,0.962568,0.977975,89.313776,
1,0.971324,0.943259,0.949423,0.978046,0.985763,3.746210,3.746210,0.581535,0.918223,0.959234,0.977031,92.188885,
2,0.974235,0.944274,0.955394,0.980358,0.988070,2.884961,6.382805,0.572839,0.912924,0.957489,0.976615,91.666700,
3,0.968188,0.930332,0.936522,0.976366,0.989463,2.884961,2.884961,0.555044,0.904222,0.951353,0.972900,89.820635,
4,0.974329,0.947029,0.955256,0.981678,0.985560,5.837796,13.314754,0.597458,0.922271,0.962301,0.978750,95.587121,
5,0.967478,0.933033,0.939911,0.971765,0.988162,4.566332,5.837796,0.547159,0.902431,0.951534,0.971529,91.573583,
6,0.974426,0.940186,0.954126,0.978572,0.991500,3.154178,4.566332,0.566823,0.913073,0.958437,0.977253,92.132111,
7,0.974658,0.942497,0.953974,0.980556,0.989573,3.154178,3.154178,0.566477,0.912770,0.958125,0.977124,92.158310,
8,0.980860,0.949568,0.960846,0.988216,0.993847,4.069302,9.112139,0.607441,0.940780,0.972551,0.985443,95.924572,
9,0.973080,0.939016,0.948165,0.981631,0.988489,4.069302,4.069302,0.555165,0.908715,0.955111,0.974711,92.598326,
10,0.975659,0.942103,0.953508,0.983021,0.990511,7.027479,7.027479,0.566843,0.908797,0.955692,0.975170,96.646762,
11,0.971932,0.936479,0.946819,0.978124,0.990611,7.215204,11.393105,0.546284,0.902207,0.951483,0.972355,95.638798,
12,0.975586,0.947076,0.957775,0.979949,0.989642,7.215204,7.215204,0.581211,0.924299,0.964691,0.980251,97.671972,
13,0.973327,0.943794,0.953087,0.980164,0.986500,10.014999,11.871850,0.560124,0.907991,0.955802,0.974563,99.379688,
14,0.974363,0.943505,0.953917,0.979702,0.989456,7.440211,10.014999,0.565357,0.912355,0.957981,0.977089,97.089957,
15,0.979277,0.950522,0.960641,0.983996,0.993067,6.989193,7.440211,0.583099,0.919754,0.961561,0.977776,97.871402,
16,0.981446,0.952249,0.961318,0.987494,0.995648,4.380547,6.989193,0.621240,0.949125,0.977529,0.987345,96.818242,
17,0.977467,0.943361,0.956081,0.984660,0.992736,4.380547,4.380547,0.579420,0.921533,0.963700,0.980157,94.722683,
18,0.976515,0.946915,0.953876,0.981155,0.992635,10.966059,11.969520,0.574663,0.916861,0.961005,0.979968,100.000000,
