Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990587,0.975086,0.978176,0.990473,0.998191,0.000000,0.000000,0.652348,0.964697,0.982680,0.989642,93.755428,
1,0.989636,0.967503,0.974167,0.991635,0.998560,4.175463,4.235790,0.635677,0.964796,0.984073,0.991195,98.999856,
2,0.989636,0.968328,0.973651,0.991996,0.998527,4.106378,4.175463,0.631437,0.969322,0.986498,0.992862,99.176024,
3,0.987578,0.967699,0.969711,0.987424,0.998235,4.106378,4.106378,0.612974,0.965372,0.984783,0.991837,98.559873,
4,0.989760,0.972232,0.976999,0.989711,0.998143,4.019186,4.112193,0.618646,0.970651,0.987152,0.992773,99.127787,
5,0.987532,0.968657,0.971884,0.989457,0.996247,3.897284,4.019186,0.620952,0.964317,0.984051,0.991372,98.219013,
6,0.988359,0.968557,0.972427,0.990094,0.997863,3.835277,3.897284,0.615131,0.968710,0.986544,0.993046,98.587724,
7,0.986000,0.963411,0.968840,0.986255,0.997513,3.807795,3.835277,0.615516,0.966870,0.985855,0.992710,97.976319,
8,0.992266,0.977849,0.982114,0.992695,0.999226,3.797967,3.807795,0.664317,0.981300,0.992182,0.995840,99.908197,
9,0.986165,0.964121,0.969301,0.986390,0.997387,3.783160,3.797967,0.619663,0.966619,0.985090,0.991722,97.866054,
10,0.988111,0.968775,0.976415,0.988206,0.996881,3.758775,3.783160,0.629752,0.968747,0.985784,0.991926,98.310689,
11,0.986776,0.966000,0.971939,0.987752,0.996409,3.665228,3.758775,0.616536,0.963901,0.983495,0.990566,97.682436,
12,0.988664,0.972408,0.976883,0.988640,0.996720,3.526541,3.665228,0.649483,0.971511,0.987516,0.992908,98.305470,
13,0.986065,0.962987,0.969816,0.986470,0.996908,3.426662,3.526541,0.635187,0.964266,0.983709,0.991185,97.287049,
14,0.988250,0.970079,0.975058,0.987187,0.997706,3.376822,3.426662,0.650956,0.970864,0.986877,0.992693,97.981434,
15,0.988337,0.967266,0.973454,0.989465,0.998002,3.376822,3.376822,0.648467,0.969198,0.986181,0.992349,97.936222,
16,0.992305,0.975170,0.981865,0.991825,1.000471,3.339864,3.412653,0.665744,0.979527,0.990885,0.994762,99.195420,
17,0.987927,0.966912,0.973844,0.986831,0.998831,3.198002,3.339864,0.631851,0.969563,0.986154,0.992506,97.646318,
18,0.989657,0.970473,0.977072,0.990958,0.998237,3.124537,3.198002,0.652935,0.972626,0.987584,0.993294,98.060657,
19,0.987429,0.967673,0.974458,0.986574,0.997680,2.984535,3.124537,0.632308,0.967524,0.985015,0.991753,97.154880,
20,0.990303,0.973685,0.979815,0.989314,0.998792,2.888214,2.984535,0.651724,0.974961,0.988681,0.993740,98.001857,
21,0.987137,0.966841,0.973977,0.985935,0.997290,2.721977,2.888214,0.626773,0.968390,0.985256,0.991411,96.755899,
22,0.989093,0.969854,0.975051,0.991085,0.997581,2.721977,2.721977,0.638083,0.973390,0.987884,0.993249,97.457656,
23,0.989292,0.967609,0.974416,0.988487,1.000421,2.757812,2.757812,0.631161,0.970616,0.986428,0.992170,97.387400,
24,0.992640,0.979555,0.982778,0.992183,0.999804,2.765138,2.772084,0.664191,0.983220,0.992813,0.995865,98.741815,
25,0.987025,0.967006,0.968923,0.989203,0.997174,2.731099,2.765138,0.634617,0.970894,0.986778,0.992484,96.901031,
26,0.989230,0.970200,0.975729,0.990217,0.998200,2.731099,2.731099,0.620990,0.973863,0.988264,0.993128,97.519217,
27,0.988559,0.965859,0.972096,0.990283,0.999246,2.767687,2.767687,0.629192,0.968791,0.985458,0.991397,97.129418,
28,0.992044,0.975795,0.979933,0.992123,1.000465,2.856482,2.856482,0.656143,0.976637,0.989589,0.994244,98.427002,
29,0.990316,0.967257,0.973425,0.994531,0.999536,3.288201,3.288201,0.638094,0.970592,0.986703,0.992419,98.295873,
30,0.991191,0.972491,0.979980,0.993501,0.998364,3.841294,3.841294,0.658433,0.974875,0.988603,0.993585,99.358883,
31,0.990065,0.970879,0.975329,0.991016,0.999405,3.975427,3.975427,0.653184,0.971566,0.986876,0.992451,99.097591,
32,0.992903,0.977735,0.981757,0.995854,0.998770,4.171820,4.171820,0.679876,0.978917,0.990276,0.994207,100.000000,
33,0.989530,0.970565,0.974129,0.993310,0.997278,4.354852,4.411150,0.646734,0.971485,0.987042,0.992936,99.492069,
34,0.990207,0.972281,0.978117,0.990870,0.998495,4.354852,4.354852,0.642786,0.973060,0.987763,0.993014,99.684866,
35,0.989065,0.970075,0.975721,0.988760,0.998761,4.541366,4.541366,0.639470,0.968660,0.985617,0.991789,99.451158,
36,0.990720,0.975281,0.979910,0.991219,0.998050,4.671879,4.671879,0.653837,0.975140,0.988700,0.993493,100.000000,
37,0.988875,0.966647,0.971437,0.992418,0.997955,4.837750,4.837750,0.628907,0.967450,0.985061,0.991693,99.731129,
38,0.989897,0.972136,0.975944,0.989579,0.998818,4.994174,4.994174,0.644685,0.970761,0.986886,0.992828,100.000000,
39,0.986861,0.968727,0.971077,0.987404,0.996316,5.094744,5.172161,0.650204,0.967283,0.984955,0.991431,99.576087,
40,0.992624,0.978930,0.983371,0.992521,0.999051,4.920234,5.094744,0.693518,0.982225,0.992351,0.995551,100.000000,
41,0.987654,0.966719,0.971978,0.987593,0.998214,4.746991,4.920234,0.605208,0.966924,0.984634,0.991207,99.298655,
42,0.989533,0.971146,0.977508,0.989284,0.998052,4.705685,4.746991,0.627845,0.970878,0.986786,0.992994,99.910418,
43,0.987421,0.967681,0.972842,0.987593,0.997022,4.518733,4.705685,0.628601,0.966586,0.984671,0.992163,99.046696,
44,0.990183,0.976268,0.981088,0.991047,0.996437,4.502865,4.518733,0.661506,0.975435,0.989185,0.994138,100.000000,
45,0.988316,0.969936,0.973550,0.990702,0.996668,4.502865,4.502865,0.633491,0.967429,0.984585,0.991435,99.162551,
46,0.990022,0.973737,0.976226,0.990975,0.998070,4.533692,4.555827,0.655777,0.973369,0.988123,0.993389,99.909355,
47,0.990178,0.971458,0.974892,0.991914,0.998971,4.450178,4.533692,0.657348,0.971643,0.987184,0.992872,99.750844,
48,0.992519,0.977325,0.982618,0.994575,0.998490,4.281782,4.450178,0.665961,0.979047,0.990452,0.994482,100.000000,
49,0.988925,0.969647,0.975192,0.990404,0.997782,4.099783,4.281782,0.648000,0.971435,0.986870,0.992372,98.995231,
50,0.987856,0.971266,0.976598,0.988029,0.996156,3.955391,4.099783,0.636362,0.972383,0.987498,0.993183,98.685424,
51,0.988463,0.968123,0.971729,0.989859,0.998778,3.814478,3.955391,0.633689,0.967444,0.984708,0.991180,98.341433,
52,0.989175,0.973849,0.978871,0.987825,0.997683,3.814478,3.814478,0.642130,0.975027,0.989227,0.994243,98.971614,
53,0.987614,0.968124,0.971448,0.989128,0.997429,3.875855,3.884072,0.619406,0.967254,0.985254,0.992362,98.355457,
54,0.987449,0.970077,0.974064,0.986878,0.996813,3.853274,3.875855,0.625703,0.970953,0.986892,0.992496,98.387415,
55,0.988363,0.967356,0.972874,0.989975,0.998155,3.790989,3.853274,0.624127,0.970329,0.986646,0.992796,98.521485,
56,0.991777,0.979162,0.983897,0.991069,0.997952,3.729502,3.790989,0.679763,0.982443,0.992299,0.995712,99.714776,
57,0.987920,0.968199,0.971699,0.988723,0.998033,3.676986,3.729502,0.636191,0.970694,0.986733,0.992614,98.271613,
58,0.988945,0.970103,0.976118,0.989494,0.997919,3.624452,3.676986,0.634828,0.972447,0.987284,0.992764,98.474323,
59,0.985750,0.966678,0.971493,0.987290,0.994925,3.569544,3.624452,0.628283,0.968584,0.985697,0.992091,97.574715,
60,0.988929,0.973721,0.978285,0.988197,0.997174,3.486398,3.569544,0.652267,0.976183,0.989274,0.993668,98.471295,
61,0.988266,0.968424,0.972653,0.988738,0.998692,3.486398,3.486398,0.638787,0.969217,0.985908,0.992299,98.043760,
62,0.989972,0.972159,0.978900,0.991944,0.997570,3.507444,3.552782,0.648323,0.974694,0.988725,0.993970,98.719546,
63,0.990318,0.970607,0.973083,0.991728,1.000625,3.430328,3.507444,0.644524,0.972525,0.987495,0.992973,98.557012,
64,0.992143,0.977725,0.980577,0.991393,1.000298,3.362479,3.430328,0.662721,0.981062,0.991437,0.994839,99.226628,
65,0.991132,0.972557,0.977213,0.991364,1.000567,3.333726,3.362479,0.643029,0.974391,0.988237,0.993287,98.681153,
66,0.990424,0.973123,0.974238,0.991279,1.000170,3.274201,3.333726,0.632694,0.975737,0.989157,0.993643,98.533283,
67,0.987943,0.971503,0.973815,0.988682,0.996953,3.117878,3.274201,0.620660,0.971210,0.986946,0.992640,97.609902,
68,0.988777,0.974806,0.977475,0.988888,0.996700,2.783307,3.117878,0.634719,0.977198,0.989804,0.994366,97.658396,
69,0.987336,0.969399,0.970693,0.988856,0.997561,2.553624,2.783307,0.632205,0.970647,0.985936,0.991522,96.633518,
