Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.994371,0.974398,0.982170,0.998324,0.999836,0.000000,0.000000,0.755155,0.971796,0.986200,0.991541,94.799062,
1,0.987028,0.958645,0.962356,0.991835,0.997634,6.932724,7.146386,0.706519,0.960642,0.981790,0.990222,100.000000,
2,0.988603,0.961839,0.971161,0.993600,0.996494,6.726403,6.932724,0.712226,0.964550,0.983489,0.991086,100.000000,
3,0.984086,0.953550,0.958227,0.987385,0.996088,6.487056,6.726403,0.692088,0.956693,0.979562,0.989375,100.000000,
4,0.990397,0.963816,0.973568,0.992410,0.999296,6.363400,6.487056,0.720446,0.968087,0.985501,0.991427,100.000000,
5,0.985241,0.955589,0.962090,0.985796,0.997206,6.135891,6.363400,0.690698,0.954393,0.978487,0.987394,99.827903,
6,0.988055,0.957903,0.968816,0.990256,0.998487,5.762312,6.135891,0.709293,0.962663,0.982681,0.990713,100.000000,
7,0.985478,0.956872,0.963089,0.990369,0.996112,5.647958,5.762312,0.706898,0.959960,0.980960,0.989116,99.570477,
8,0.993290,0.973153,0.983721,0.996588,0.999153,5.356437,5.647958,0.772984,0.980476,0.991379,0.994974,100.000000,
9,0.986045,0.956592,0.966361,0.989136,0.997588,4.964181,5.356437,0.719663,0.963356,0.982965,0.991033,99.122526,
10,0.989131,0.965450,0.970921,0.992838,0.998380,4.539202,4.964181,0.728329,0.966947,0.984331,0.991492,99.387368,
11,0.986549,0.960719,0.964780,0.991716,0.996405,4.457428,4.539202,0.720216,0.961154,0.981707,0.990373,98.490897,
12,0.993038,0.968813,0.975634,0.997734,1.001089,4.415695,4.457428,0.747666,0.973892,0.988152,0.993070,100.000000,
13,0.986050,0.959787,0.964612,0.990204,0.996167,4.415695,4.415695,0.725874,0.961771,0.980866,0.988951,98.183263,
14,0.991732,0.967016,0.974123,0.997274,0.999236,4.566179,4.566179,0.746420,0.970328,0.986090,0.992203,100.000000,
15,0.989718,0.963067,0.970243,0.994632,0.998370,5.980486,5.980486,0.737512,0.965083,0.983409,0.990612,100.000000,
16,0.994465,0.973966,0.983359,0.998179,0.999858,6.839999,6.839999,0.774823,0.977908,0.989738,0.994175,100.000000,
17,0.989410,0.963149,0.967236,0.993646,0.998739,7.346855,7.346855,0.738619,0.965410,0.983575,0.990829,100.000000,
18,0.991023,0.968011,0.970486,0.997833,0.997984,7.824231,7.824231,0.743658,0.966850,0.983916,0.990693,100.000000,
19,0.985394,0.962743,0.961167,0.990637,0.994671,8.303477,8.303477,0.725614,0.959283,0.980300,0.988604,100.000000,
20,0.991258,0.968507,0.974492,0.994521,0.998961,8.069918,8.652019,0.754962,0.973460,0.987630,0.992664,100.000000,
21,0.986410,0.962839,0.961153,0.989666,0.997142,7.720404,8.069918,0.726603,0.960594,0.981351,0.989049,100.000000,
22,0.988110,0.968979,0.972939,0.991421,0.995100,7.582816,7.720404,0.752574,0.971269,0.986723,0.992004,100.000000,
23,0.985133,0.963715,0.962653,0.990519,0.994125,7.550639,7.582816,0.742176,0.964958,0.983184,0.990535,100.000000,
24,0.993474,0.975724,0.979621,0.998567,0.998440,7.123490,7.550639,0.789335,0.981682,0.991667,0.994927,100.000000,
25,0.985498,0.964097,0.964209,0.989147,0.995030,6.523065,7.123490,0.743044,0.965828,0.984290,0.991859,100.000000,
26,0.988216,0.965475,0.968755,0.992724,0.996892,6.421107,6.523065,0.745970,0.968942,0.985779,0.992662,100.000000,
27,0.986046,0.960522,0.963353,0.990537,0.995962,6.376199,6.421107,0.732643,0.962264,0.981966,0.990183,100.000000,
28,0.991295,0.970620,0.975635,0.995890,0.998142,6.236766,6.376199,0.759352,0.972201,0.987099,0.992602,100.000000,
29,0.987449,0.961542,0.968713,0.991207,0.997027,6.059467,6.236766,0.736318,0.964158,0.982862,0.989957,100.000000,
30,0.989465,0.967913,0.973065,0.992588,0.997624,5.922710,6.059467,0.751023,0.970627,0.985894,0.991673,100.000000,
31,0.986556,0.959734,0.961151,0.989588,0.999078,5.885519,5.922710,0.744242,0.967957,0.984637,0.990710,100.000000,
32,0.993652,0.975742,0.977706,0.999242,0.999267,5.711262,5.885519,0.796310,0.983842,0.992662,0.995723,100.000000,
33,0.986724,0.963581,0.966729,0.990778,0.996459,5.438617,5.711262,0.748610,0.967241,0.984173,0.991416,99.969518,
34,0.991470,0.968326,0.973609,0.995674,0.999726,4.416277,5.438617,0.754662,0.972947,0.987165,0.991953,99.944627,
35,0.988608,0.965684,0.964873,0.994045,0.997825,3.825669,4.416277,0.739978,0.966166,0.983489,0.990028,98.228104,
36,0.988915,0.966460,0.971509,0.995187,0.995597,3.114298,3.825669,0.751914,0.972092,0.987326,0.992955,97.826624,
37,0.983810,0.959117,0.958658,0.988858,0.994371,3.114298,3.114298,0.735148,0.964810,0.983317,0.990170,96.282726,
38,0.987049,0.966336,0.967701,0.990751,0.996080,3.138537,3.138537,0.742278,0.969754,0.985523,0.991562,97.248400,
39,0.984425,0.962224,0.960681,0.989938,0.994342,3.033360,3.147941,0.735530,0.965445,0.983348,0.989642,96.275665,
40,0.991368,0.974021,0.979386,0.993262,0.998723,3.033360,3.033360,0.777789,0.980373,0.990874,0.994318,98.566076,
41,0.985290,0.959433,0.962951,0.987948,0.997655,2.955781,3.041119,0.733519,0.966552,0.983579,0.990442,96.444654,
42,0.986697,0.964351,0.961839,0.991967,0.997282,2.955781,2.955781,0.735996,0.968040,0.985486,0.991301,96.910290,
43,0.983895,0.962875,0.961301,0.990320,0.992556,3.349617,3.349617,0.728454,0.964570,0.984085,0.990215,96.635366,
44,0.986163,0.968786,0.967692,0.990895,0.994059,3.469608,3.469608,0.745217,0.971996,0.987327,0.992100,97.607441,
45,0.983069,0.958980,0.963167,0.985683,0.994245,3.936929,3.936929,0.719505,0.958723,0.979564,0.987956,96.788222,
46,0.985627,0.966423,0.968144,0.986619,0.995404,3.996175,3.996175,0.731995,0.964561,0.982912,0.990214,97.772766,
47,0.986301,0.961129,0.961177,0.986874,1.000463,4.098707,4.098707,0.736956,0.968577,0.985029,0.991759,98.282979,
48,0.992313,0.972637,0.976904,0.994912,1.000054,4.330342,4.330342,0.772806,0.979842,0.991393,0.995390,100.000000,
49,0.986412,0.964476,0.964809,0.987558,0.997843,4.468635,4.468635,0.737186,0.966804,0.984560,0.991161,98.692300,
50,0.987371,0.966343,0.971149,0.987072,0.997430,4.675571,4.675571,0.736089,0.966375,0.984244,0.991682,99.184110,
51,0.988696,0.962830,0.971557,0.991577,0.998416,4.531422,4.711752,0.729152,0.962427,0.981907,0.989904,99.029966,
52,0.990865,0.970036,0.975185,0.991649,0.999832,4.238189,4.531422,0.743090,0.969887,0.985828,0.992156,99.528701,
53,0.987107,0.961609,0.962342,0.987184,1.000381,3.863943,4.238189,0.729351,0.964105,0.982771,0.989811,97.889201,
54,0.988760,0.965680,0.968087,0.991859,0.998920,3.712129,3.863943,0.739802,0.967986,0.985032,0.992077,98.358549,
55,0.986709,0.964400,0.968344,0.988164,0.996992,3.308479,3.712129,0.734734,0.964945,0.983002,0.990940,97.208161,
56,0.991818,0.972395,0.981341,0.993208,0.999088,3.287753,3.308479,0.771133,0.979706,0.990865,0.994766,99.021245,
57,0.986959,0.961681,0.965210,0.989758,0.998587,3.245438,3.287753,0.727560,0.964934,0.983308,0.990317,97.146782,
58,0.988293,0.965271,0.969365,0.990240,0.998753,3.245438,3.245438,0.729632,0.965400,0.983809,0.990643,97.487618,
59,0.987264,0.958608,0.962374,0.990671,1.000265,3.257536,3.257536,0.717870,0.961863,0.981717,0.989109,97.049976,
60,0.990983,0.966425,0.972509,0.993439,1.001169,3.355467,3.355467,0.745150,0.971499,0.986815,0.992313,98.506913,
61,0.985386,0.958698,0.961780,0.987666,0.997510,3.516947,3.516947,0.726216,0.964206,0.983017,0.990027,97.107179,
62,0.988675,0.965169,0.968315,0.992831,0.997804,3.684656,3.684656,0.743368,0.969216,0.985514,0.991565,98.291412,
63,0.987762,0.960850,0.963566,0.991650,0.998906,3.730235,3.730235,0.746641,0.968748,0.985496,0.991558,98.146934,
64,0.993656,0.972758,0.980038,0.997751,0.999994,3.806345,3.806345,0.789725,0.982222,0.991572,0.995026,100.000000,
65,0.986056,0.960027,0.961313,0.988620,0.998421,3.742148,3.849193,0.739443,0.967639,0.984422,0.991467,97.728964,
66,0.987014,0.963781,0.968669,0.989211,0.997113,3.495389,3.742148,0.740329,0.967399,0.983898,0.989950,97.481368,
67,0.981773,0.957595,0.956862,0.984995,0.993862,3.388505,3.495389,0.721765,0.958120,0.978718,0.987100,95.711767,
68,0.989550,0.965647,0.972941,0.994859,0.997461,3.315921,3.388505,0.746304,0.970066,0.985021,0.990189,97.888111,
69,0.982016,0.956094,0.961255,0.985902,0.992652,3.175405,3.315921,0.722107,0.958940,0.979695,0.987253,95.554843,
70,0.987612,0.962985,0.969091,0.990642,0.997690,3.056323,3.175405,0.735868,0.964135,0.982403,0.989313,96.925667,
71,0.984990,0.958606,0.963429,0.991845,0.994718,2.998017,3.056323,0.732512,0.962833,0.981768,0.989534,96.265321,
72,0.991484,0.969836,0.977483,0.997384,0.997896,2.960530,2.998017,0.765158,0.976642,0.988795,0.993229,98.299306,
73,0.985076,0.957578,0.961571,0.989942,0.996580,2.903926,2.960530,0.724199,0.961425,0.981499,0.988864,96.095054,
74,0.986363,0.962251,0.966710,0.993462,0.994317,2.896972,2.903926,0.736063,0.965073,0.983326,0.989839,96.537868,
75,0.983383,0.959386,0.955738,0.991957,0.993480,2.889364,2.896972,0.724877,0.958446,0.979732,0.987641,95.521135,
76,0.986293,0.964739,0.969924,0.990886,0.994288,2.889364,2.889364,0.745089,0.970017,0.985878,0.991027,96.740603,
77,0.982283,0.960037,0.957923,0.987599,0.992843,2.972355,3.006500,0.724967,0.962812,0.981688,0.988286,95.541316,
78,0.984642,0.963619,0.963896,0.988919,0.994396,2.853365,2.972355,0.736320,0.967399,0.984310,0.990169,96.186946,
79,0.983716,0.957423,0.957454,0.988346,0.996085,2.707204,2.853365,0.733633,0.966819,0.984182,0.990810,95.843187,
80,0.988677,0.968076,0.972723,0.992091,0.996956,2.647741,2.707204,0.769023,0.977261,0.989336,0.993168,97.307330,
81,0.981793,0.958436,0.959391,0.983212,0.993724,2.647741,2.647741,0.737203,0.966263,0.983550,0.990139,95.264375,
82,0.985750,0.964827,0.968455,0.989007,0.994073,2.640247,2.700222,0.742038,0.966612,0.983736,0.990180,96.128098,
83,0.982730,0.957044,0.960383,0.986462,0.993621,2.640247,2.640247,0.729492,0.964132,0.982973,0.990575,95.461332,
84,0.986312,0.962710,0.967025,0.992788,0.994755,2.790623,2.790623,0.745230,0.969794,0.985730,0.991152,96.621502,
85,0.982399,0.956730,0.959694,0.988425,0.992836,2.979124,2.983473,0.722902,0.960833,0.979977,0.987935,95.464160,
86,0.984451,0.963967,0.962083,0.990708,0.993756,2.979124,2.979124,0.733722,0.965095,0.983038,0.990778,96.288614,
87,0.983318,0.958629,0.960148,0.991414,0.993697,3.075268,3.075268,0.727979,0.962652,0.981420,0.988760,95.921599,
88,0.990763,0.970550,0.980579,0.995405,0.996755,3.169401,3.169401,0.763342,0.977359,0.989248,0.993305,98.438141,
89,0.986733,0.961611,0.966396,0.989338,0.998297,3.214805,3.214805,0.734247,0.964507,0.982504,0.989598,96.963792,
90,0.986370,0.964387,0.969927,0.990738,0.994945,3.216622,3.216622,0.736363,0.966372,0.983157,0.989650,96.927533,
91,0.982742,0.961184,0.962763,0.987330,0.992001,3.327548,3.327548,0.726345,0.962681,0.981171,0.988823,96.108983,
92,0.990848,0.969489,0.977520,0.993944,0.997818,3.384284,3.384284,0.742472,0.971029,0.986165,0.992159,98.470427,
93,0.989058,0.965000,0.968076,0.991218,0.999589,3.412441,3.412441,0.731677,0.967953,0.984338,0.991089,97.934985,
94,0.990191,0.969185,0.973605,0.993520,0.998063,3.492332,3.492332,0.749899,0.971875,0.986176,0.991818,98.441644,
95,0.989015,0.966162,0.972467,0.991568,0.997686,3.518665,3.518665,0.749920,0.968698,0.983905,0.990624,98.008307,
96,0.993881,0.976202,0.981167,0.996818,1.000156,3.586409,3.586409,0.793388,0.981791,0.991388,0.994400,99.864851,
97,0.988984,0.966611,0.968207,0.992729,0.998230,3.603353,3.670647,0.749280,0.969722,0.985521,0.992002,98.294952,
98,0.989681,0.965282,0.970717,0.994605,0.998505,3.444922,3.603353,0.745760,0.969534,0.985327,0.991658,98.209132,
99,0.984030,0.959221,0.961257,0.986349,0.995574,3.328908,3.444922,0.729506,0.964456,0.982787,0.990015,96.564768,
100,0.990191,0.969284,0.973706,0.995746,0.997365,3.122907,3.328908,0.745491,0.971543,0.986844,0.992329,98.041596,
101,0.987595,0.964345,0.961685,0.993029,0.998625,2.952535,3.122907,0.721505,0.963464,0.981960,0.989557,96.789260,
102,0.988327,0.964449,0.968897,0.992995,0.997351,2.885092,2.952535,0.732012,0.967743,0.984990,0.991777,97.190927,
103,0.988018,0.964379,0.969752,0.988733,0.998214,2.773048,2.885092,0.726892,0.964920,0.983737,0.991379,96.882936,
104,0.991732,0.974612,0.983071,0.993486,0.996915,2.565548,2.773048,0.765013,0.978222,0.989678,0.993349,97.902106,
105,0.986890,0.963248,0.967472,0.988674,0.996896,2.454678,2.565548,0.729536,0.967783,0.984780,0.991245,96.278320,
106,0.988075,0.965453,0.970652,0.991244,0.996706,2.353097,2.454678,0.730113,0.968090,0.985153,0.992136,96.495401,
107,0.987648,0.962248,0.963350,0.987756,1.000351,2.353097,2.353097,0.717808,0.963129,0.982369,0.989633,96.062879,
108,0.992063,0.969763,0.972829,0.992096,1.002288,2.375153,2.375153,0.735277,0.968971,0.985013,0.991148,97.309104,
109,0.989157,0.960999,0.963017,0.989967,1.001924,2.446939,2.446939,0.712837,0.961033,0.981252,0.989225,96.422416,
110,0.990991,0.968003,0.972667,0.990420,1.001535,2.544740,2.544740,0.734215,0.967102,0.984289,0.990748,97.221046,
111,0.989120,0.966162,0.968719,0.989703,1.000582,2.703386,2.703386,0.734391,0.967430,0.984493,0.991650,97.098551,
112,0.992373,0.974140,0.980470,0.993244,1.000080,2.766260,2.766260,0.767448,0.978468,0.990343,0.994204,98.399904,
113,0.987237,0.967708,0.967657,0.988058,0.998018,2.906008,2.906008,0.735258,0.967436,0.984530,0.990908,96.888383,
114,0.989761,0.967890,0.970618,0.994235,0.998683,2.909103,2.948360,0.733677,0.969719,0.986119,0.992714,97.667305,
115,0.987505,0.963780,0.965114,0.992084,0.997684,2.909103,2.909103,0.716248,0.963295,0.982522,0.989253,96.715549,
116,0.990343,0.969655,0.974388,0.992234,0.998952,2.942688,2.942688,0.734104,0.970495,0.986113,0.992208,97.799206,
117,0.987594,0.962737,0.963767,0.987094,1.001103,3.040465,3.072010,0.708868,0.959347,0.979777,0.987907,96.658107,
118,0.990786,0.967361,0.969249,0.995175,1.000285,3.040465,3.040465,0.721579,0.965648,0.983523,0.990988,97.788459,
119,0.987519,0.961655,0.965458,0.988762,0.999728,3.084807,3.084807,0.718723,0.961609,0.980969,0.989116,96.854077,
120,0.991347,0.972120,0.978818,0.992224,0.999029,3.140345,3.140345,0.755877,0.977602,0.989627,0.993966,98.598665,
121,0.986031,0.960670,0.964722,0.987984,0.997479,3.135652,3.287776,0.718545,0.960393,0.980461,0.988683,96.532596,
122,0.988749,0.963613,0.970719,0.989639,1.000114,3.135652,3.135652,0.729303,0.966992,0.984219,0.991084,97.508179,
123,0.987555,0.957963,0.964547,0.990988,1.000013,3.175536,3.175536,0.716936,0.961651,0.981562,0.989875,97.063646,
124,0.991730,0.965607,0.975564,0.997707,0.999329,3.347646,3.347646,0.740408,0.971366,0.986373,0.991987,98.613275,
125,0.986170,0.960867,0.964156,0.989582,0.997124,3.508834,3.550607,0.722705,0.963468,0.982186,0.989364,97.174961,
126,0.991537,0.965488,0.975932,0.994299,1.001143,3.302863,3.508834,0.738812,0.968804,0.985129,0.990728,98.347273,
127,0.988077,0.964180,0.967539,0.994688,0.996240,3.089604,3.302863,0.739070,0.967898,0.985248,0.991721,97.403433,
128,0.993124,0.975113,0.981496,0.995559,0.999448,2.930726,3.089604,0.787400,0.983218,0.991941,0.995021,98.937220,
129,0.987956,0.963499,0.968291,0.989347,0.999209,2.831562,2.930726,0.741119,0.969580,0.985168,0.991107,97.002730,
130,0.988944,0.966089,0.971391,0.995846,0.995862,2.699098,2.831562,0.743376,0.971318,0.986558,0.991772,97.171132,
131,0.984641,0.959598,0.962498,0.989533,0.995185,2.583650,2.699098,0.721255,0.960200,0.980789,0.988347,95.517317,
132,0.989808,0.968344,0.973613,0.989678,1.000470,2.542728,2.583650,0.742377,0.970112,0.986076,0.991787,97.134263,
133,0.985751,0.960760,0.959619,0.989706,0.997962,2.518247,2.542728,0.722991,0.960615,0.980220,0.988139,95.634760,
134,0.988297,0.964999,0.968264,0.992024,0.998165,2.518247,2.518247,0.733602,0.966479,0.983494,0.990077,96.508984,
135,0.986508,0.960328,0.964474,0.987822,0.998789,2.570814,2.570814,0.724802,0.962031,0.982062,0.990077,96.107743,
136,0.991238,0.969497,0.978522,0.995506,0.997425,2.652344,2.652344,0.759103,0.976281,0.989065,0.992849,97.829978,
137,0.984655,0.955612,0.958296,0.991456,0.995060,2.975514,2.985545,0.719372,0.963192,0.982682,0.989857,96.233482,
138,0.986549,0.958772,0.964687,0.992671,0.995465,2.975514,2.975514,0.722959,0.964337,0.983319,0.990080,96.695798,
139,0.986388,0.955641,0.960147,0.992786,0.997110,3.008486,3.021694,0.713225,0.958577,0.979489,0.987741,96.325570,
140,0.988465,0.963018,0.968035,0.991150,0.998495,3.008486,3.008486,0.729702,0.968370,0.984978,0.990418,97.271122,
141,0.983951,0.952535,0.951154,0.988476,0.998686,3.023878,3.023878,0.710560,0.961800,0.981327,0.988500,95.969332,
142,0.987521,0.961961,0.962635,0.992619,0.998225,2.853025,3.034070,0.726655,0.967614,0.984805,0.991398,96.936255,
143,0.985719,0.959158,0.960522,0.991864,0.996206,2.783273,2.853025,0.728919,0.965685,0.983969,0.990779,96.360394,
144,0.991594,0.970402,0.976914,0.995116,0.999058,2.783273,2.783273,0.764913,0.977635,0.990092,0.994928,98.294491,
