name,avg_vmaf
parkjoy1080p_37qp_0fr_50fps_9-preset_8t,97.378115382
parkjoy1080p_22qp_0fr_50fps_0-preset_8t,99.794804346
parkjoy1080p_22qp_0fr_50fps_12-preset_8t,99.469933632
parkjoy1080p_32qp_0fr_50fps_9-preset_8t,99.078051024
parkjoy1080p_32qp_0fr_50fps_0-preset_8t,99.529573792
parkjoy1080p_32qp_0fr_50fps_3-preset_8t,99.44257476
parkjoy1080p_37qp_0fr_50fps_12-preset_8t,96.397019974
parkjoy1080p_22qp_0fr_50fps_6-preset_8t,99.699578676
parkjoy1080p_37qp_0fr_50fps_6-preset_8t,98.376609696
parkjoy1080p_37qp_0fr_50fps_0-preset_8t,99.145238296
parkjoy1080p_27qp_0fr_50fps_3-preset_8t,99.632410112
parkjoy1080p_27qp_0fr_50fps_9-preset_8t,99.473352324
parkjoy1080p_32qp_0fr_50fps_12-preset_8t,98.646979984
parkjoy1080p_22qp_0fr_50fps_9-preset_8t,99.668787666
parkjoy1080p_22qp_0fr_50fps_3-preset_8t,99.750730382
parkjoy1080p_37qp_0fr_50fps_3-preset_8t,98.918091014
parkjoy1080p_27qp_0fr_50fps_12-preset_8t,99.205905446
parkjoy1080p_32qp_0fr_50fps_6-preset_8t,99.310272744
parkjoy1080p_27qp_0fr_50fps_0-preset_8t,99.695537066
parkjoy1080p_27qp_0fr_50fps_6-preset_8t,99.559722996
