Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990396,0.978030,0.984639,0.992421,0.997139,0.000000,0.000000,0.621593,0.959027,0.976462,0.983825,93.000676,
1,0.982120,0.957133,0.970396,0.985677,0.996194,11.449331,11.449331,0.522752,0.948240,0.975396,0.985710,100.000000,
2,0.985343,0.965198,0.976702,0.989301,0.995419,11.639974,11.639974,0.546768,0.957043,0.979875,0.988574,100.000000,
3,0.980703,0.955273,0.969630,0.985425,0.993454,11.270910,11.824476,0.516248,0.949512,0.976289,0.986553,100.000000,
4,0.988083,0.971233,0.981250,0.989875,0.997030,10.946801,11.270910,0.569297,0.967172,0.985194,0.991798,100.000000,
5,0.980875,0.955870,0.968952,0.984471,0.994050,10.946801,10.946801,0.505271,0.949591,0.976453,0.986662,100.000000,
6,0.985253,0.965600,0.976748,0.987644,0.995173,11.760733,11.760733,0.536500,0.959602,0.981226,0.989074,100.000000,
7,0.981794,0.955697,0.968848,0.985138,0.995543,11.825182,11.825182,0.507510,0.951496,0.977579,0.987363,100.000000,
8,0.989718,0.974363,0.982537,0.991221,0.997878,12.189578,12.208318,0.595667,0.973409,0.988255,0.993581,100.000000,
9,0.981878,0.956053,0.968486,0.986435,0.995024,11.935991,12.189578,0.505864,0.951180,0.977532,0.987035,100.000000,
10,0.985172,0.964411,0.975683,0.988000,0.995830,11.935991,11.935991,0.531344,0.959329,0.981650,0.989855,100.000000,
11,0.981418,0.957422,0.970222,0.983885,0.994720,12.433972,12.433972,0.508643,0.949676,0.977014,0.986962,100.000000,
12,0.987307,0.971069,0.980555,0.989487,0.995897,12.466149,12.466149,0.569211,0.967566,0.985669,0.991947,100.000000,
13,0.980292,0.955639,0.969271,0.984133,0.994018,11.597003,12.576557,0.511047,0.951356,0.978191,0.987982,100.000000,
14,0.984562,0.966210,0.975456,0.986740,0.995555,11.160918,11.597003,0.546403,0.961508,0.983015,0.990678,100.000000,
15,0.980215,0.957337,0.970735,0.983542,0.992957,9.894833,11.160918,0.526053,0.954136,0.979346,0.988512,100.000000,
16,0.991661,0.981804,0.987870,0.993191,0.997001,9.894833,9.894833,0.663508,0.982983,0.992460,0.995736,100.000000,
17,0.981104,0.958826,0.971014,0.984017,0.994402,9.629407,9.903625,0.532276,0.955463,0.980103,0.989057,100.000000,
18,0.985599,0.967654,0.977238,0.988833,0.995587,9.629407,9.629407,0.564050,0.964672,0.984371,0.991454,100.000000,
