Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990382,0.972324,0.978375,0.992038,0.997762,0.000000,0.000000,0.776957,0.972326,0.987379,0.993000,94.088489,
1,0.984380,0.959439,0.966152,0.987126,0.994838,3.353189,3.717654,0.703674,0.961075,0.983397,0.991282,96.789392,
2,0.986461,0.961523,0.970479,0.989644,0.995781,3.353189,3.353189,0.717577,0.971155,0.987949,0.993713,97.678408,
3,0.983704,0.957269,0.964282,0.985648,0.995410,4.850497,4.850497,0.690826,0.960333,0.983007,0.991173,98.465048,
4,0.988658,0.962903,0.975286,0.991258,0.997306,3.910109,6.898657,0.732275,0.975440,0.989595,0.994764,99.034042,
5,0.984249,0.957223,0.965231,0.987122,0.995235,3.104182,3.910109,0.682497,0.957776,0.981972,0.991019,96.358098,
6,0.987099,0.959568,0.969737,0.990448,0.997111,3.104182,3.104182,0.713033,0.970686,0.987783,0.993694,97.493564,
7,0.984068,0.957092,0.961602,0.986756,0.996027,8.952062,8.952062,0.694509,0.959231,0.982758,0.991398,100.000000,
8,0.991289,0.967309,0.976833,0.993884,0.999459,10.968513,14.106015,0.772964,0.982662,0.993154,0.996594,100.000000,
9,0.981048,0.952942,0.957805,0.982908,0.994610,4.293876,10.968513,0.666047,0.949695,0.978057,0.988894,96.766182,
10,0.984199,0.956585,0.964575,0.987500,0.995209,3.301561,4.293876,0.690155,0.961850,0.983608,0.991455,96.714202,
11,0.984575,0.956206,0.963921,0.988170,0.995931,3.301561,3.301561,0.688730,0.961330,0.983547,0.991355,96.783775,
12,0.988374,0.963677,0.974866,0.991549,0.996490,4.698951,5.730782,0.731892,0.975053,0.989250,0.994266,99.897243,
13,0.984234,0.957392,0.965343,0.987576,0.994918,4.698951,4.698951,0.689262,0.961392,0.983437,0.991613,98.453324,
14,0.984487,0.959572,0.964567,0.986626,0.995696,6.745967,6.745967,0.705716,0.965446,0.985090,0.992248,100.000000,
15,0.983948,0.957565,0.964231,0.986440,0.995268,7.166884,9.276816,0.690306,0.958209,0.981957,0.990775,100.000000,
16,0.991601,0.971270,0.981795,0.993378,0.998429,3.207820,7.166884,0.778861,0.982688,0.992780,0.996555,99.116590,
17,0.984179,0.956751,0.963432,0.987773,0.995471,3.207820,3.207820,0.691729,0.959320,0.982781,0.991209,96.526469,
18,0.985982,0.958212,0.968940,0.989123,0.996361,4.469100,5.143035,0.708550,0.969291,0.986894,0.993203,98.868438,
19,0.983067,0.955709,0.963026,0.986494,0.994288,4.469100,4.469100,0.681672,0.957897,0.982008,0.990813,97.776383,
20,0.987092,0.961636,0.971337,0.989602,0.996580,8.512968,8.512968,0.730652,0.974494,0.989284,0.994580,100.000000,
21,0.982913,0.954306,0.960035,0.985103,0.995896,8.144745,11.835651,0.682510,0.953696,0.979847,0.989258,100.000000,
22,0.984764,0.956901,0.966467,0.988002,0.995606,6.595467,8.144745,0.697569,0.964264,0.984633,0.991983,100.000000,
23,0.981978,0.956133,0.961993,0.984017,0.993972,6.595467,6.595467,0.673525,0.950634,0.978397,0.988782,99.744518,
24,0.990535,0.968338,0.980223,0.993108,0.997209,6.613738,6.613738,0.770670,0.982054,0.992291,0.995877,100.000000,
25,0.982980,0.956785,0.961154,0.985484,0.994615,10.256525,10.256525,0.691281,0.956415,0.981153,0.990389,100.000000,
26,0.984393,0.957854,0.964988,0.987923,0.994834,10.347206,10.762180,0.702217,0.964565,0.984946,0.992292,100.000000,
27,0.981812,0.953955,0.959986,0.984856,0.993934,7.386401,10.347206,0.675282,0.952893,0.979424,0.989150,100.000000,
28,0.988063,0.962192,0.973746,0.991905,0.996329,4.241767,7.386401,0.722786,0.973136,0.988670,0.994249,99.223570,
29,0.982856,0.954729,0.963051,0.987123,0.993592,4.241767,4.241767,0.677482,0.955422,0.980753,0.989904,97.314231,
30,0.986436,0.959212,0.967907,0.989334,0.997220,9.460917,9.460917,0.714694,0.968772,0.986813,0.993234,100.000000,
31,0.982927,0.956904,0.963398,0.985720,0.994179,3.362835,11.412610,0.684286,0.953949,0.979653,0.989012,96.116168,
32,0.991073,0.970495,0.981117,0.993012,0.998000,2.970780,3.362835,0.769823,0.979836,0.991453,0.995779,98.560890,
33,0.985138,0.959363,0.966124,0.988175,0.995953,2.970780,2.970780,0.697381,0.961351,0.983399,0.991404,96.486472,
34,0.986045,0.959101,0.969967,0.988492,0.996355,6.190592,6.190592,0.709370,0.968702,0.986826,0.993234,100.000000,
35,0.982898,0.955796,0.961383,0.985406,0.995298,10.324931,10.324931,0.684020,0.955406,0.980974,0.990040,100.000000,
36,0.988314,0.962221,0.971030,0.992047,0.997627,10.811970,11.031343,0.726116,0.972222,0.988540,0.994560,100.000000,
37,0.982247,0.956313,0.959918,0.985450,0.994372,8.570230,10.811970,0.676727,0.952737,0.979474,0.989350,100.000000,
38,0.984990,0.958217,0.969142,0.987648,0.995512,3.440649,8.570230,0.697173,0.964394,0.985073,0.992281,97.199889,
39,0.982911,0.956058,0.964454,0.986283,0.994048,3.440649,3.440649,0.678381,0.954496,0.980362,0.989838,96.310455,
40,0.991119,0.969150,0.982535,0.994250,0.997126,5.901613,6.909076,0.767525,0.982446,0.992703,0.996288,100.000000,
41,0.984089,0.957096,0.965332,0.987727,0.994954,5.819444,5.901613,0.685853,0.958184,0.981863,0.990893,99.638514,
42,0.986108,0.960664,0.971404,0.989439,0.995208,5.819444,5.819444,0.711725,0.969675,0.987115,0.993282,100.000000,
43,0.982981,0.956463,0.957757,0.986523,0.995508,6.471519,6.471519,0.695143,0.959151,0.983079,0.991439,100.000000,
44,0.988802,0.962649,0.972115,0.992058,0.998247,10.426475,14.579437,0.737340,0.975104,0.990026,0.994968,100.000000,
45,0.981590,0.952988,0.960117,0.984473,0.994226,3.079051,10.426475,0.662762,0.948932,0.977445,0.988176,95.299578,
46,0.985319,0.958779,0.969229,0.988100,0.995550,3.079051,3.079051,0.697566,0.965689,0.985336,0.992472,96.850392,
47,0.984505,0.957715,0.966843,0.987421,0.995352,4.321334,4.321334,0.691137,0.960773,0.983249,0.991378,98.019759,
48,0.990936,0.972212,0.983098,0.992670,0.996939,5.486193,5.486193,0.785910,0.983426,0.992773,0.996092,100.000000,
49,0.983765,0.956872,0.966790,0.986494,0.994726,5.393851,7.143707,0.688593,0.958545,0.982039,0.990960,99.071109,
50,0.984068,0.959955,0.968067,0.987492,0.993497,3.915126,5.393851,0.707576,0.967521,0.985926,0.992629,97.668155,
51,0.983772,0.958284,0.964450,0.987470,0.994499,3.915126,3.915126,0.687152,0.958620,0.982131,0.991010,97.271579,
52,0.987960,0.961073,0.973216,0.991619,0.996978,9.204730,9.204730,0.727097,0.974293,0.989168,0.994333,100.000000,
53,0.981739,0.955763,0.961105,0.984531,0.993804,8.504146,9.391950,0.676910,0.954212,0.980130,0.989725,100.000000,
