Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.989915,0.972520,0.978626,0.991214,0.997129,0.000000,0.000000,0.777160,0.972395,0.987402,0.992953,93.984516,
1,0.986014,0.959956,0.968833,0.988287,0.996628,3.353189,3.717654,0.705840,0.962021,0.983825,0.991752,97.205057,
2,0.987258,0.961258,0.972499,0.990217,0.996466,3.353189,3.353189,0.717349,0.970595,0.987602,0.993535,97.820089,
3,0.983776,0.957641,0.964818,0.986093,0.994962,4.850497,4.850497,0.690457,0.959726,0.982375,0.990340,98.383459,
4,0.988688,0.963986,0.976059,0.991673,0.996544,3.910109,6.898657,0.733906,0.975992,0.989825,0.994826,99.058509,
5,0.984347,0.957163,0.965581,0.987120,0.995339,3.104182,3.910109,0.683120,0.957743,0.981899,0.990692,96.349738,
6,0.987395,0.959916,0.970113,0.990884,0.997261,3.104182,3.104182,0.712090,0.970161,0.987419,0.993377,97.514148,
7,0.983799,0.957617,0.961274,0.987010,0.995236,8.952062,8.952062,0.694349,0.958986,0.982355,0.991001,100.000000,
8,0.990996,0.967608,0.976981,0.993157,0.999197,10.968513,14.106015,0.775899,0.982923,0.993057,0.996649,100.000000,
9,0.981669,0.954135,0.959576,0.985557,0.993171,4.293876,10.968513,0.667735,0.950690,0.978245,0.988601,96.889184,
10,0.984091,0.957173,0.965744,0.987117,0.994656,3.301561,4.293876,0.689344,0.961656,0.983334,0.991069,96.647079,
11,0.984782,0.957033,0.964938,0.988007,0.995962,3.301561,3.301561,0.689653,0.961610,0.983628,0.991474,96.842752,
12,0.988058,0.963282,0.975006,0.991574,0.995756,4.698951,5.730782,0.732576,0.975474,0.989393,0.994493,99.854812,
13,0.984588,0.957354,0.965307,0.988469,0.995110,4.698951,4.698951,0.688798,0.961422,0.983557,0.991341,98.514091,
14,0.985128,0.958738,0.964704,0.989245,0.995373,6.745967,6.745967,0.704849,0.965004,0.984895,0.992168,100.000000,
15,0.983924,0.957005,0.963964,0.986423,0.995445,7.166884,9.276816,0.690936,0.958747,0.982214,0.990470,100.000000,
16,0.991350,0.971604,0.982355,0.992848,0.997937,3.207820,7.166884,0.778839,0.982229,0.992577,0.996435,99.040872,
17,0.983761,0.956656,0.963783,0.988045,0.994187,3.207820,3.207820,0.691420,0.958283,0.982115,0.990941,96.380787,
18,0.985927,0.959302,0.969731,0.989169,0.995653,4.469100,5.143035,0.709149,0.968963,0.986871,0.993147,98.849726,
19,0.982839,0.955883,0.964255,0.985078,0.994259,4.469100,4.469100,0.681675,0.957302,0.981396,0.990100,97.640387,
20,0.987303,0.961927,0.971523,0.989771,0.996814,8.512968,8.512968,0.731347,0.974087,0.988974,0.994312,100.000000,
21,0.983187,0.954487,0.958698,0.986912,0.995678,8.144745,11.835651,0.682126,0.953388,0.979698,0.989556,100.000000,
22,0.984625,0.958116,0.968703,0.987028,0.994839,6.595467,8.144745,0.696838,0.963979,0.984516,0.991701,100.000000,
23,0.982138,0.955703,0.963334,0.983708,0.994126,6.595467,6.595467,0.673075,0.951374,0.978729,0.988926,99.807945,
24,0.991554,0.969096,0.982324,0.994305,0.997728,6.613738,6.613738,0.775992,0.983466,0.993039,0.996385,100.000000,
25,0.983712,0.956774,0.959787,0.986790,0.995866,10.256525,10.256525,0.690130,0.957063,0.981630,0.990537,100.000000,
26,0.985663,0.958225,0.965922,0.988454,0.996948,10.347206,10.762180,0.701885,0.964233,0.984843,0.992412,100.000000,
27,0.982200,0.953341,0.958446,0.985738,0.994926,7.386401,10.347206,0.676950,0.953909,0.979987,0.989522,100.000000,
28,0.988654,0.962454,0.974192,0.992114,0.997338,4.241767,7.386401,0.723064,0.972920,0.988534,0.994138,99.336733,
29,0.982696,0.955550,0.964029,0.986764,0.992915,4.241767,4.241767,0.678061,0.955577,0.980690,0.989732,97.263541,
30,0.985800,0.960223,0.968172,0.987989,0.996407,9.460917,9.460917,0.714440,0.968422,0.986645,0.993153,100.000000,
31,0.984032,0.957629,0.963782,0.986570,0.995848,3.362835,11.412610,0.685778,0.954941,0.980202,0.989503,96.422971,
32,0.991086,0.971293,0.981131,0.992938,0.997912,2.970780,3.362835,0.769839,0.980079,0.991661,0.995947,98.587655,
33,0.985194,0.959055,0.965819,0.988796,0.995808,2.970780,2.970780,0.698139,0.961626,0.983549,0.991318,96.499341,
34,0.985927,0.958959,0.969338,0.988602,0.996278,6.190592,6.190592,0.708772,0.968043,0.986434,0.992929,100.000000,
35,0.982951,0.956652,0.960734,0.984989,0.995815,10.324931,10.324931,0.684226,0.955711,0.980993,0.990167,100.000000,
36,0.987520,0.962581,0.970898,0.990927,0.996584,10.811970,11.031343,0.726274,0.971960,0.988238,0.994286,100.000000,
37,0.982697,0.956680,0.961272,0.985980,0.994411,8.570230,10.811970,0.676671,0.953262,0.979908,0.989726,100.000000,
38,0.984555,0.958559,0.968330,0.987720,0.994677,3.440649,8.570230,0.697790,0.964674,0.984990,0.992177,97.094142,
39,0.982048,0.955894,0.963820,0.986195,0.992337,3.440649,3.440649,0.678077,0.954515,0.980366,0.989856,96.124723,
40,0.991614,0.969692,0.983665,0.995039,0.997111,5.901613,6.909076,0.772062,0.983188,0.992772,0.996242,100.000000,
41,0.984125,0.957965,0.965923,0.987474,0.994803,5.819444,5.901613,0.686215,0.958758,0.982262,0.991013,99.675958,
42,0.986761,0.959741,0.971288,0.990228,0.996419,5.819444,5.819444,0.711118,0.969719,0.987026,0.993014,100.000000,
43,0.983088,0.957107,0.959193,0.986111,0.995391,6.471519,6.471519,0.693850,0.957745,0.982265,0.991287,100.000000,
44,0.988158,0.962492,0.972003,0.990969,0.997622,10.426475,14.579437,0.737549,0.974683,0.989657,0.994795,100.000000,
45,0.981674,0.953749,0.961418,0.984334,0.993838,3.079051,10.426475,0.663183,0.948749,0.977409,0.988241,95.320583,
46,0.985165,0.958564,0.970199,0.987999,0.994904,3.079051,3.079051,0.697015,0.965003,0.984911,0.992229,96.775843,
47,0.984191,0.957570,0.966768,0.987076,0.994926,4.321334,4.321334,0.691407,0.960864,0.983272,0.991288,97.945439,
48,0.991943,0.972253,0.984846,0.994038,0.997572,5.486193,5.486193,0.786030,0.983717,0.993080,0.996372,100.000000,
49,0.983664,0.957982,0.966056,0.987195,0.994027,5.393851,7.143707,0.689635,0.958618,0.982016,0.990512,99.012703,
50,0.986187,0.961061,0.971216,0.989876,0.995201,3.915126,5.393851,0.707964,0.967677,0.986231,0.992863,98.162961,
51,0.983722,0.958573,0.966675,0.986511,0.994119,3.915126,3.915126,0.687300,0.958466,0.981937,0.990454,97.206956,
52,0.987919,0.961746,0.973947,0.991327,0.996657,9.204730,9.204730,0.727984,0.973546,0.988846,0.994228,100.000000,
53,0.983334,0.955916,0.963071,0.986790,0.995036,8.504146,9.391950,0.677595,0.955231,0.980773,0.989865,100.000000,
54,0.984527,0.958108,0.965881,0.987877,0.995552,7.514047,8.504146,0.700319,0.965005,0.985015,0.992237,100.000000,
55,0.982446,0.955091,0.962644,0.986699,0.993714,5.708704,7.514047,0.681236,0.956459,0.981102,0.990200,99.049827,
56,0.990992,0.969820,0.982596,0.992921,0.997762,5.360588,5.708704,0.774766,0.982770,0.992661,0.996113,100.000000,
57,0.982332,0.956259,0.962871,0.985448,0.994015,4.342602,5.360588,0.687448,0.958963,0.982241,0.990960,97.487467,
58,0.985476,0.959383,0.968630,0.989112,0.995508,4.342602,4.342602,0.710535,0.969253,0.987124,0.993602,98.644186,
59,0.983406,0.956800,0.964753,0.987211,0.994194,4.574031,4.574031,0.686023,0.960239,0.982876,0.990912,98.034145,
60,0.988368,0.962983,0.976009,0.991524,0.996635,5.700313,5.700313,0.731576,0.975162,0.989438,0.994597,100.000000,
61,0.984260,0.956271,0.965048,0.987889,0.995595,5.319605,5.748551,0.685390,0.959837,0.982872,0.991227,99.151277,
62,0.986409,0.960337,0.970250,0.989460,0.996352,4.998007,5.319605,0.712648,0.968638,0.986648,0.992934,99.578160,
63,0.983432,0.958749,0.966598,0.984679,0.994731,3.531895,4.998007,0.695638,0.960038,0.982919,0.990965,96.757161,
64,0.992317,0.974474,0.983828,0.993687,0.998673,3.220883,3.531895,0.795776,0.982033,0.992467,0.996307,99.257638,
65,0.985186,0.959672,0.968563,0.987297,0.995897,3.220883,3.220883,0.701435,0.961047,0.983344,0.991816,96.839755,
