Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.985120,0.963549,0.970174,0.986408,0.994686,0.000000,0.000000,0.719656,0.957654,0.980163,0.989062,92.307027,
1,0.975288,0.951944,0.952818,0.976124,0.988511,3.353189,3.717654,0.644632,0.923368,0.963256,0.979745,92.919874,
2,0.974950,0.951124,0.952148,0.976910,0.987694,3.353189,3.353189,0.633625,0.919804,0.961955,0.979077,92.736239,
3,0.971972,0.946266,0.941407,0.973060,0.988560,4.850497,4.850497,0.605481,0.898354,0.949426,0.971818,92.764507,
4,0.978074,0.952006,0.953911,0.980268,0.991323,3.910109,6.898657,0.641476,0.934460,0.970545,0.984704,94.946846,
5,0.970261,0.945391,0.938984,0.970276,0.987746,3.104182,3.910109,0.589927,0.892874,0.947223,0.971092,90.153554,
6,0.974293,0.947217,0.944281,0.975955,0.990413,3.104182,3.104182,0.610900,0.911461,0.958346,0.977812,92.034569,
7,0.973077,0.946757,0.939271,0.975709,0.989227,8.952062,8.952062,0.615739,0.905804,0.954664,0.975720,98.265201,
8,0.983759,0.957025,0.957338,0.986129,0.997009,10.968513,14.106015,0.693567,0.957545,0.981948,0.990645,100.000000,
9,0.967675,0.940905,0.934697,0.970457,0.984103,4.293876,10.968513,0.580165,0.889633,0.944613,0.969784,90.818411,
10,0.971172,0.943140,0.939968,0.974757,0.986634,3.301561,4.293876,0.596372,0.900483,0.951313,0.973404,90.948102,
11,0.971407,0.943134,0.940124,0.973256,0.988237,3.301561,3.301561,0.590812,0.894209,0.947670,0.970727,90.629607,
12,0.977834,0.950636,0.953127,0.980339,0.991402,4.698951,5.730782,0.639192,0.935509,0.971062,0.984588,95.868696,
13,0.969392,0.943480,0.939328,0.971905,0.984989,4.698951,4.698951,0.589124,0.892529,0.946753,0.970758,91.832481,
14,0.971614,0.947780,0.942819,0.972737,0.986780,6.745967,6.745967,0.616195,0.905067,0.953803,0.974695,95.333485,
15,0.972809,0.948562,0.944609,0.974212,0.987810,7.166884,9.276816,0.613738,0.904998,0.953747,0.974461,96.054224,
16,0.984250,0.958673,0.967244,0.986373,0.994783,3.207820,7.166884,0.697577,0.962632,0.983863,0.991853,96.652497,
17,0.973518,0.946910,0.946551,0.974729,0.988816,3.207820,3.207820,0.616160,0.908371,0.955437,0.976234,91.733837,
18,0.973293,0.945240,0.945748,0.974335,0.989500,4.469100,5.143035,0.609416,0.910741,0.957786,0.977391,93.412535,
19,0.969165,0.943848,0.941550,0.968876,0.985701,4.469100,4.469100,0.594483,0.894335,0.947520,0.971176,91.575000,
20,0.978094,0.949930,0.950247,0.981364,0.992257,8.512968,8.512968,0.640042,0.932725,0.969634,0.983728,100.000000,
21,0.968737,0.942923,0.932943,0.969722,0.986992,8.144745,11.835651,0.600004,0.893117,0.947050,0.970241,95.638357,
22,0.972163,0.945983,0.945052,0.974489,0.986905,6.595467,8.144745,0.603308,0.901901,0.952721,0.974278,95.190919,
23,0.970445,0.943968,0.940374,0.972791,0.986441,6.595467,6.595467,0.597350,0.897726,0.949840,0.972119,94.519295,
24,0.984336,0.956053,0.964443,0.988795,0.994603,6.613738,6.613738,0.687187,0.959517,0.982517,0.990617,100.000000,
25,0.970975,0.946430,0.937245,0.971525,0.988171,10.256525,10.256525,0.613517,0.900923,0.950995,0.972995,98.851132,
26,0.971898,0.946498,0.941373,0.972547,0.988516,10.347206,10.762180,0.611368,0.901645,0.952159,0.974503,99.314624,
