Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.968133,0.938657,0.931263,0.969971,0.987785,0.000000,0.000000,0.570336,0.893300,0.947800,0.969972,85.846830,
1,0.951969,0.930330,0.910182,0.950301,0.974413,3.353189,3.717654,0.517165,0.833119,0.906317,0.942244,82.736320,
2,0.938657,0.921340,0.891292,0.935941,0.963414,3.353189,3.353189,0.479790,0.783247,0.869349,0.917369,76.831200,
3,0.938651,0.919721,0.889417,0.936686,0.963463,4.850497,4.850497,0.464716,0.754426,0.846370,0.901989,76.689910,
4,0.934434,0.917617,0.885946,0.931255,0.959273,3.910109,6.898657,0.456166,0.744952,0.839888,0.898991,74.377190,
5,0.924019,0.910552,0.871272,0.916458,0.953189,3.104182,3.910109,0.435459,0.723425,0.823410,0.886754,70.057461,
6,0.925125,0.911250,0.870623,0.917098,0.955227,3.104182,3.104182,0.434092,0.724388,0.824306,0.886587,70.300343,
7,0.935458,0.922434,0.880065,0.928233,0.964298,8.952062,8.952062,0.461734,0.747987,0.845385,0.902504,80.515680,
8,0.944695,0.930224,0.889166,0.941230,0.970336,10.968513,14.106015,0.489708,0.773469,0.867826,0.918649,86.453625,
9,0.920192,0.896823,0.850544,0.916340,0.955187,4.293876,10.968513,0.422555,0.723384,0.827949,0.893139,71.253850,
10,0.921829,0.903572,0.858260,0.917350,0.954009,3.301561,4.293876,0.417949,0.709307,0.812404,0.878715,69.034936,
11,0.926075,0.907768,0.864252,0.923315,0.956336,3.301561,3.301561,0.423653,0.712263,0.813985,0.877246,69.806996,
12,0.931239,0.912274,0.871206,0.929818,0.960010,4.698951,5.730782,0.434850,0.724532,0.823542,0.883330,73.058079,
13,0.923509,0.902384,0.857878,0.919750,0.957058,4.698951,4.698951,0.424133,0.713104,0.814560,0.877903,70.884119,
14,0.929971,0.913903,0.867465,0.924416,0.961503,6.745967,6.745967,0.439512,0.725308,0.825904,0.887413,75.389749,
15,0.935394,0.916433,0.877432,0.930986,0.965226,7.166884,9.276816,0.449595,0.749823,0.848738,0.905839,78.975239,
16,0.946227,0.923194,0.894152,0.942582,0.974393,3.207820,7.166884,0.472991,0.790022,0.882145,0.931468,79.781383,
17,0.939392,0.918633,0.885076,0.934792,0.968496,3.207820,3.207820,0.447216,0.751280,0.850648,0.909571,75.765845,
18,0.928224,0.907857,0.863973,0.922634,0.962487,4.469100,5.143035,0.427457,0.724147,0.826613,0.890092,72.803349,
19,0.926752,0.908792,0.865916,0.918353,0.960973,4.469100,4.469100,0.429739,0.718932,0.821264,0.886362,72.074342,
