Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.969804,0.936612,0.933774,0.972807,0.989031,0.000000,0.000000,0.582119,0.912987,0.959295,0.977645,87.296889,
1,0.944993,0.921918,0.898241,0.942329,0.970451,3.353189,3.717654,0.497268,0.817341,0.897178,0.939023,80.723855,
2,0.932753,0.914388,0.879850,0.927093,0.962118,3.353189,3.353189,0.461170,0.766069,0.857416,0.910586,74.774421,
3,0.929475,0.910269,0.874663,0.923011,0.959851,4.850497,4.850497,0.444386,0.732591,0.830028,0.891254,73.589512,
4,0.929679,0.909167,0.870360,0.924477,0.961016,3.910109,6.898657,0.437956,0.725169,0.823339,0.888019,72.182167,
5,0.913799,0.894672,0.841770,0.904537,0.953012,3.104182,3.910109,0.419014,0.708587,0.811319,0.879220,67.190911,
6,0.911932,0.892336,0.831981,0.903989,0.953147,3.104182,3.104182,0.414935,0.705730,0.809217,0.876247,66.568882,
7,0.924421,0.909208,0.856485,0.916929,0.958634,8.952062,8.952062,0.443860,0.725280,0.826537,0.890377,76.815414,
8,0.937411,0.923527,0.877448,0.929825,0.967500,10.968513,14.106015,0.473311,0.752267,0.850361,0.906599,83.465643,
9,0.904518,0.880948,0.814014,0.898670,0.949208,4.293876,10.968513,0.407255,0.707977,0.816886,0.886213,67.350062,
10,0.909877,0.891165,0.833438,0.907134,0.945956,3.301561,4.293876,0.404552,0.694015,0.800879,0.871917,65.920162,
11,0.915690,0.897745,0.845183,0.912113,0.949915,3.301561,3.301561,0.408768,0.696521,0.803150,0.872399,67.164570,
12,0.926930,0.909530,0.868031,0.924466,0.955698,4.698951,5.730782,0.421481,0.708829,0.811563,0.875189,71.323055,
13,0.920587,0.905110,0.858866,0.915887,0.952091,4.698951,4.698951,0.411413,0.697809,0.803517,0.871287,69.596303,
14,0.934159,0.922764,0.881652,0.929433,0.960259,6.745967,6.745967,0.425540,0.711924,0.816470,0.881877,75.631661,
15,0.934537,0.919157,0.878652,0.928637,0.963915,7.166884,9.276816,0.435052,0.733100,0.836683,0.898676,77.943883,
16,0.943928,0.923978,0.889481,0.939316,0.973103,3.207820,7.166884,0.454232,0.769314,0.867390,0.921189,78.089674,
17,0.935904,0.916302,0.877579,0.930815,0.966710,3.207820,3.207820,0.434151,0.735856,0.838523,0.899533,73.991837,
18,0.926888,0.905514,0.861257,0.917789,0.964469,4.469100,5.143035,0.415872,0.711306,0.816375,0.882596,71.754032,
19,0.922826,0.904226,0.859294,0.913802,0.958717,4.469100,4.469100,0.416565,0.704306,0.809322,0.877941,70.402523,
20,0.931826,0.913425,0.872680,0.926014,0.962817,8.512968,8.512968,0.430672,0.713696,0.815430,0.881121,76.911270,
21,0.932777,0.916975,0.880360,0.930258,0.957949,8.144745,11.835651,0.429070,0.704486,0.807352,0.872483,75.889983,
22,0.922139,0.903381,0.858757,0.919627,0.953627,6.595467,8.144745,0.413571,0.701831,0.807650,0.873845,72.235823,
23,0.926299,0.905439,0.863704,0.922991,0.958552,6.595467,6.595467,0.428089,0.727079,0.832178,0.893013,75.110696,
24,0.940667,0.918868,0.889394,0.937986,0.967165,6.613738,6.613738,0.454205,0.759550,0.859363,0.913029,80.344664,
25,0.937735,0.925600,0.890066,0.932733,0.961716,10.256525,10.256525,0.445624,0.731942,0.833497,0.895616,81.493057,
26,0.931037,0.922852,0.882461,0.923229,0.957271,10.347206,10.762180,0.429554,0.708054,0.810300,0.877436,78.231784,
27,0.929046,0.915205,0.878454,0.923563,0.955937,7.386401,10.347206,0.427876,0.707414,0.807599,0.874237,74.441927,
28,0.929262,0.911958,0.872955,0.926015,0.958010,4.241767,7.386401,0.430963,0.716322,0.815678,0.880629,71.746441,
29,0.927160,0.908962,0.865860,0.923846,0.958385,4.241767,4.241767,0.429550,0.718249,0.819110,0.883126,71.605428,
30,0.938286,0.924952,0.894660,0.930682,0.963741,9.460917,9.460917,0.445811,0.736900,0.835107,0.894036,80.707529,
31,0.939516,0.918088,0.882862,0.935945,0.969615,3.362835,11.412610,0.466771,0.780858,0.872983,0.922557,77.586347,
32,0.958119,0.933101,0.913879,0.957812,0.981594,2.970780,3.362835,0.511052,0.845673,0.920852,0.954603,85.124861,
33,0.938711,0.918839,0.882372,0.936423,0.967343,2.970780,2.970780,0.466562,0.781766,0.873305,0.924239,77.105049,
34,0.930425,0.916345,0.874375,0.927413,0.958235,6.190592,6.190592,0.442515,0.736339,0.834373,0.895670,75.710608,
35,0.933324,0.922754,0.883743,0.926528,0.960464,10.324931,10.324931,0.446209,0.724361,0.823119,0.888485,79.808334,
36,0.931331,0.921273,0.878510,0.927964,0.956560,10.811970,11.031343,0.445680,0.718582,0.816234,0.879322,79.028192,
37,0.926639,0.917023,0.873074,0.922304,0.953791,8.570230,10.811970,0.431901,0.709338,0.809168,0.874412,75.241239,
38,0.922859,0.905752,0.865603,0.918732,0.954177,3.440649,8.570230,0.418224,0.706528,0.809792,0.874918,69.059312,
39,0.929120,0.907924,0.876939,0.927859,0.956996,3.440649,3.440649,0.427931,0.725343,0.829350,0.890972,71.997475,
40,0.941265,0.921577,0.895291,0.938346,0.967305,5.901613,6.909076,0.451263,0.759935,0.859388,0.913540,79.731519,
41,0.926745,0.909675,0.868387,0.921959,0.958580,5.819444,5.901613,0.429248,0.727729,0.831994,0.892951,74.347136,
42,0.917730,0.899353,0.855623,0.910593,0.953392,5.819444,5.819444,0.414117,0.704013,0.808736,0.873744,70.522311,
43,0.936381,0.928780,0.893321,0.927135,0.961579,6.471519,6.471519,0.444083,0.710777,0.809608,0.872994,74.893593,
44,0.931390,0.920913,0.877838,0.925109,0.958855,10.426475,14.579437,0.451639,0.717602,0.815100,0.879078,78.595706,
45,0.906879,0.885818,0.827982,0.901998,0.947106,3.079051,10.426475,0.408790,0.699632,0.804121,0.873142,65.205370,
46,0.914616,0.896386,0.846298,0.910139,0.950142,3.079051,3.079051,0.415400,0.712156,0.814739,0.879814,67.472719,
47,0.928971,0.910283,0.869615,0.925760,0.959954,4.321334,4.321334,0.439108,0.743803,0.843378,0.901553,74.074716,
48,0.944686,0.924874,0.899065,0.941691,0.970307,5.486193,5.486193,0.472345,0.789052,0.880933,0.927597,81.710387,
49,0.930829,0.910660,0.876912,0.927013,0.960849,5.393851,7.143707,0.442208,0.747176,0.847714,0.904261,75.973910,
50,0.921191,0.909924,0.868958,0.914673,0.950607,3.915126,5.393851,0.424253,0.716919,0.818377,0.880753,69.858324,
51,0.925234,0.913736,0.875775,0.918068,0.953612,3.915126,3.915126,0.426849,0.706250,0.807504,0.873992,69.896551,
52,0.934112,0.918032,0.889323,0.927735,0.960721,9.204730,9.204730,0.432822,0.709447,0.810144,0.874304,77.454407,
53,0.923571,0.910316,0.866723,0.918057,0.954487,8.504146,9.391950,0.418770,0.696526,0.800118,0.867427,73.854777,
54,0.925923,0.915976,0.877692,0.926059,0.948368,7.514047,8.504146,0.423062,0.701052,0.805920,0.873106,73.855101,
55,0.927661,0.914265,0.875334,0.926297,0.954413,5.708704,7.514047,0.428745,0.720416,0.824784,0.889555,73.961628,
56,0.942389,0.929815,0.901292,0.938331,0.966029,5.360588,5.708704,0.464172,0.761068,0.858498,0.912142,79.202178,
57,0.929195,0.915872,0.877699,0.923439,0.958853,4.342602,5.360588,0.437419,0.730758,0.831799,0.891194,73.057270,
58,0.926574,0.916086,0.878011,0.923414,0.951874,4.342602,4.342602,0.427544,0.711763,0.811888,0.873760,70.731340,
59,0.922653,0.909302,0.868261,0.919277,0.951187,4.574031,4.574031,0.426687,0.708265,0.806393,0.870026,69.763747,
60,0.931063,0.919134,0.887802,0.925763,0.955686,5.700313,5.700313,0.444062,0.725208,0.819892,0.881522,73.837272,
61,0.930009,0.917402,0.880899,0.924347,0.957268,5.319605,5.748551,0.443965,0.730104,0.824708,0.885034,73.595264,
