Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.989718,0.975155,0.984290,0.992164,0.994864,0.000000,0.000000,0.767867,0.981449,0.991234,0.994846,94.309728,
1,0.964454,0.936808,0.939073,0.969814,0.981814,3.746210,3.746210,0.573099,0.907494,0.953048,0.973967,90.192340,
2,0.960269,0.926411,0.930064,0.968582,0.979577,2.884961,6.382805,0.539426,0.887365,0.942299,0.967528,87.325777,
3,0.952913,0.909292,0.915461,0.958487,0.981252,2.884961,2.884961,0.511149,0.873422,0.933133,0.960862,84.899974,
4,0.966580,0.937516,0.942272,0.969925,0.984297,5.837796,13.314754,0.558938,0.897880,0.949551,0.971985,92.797722,
5,0.949407,0.907289,0.916150,0.954384,0.974681,4.566332,5.837796,0.500510,0.869233,0.931543,0.960406,86.032431,
6,0.960868,0.925304,0.935323,0.963616,0.982257,3.154178,4.566332,0.527592,0.884468,0.941002,0.966261,87.637303,
7,0.963586,0.931457,0.944086,0.966818,0.980048,3.154178,3.154178,0.537721,0.891562,0.944954,0.967981,88.509050,
8,0.978297,0.949023,0.963960,0.981481,0.991193,4.069302,9.112139,0.600531,0.939715,0.972430,0.985397,95.361013,
9,0.961600,0.928881,0.936418,0.965544,0.980461,4.069302,4.069302,0.523129,0.885914,0.941444,0.966012,88.879036,
10,0.966216,0.936371,0.948952,0.968163,0.981897,7.027479,7.027479,0.529336,0.881443,0.939385,0.965607,93.132632,
11,0.958338,0.924575,0.933836,0.957112,0.982392,7.215204,11.393105,0.499175,0.863116,0.927509,0.959110,90.656912,
12,0.967295,0.940984,0.948704,0.967671,0.984482,7.215204,7.215204,0.542215,0.897220,0.949719,0.973187,94.623186,
13,0.959602,0.932942,0.936400,0.959010,0.979577,10.014999,11.871850,0.511453,0.867166,0.931201,0.960200,94.182082,
14,0.962195,0.930684,0.940164,0.963706,0.981341,7.440211,10.014999,0.529409,0.880274,0.937204,0.963735,92.491673,
15,0.964821,0.939743,0.942644,0.964666,0.983298,6.989193,7.440211,0.547086,0.888299,0.940286,0.964504,92.744543,
16,0.981297,0.958765,0.968929,0.984855,0.991486,4.380547,6.989193,0.634314,0.953248,0.979162,0.988797,96.984141,
17,0.965051,0.936313,0.944564,0.966302,0.983168,4.380547,4.380547,0.544938,0.893316,0.945521,0.968119,90.301710,
18,0.968565,0.942793,0.948915,0.968719,0.985600,10.966059,11.969520,0.536063,0.880802,0.939546,0.966131,97.933513,
19,0.958800,0.926027,0.930173,0.962970,0.979122,5.416150,10.966059,0.500109,0.866688,0.931615,0.962621,89.180823,
20,0.969113,0.941429,0.947425,0.970284,0.986698,5.416150,5.416150,0.541833,0.905914,0.955067,0.976174,93.442747,
21,0.959209,0.925276,0.932994,0.963549,0.978492,6.341694,6.341694,0.500961,0.868432,0.928451,0.958573,89.866815,
22,0.970384,0.949568,0.955826,0.972743,0.981064,7.294937,12.626385,0.535325,0.878282,0.936559,0.965031,94.158860,
23,0.961739,0.923902,0.935240,0.962957,0.984389,5.245720,7.294937,0.520898,0.883252,0.939450,0.966428,90.224044,
24,0.979323,0.953715,0.963319,0.979743,0.993695,5.245720,5.245720,0.611324,0.943438,0.974053,0.985919,97.110415,
25,0.962003,0.927050,0.936570,0.965233,0.981210,6.824446,6.919890,0.525107,0.884798,0.940367,0.963869,91.910784,
26,0.965721,0.940291,0.946567,0.967371,0.980871,6.824446,6.824446,0.529534,0.878956,0.937099,0.964195,92.590204,
27,0.960000,0.929203,0.935463,0.958184,0.982328,7.224620,9.791444,0.506228,0.867373,0.929433,0.959644,91.140551,
28,0.968319,0.943969,0.949157,0.970135,0.982986,5.434075,7.224620,0.553745,0.902240,0.950103,0.971040,92.662499,
29,0.959565,0.929474,0.932975,0.961387,0.979087,5.434075,5.434075,0.516378,0.874645,0.934101,0.961402,89.358040,
30,0.965574,0.940725,0.940599,0.969413,0.981295,5.498270,5.498270,0.547241,0.888616,0.941609,0.965586,91.345425,
31,0.970006,0.945942,0.946336,0.971870,0.986350,4.327865,5.974670,0.574023,0.900851,0.948438,0.971123,91.647022,
32,0.987729,0.970031,0.978011,0.990199,0.995395,4.327865,4.327865,0.715959,0.969904,0.986350,0.992890,99.029881,
33,0.971381,0.940617,0.950796,0.973526,0.987875,5.028733,5.028733,0.571446,0.901875,0.949240,0.969792,92.702754,
34,0.966575,0.938217,0.939414,0.967137,0.987001,4.917128,7.512105,0.548619,0.884294,0.939198,0.965245,90.752400,
35,0.961179,0.925843,0.934517,0.961498,0.983273,4.917128,4.917128,0.514237,0.872052,0.933049,0.962189,89.128176,
36,0.968485,0.940102,0.947314,0.970477,0.985028,5.618725,5.618725,0.547899,0.903541,0.952403,0.972627,93.140296,
37,0.956259,0.917802,0.926100,0.961923,0.977743,4.216039,6.901472,0.496052,0.867342,0.930299,0.957909,86.845932,
38,0.960963,0.927772,0.934048,0.963850,0.981393,4.187749,4.216039,0.516954,0.878729,0.936399,0.961448,88.316975,
39,0.961724,0.926042,0.935851,0.963684,0.982886,4.187749,4.187749,0.520412,0.882177,0.937592,0.962553,88.612777,
40,0.978464,0.951051,0.960481,0.980906,0.992708,7.132816,7.132816,0.608872,0.941186,0.973199,0.985712,99.064614,
41,0.963399,0.926916,0.935728,0.966488,0.984210,6.028687,10.327979,0.518844,0.882500,0.939038,0.967495,91.541513,
42,0.963126,0.925964,0.936087,0.964427,0.985362,5.833809,6.028687,0.515108,0.874277,0.934491,0.963470,90.753934,
43,0.961535,0.926096,0.936013,0.961937,0.983472,3.478784,5.833809,0.501875,0.868372,0.930887,0.959942,87.283481,
44,0.970331,0.939523,0.948405,0.973110,0.987476,3.478784,3.478784,0.545409,0.907813,0.954641,0.973757,91.218009,
45,0.960196,0.921557,0.932222,0.963116,0.982060,3.767603,3.767603,0.500419,0.872844,0.933861,0.961653,87.595934,
46,0.964267,0.931946,0.945225,0.962983,0.982889,4.135451,5.813307,0.527780,0.880204,0.936733,0.962362,89.033848,
47,0.963264,0.932984,0.942322,0.961438,0.982903,3.861310,4.135451,0.536071,0.890880,0.943358,0.967720,89.192570,
48,0.981647,0.961148,0.970565,0.982293,0.992310,3.861310,3.861310,0.648593,0.955829,0.979611,0.988339,96.415639,
49,0.965348,0.935211,0.941232,0.967718,0.984204,3.321570,4.429099,0.536282,0.888767,0.940921,0.964832,88.667814,
50,0.964269,0.935564,0.943553,0.967359,0.980529,3.310854,3.321570,0.528974,0.880839,0.935528,0.961892,87.973866,
51,0.960807,0.929135,0.933958,0.963104,0.981527,3.310854,3.310854,0.507631,0.869135,0.929780,0.959491,86.840640,
52,0.968376,0.937037,0.948397,0.968105,0.987146,2.580352,4.258972,0.543187,0.907753,0.954927,0.974263,89.776283,
53,0.962207,0.931869,0.940308,0.961762,0.981473,2.580352,2.580352,0.507798,0.873844,0.934555,0.961924,86.662952,
54,0.964873,0.935591,0.947291,0.963165,0.982658,3.490116,3.490116,0.524449,0.883918,0.941085,0.966208,88.894145,
55,0.964238,0.930758,0.943895,0.963672,0.983984,3.104962,5.267213,0.525515,0.885481,0.940294,0.966232,88.270300,
56,0.977890,0.953272,0.967362,0.978923,0.989161,3.104962,3.104962,0.617660,0.945766,0.974253,0.984930,94.148642,
57,0.964810,0.936106,0.944862,0.964069,0.983156,3.675159,3.675159,0.531060,0.889136,0.942102,0.965774,89.102829,
58,0.963555,0.936776,0.940565,0.964159,0.982097,4.617943,4.617943,0.522228,0.881323,0.938443,0.964641,89.701818,
59,0.959643,0.929166,0.933550,0.959039,0.981780,6.004555,6.004555,0.501496,0.868362,0.931177,0.960519,89.844278,
60,0.967402,0.941702,0.950250,0.968117,0.982574,4.094038,7.190274,0.542896,0.898308,0.949217,0.970939,90.854991,
61,0.961238,0.924982,0.939185,0.964695,0.979948,3.550250,4.094038,0.508624,0.867677,0.930193,0.959685,87.244146,
62,0.967660,0.944187,0.947335,0.967541,0.984474,3.550250,3.550250,0.543805,0.883777,0.939838,0.965491,89.426291,
63,0.968219,0.944807,0.949425,0.968929,0.983596,3.898448,4.160108,0.559593,0.895377,0.945918,0.967796,90.390013,
64,0.987216,0.970828,0.980387,0.986767,0.995477,3.785497,3.898448,0.711385,0.967924,0.985174,0.991482,98.069084,
65,0.970086,0.946778,0.955386,0.967723,0.985740,3.785497,3.785497,0.567700,0.895912,0.945458,0.968219,90.662377,
66,0.967662,0.940535,0.948681,0.965688,0.986313,3.174457,5.524956,0.539185,0.883381,0.938180,0.963400,88.751932,
67,0.963616,0.929302,0.942368,0.964679,0.983174,3.174457,3.174457,0.514630,0.873627,0.932623,0.959592,87.392616,
68,0.969228,0.941518,0.951212,0.969892,0.985627,3.734304,5.174967,0.549929,0.906298,0.953668,0.974983,91.333129,
69,0.961310,0.931497,0.938801,0.959828,0.981988,3.734304,3.734304,0.509735,0.867387,0.927329,0.957679,87.198692,
70,0.967136,0.946493,0.941823,0.965797,0.985988,9.342113,9.342113,0.526961,0.869650,0.929071,0.957282,94.775616,
71,0.966675,0.940179,0.944646,0.966239,0.985201,4.699798,13.052180,0.521244,0.872756,0.931223,0.959511,89.758395,
72,0.977278,0.953854,0.963983,0.977917,0.989928,4.699798,4.699798,0.610631,0.941712,0.972415,0.984869,95.855808,
73,0.963662,0.931367,0.938960,0.967431,0.982015,4.793124,4.793124,0.522677,0.882439,0.939068,0.965001,89.982681,
74,0.964650,0.934418,0.946667,0.963304,0.982850,3.000067,5.007266,0.519000,0.874162,0.933598,0.960599,87.518447,
75,0.959091,0.923127,0.933115,0.962738,0.979284,3.000067,3.000067,0.500816,0.868001,0.930550,0.959991,86.192983,
76,0.971491,0.939279,0.952911,0.975060,0.987229,5.817775,5.852782,0.543074,0.903151,0.951761,0.972780,94.003095,
77,0.962476,0.923878,0.937877,0.964455,0.984578,5.802111,5.817775,0.505028,0.870752,0.931667,0.958906,90.112031,
78,0.964355,0.935214,0.944918,0.964891,0.982095,4.607211,5.802111,0.526988,0.881306,0.937637,0.963648,89.743680,
79,0.968853,0.937197,0.948752,0.969232,0.987442,4.379717,4.607211,0.545963,0.892127,0.944086,0.968245,91.063075,
80,0.982157,0.957360,0.972039,0.981678,0.994200,2.568783,4.379717,0.652412,0.957367,0.981243,0.990163,95.147878,
81,0.966764,0.938688,0.944615,0.962876,0.988065,2.568783,2.568783,0.552891,0.894796,0.944532,0.967557,88.415853,
82,0.967329,0.940386,0.947098,0.966608,0.985186,2.741210,2.741210,0.534027,0.881906,0.938381,0.965665,88.355821,
83,0.961486,0.931035,0.937124,0.962388,0.981277,4.181473,4.296279,0.509729,0.867854,0.929662,0.959867,88.024904,
84,0.969579,0.944533,0.950918,0.968855,0.986098,2.578579,4.181473,0.548033,0.905164,0.952792,0.973882,89.899468,
85,0.960750,0.929445,0.937154,0.959705,0.981654,2.578579,2.578579,0.507866,0.871998,0.933767,0.963196,86.417157,
86,0.965106,0.934512,0.946316,0.965618,0.982286,3.049477,3.049477,0.526767,0.882815,0.939319,0.966229,88.344868,
87,0.964334,0.935029,0.945738,0.963276,0.982029,3.436184,3.436184,0.536208,0.888585,0.942474,0.968288,88.923489,
88,0.979855,0.954512,0.967139,0.978970,0.993534,3.152821,3.812724,0.620193,0.948329,0.976815,0.987819,94.982388,
89,0.964741,0.932906,0.944216,0.963824,0.984175,3.152821,3.152821,0.535186,0.886932,0.940032,0.965562,88.357296,
90,0.963751,0.934873,0.938335,0.964847,0.983531,3.818115,4.445165,0.521212,0.874861,0.935437,0.963743,88.611367,
91,0.961881,0.930296,0.933250,0.962370,0.984290,3.818115,3.818115,0.504967,0.870083,0.932975,0.962161,88.009162,
92,0.969026,0.942440,0.947519,0.969287,0.986930,5.298904,5.298904,0.543634,0.905522,0.953551,0.974645,93.100675,
93,0.957624,0.925885,0.935906,0.960044,0.975855,5.315898,5.315898,0.505759,0.865928,0.926186,0.953784,87.897219,
94,0.965958,0.940416,0.947661,0.962958,0.984217,6.047953,6.047953,0.543271,0.881530,0.937938,0.963603,91.745906,
95,0.965756,0.945820,0.949106,0.962481,0.981375,4.095280,9.223781,0.567758,0.891707,0.941715,0.966964,89.840253,
96,0.985576,0.967026,0.975969,0.986173,0.994771,4.095280,4.095280,0.709387,0.968356,0.985228,0.991618,98.112034,
97,0.969520,0.944926,0.947168,0.971787,0.985439,6.405940,7.054461,0.564966,0.894213,0.945063,0.968654,93.623632,
98,0.963025,0.936838,0.938961,0.967747,0.978659,5.338048,6.405940,0.533295,0.879177,0.935835,0.960942,90.011173,
99,0.958009,0.930245,0.934318,0.958613,0.976895,5.338048,5.338048,0.508852,0.865718,0.927616,0.957308,88.334268,
100,0.967343,0.938651,0.947084,0.966580,0.985376,2.941242,7.944275,0.535921,0.898187,0.948594,0.969642,89.352753,
101,0.958593,0.926426,0.929270,0.959863,0.980783,2.941242,2.941242,0.497378,0.865650,0.928461,0.957335,85.731915,
102,0.961603,0.931007,0.935854,0.963249,0.981442,3.713307,6.246037,0.508349,0.871120,0.931058,0.958104,87.426218,
103,0.960224,0.932594,0.936280,0.958462,0.980733,3.713307,3.713307,0.518910,0.875878,0.932953,0.959059,87.270231,
104,0.976492,0.949925,0.964973,0.975474,0.990025,6.042758,6.277506,0.602091,0.939488,0.971632,0.984387,97.194371,
105,0.962833,0.929915,0.943823,0.959652,0.983293,3.617415,6.042758,0.522620,0.883699,0.939912,0.965513,88.507460,
106,0.963838,0.932518,0.942066,0.958786,0.986467,3.617415,3.617415,0.521221,0.881101,0.939388,0.965521,88.701243,
107,0.959415,0.927326,0.932911,0.956679,0.982766,2.497145,6.258989,0.506121,0.875912,0.936036,0.962366,86.070130,
108,0.968814,0.939850,0.950570,0.967371,0.986371,2.497145,2.497145,0.549713,0.911842,0.957224,0.975329,89.948585,
109,0.961738,0.927033,0.939914,0.957599,0.984450,4.121058,5.693801,0.507352,0.871268,0.932389,0.961458,88.249133,
110,0.965050,0.933994,0.947032,0.963581,0.983016,4.121058,4.121058,0.527898,0.880565,0.938140,0.963511,89.333235,
111,0.964673,0.928332,0.945339,0.962188,0.985368,4.178881,4.179924,0.543001,0.889472,0.941279,0.965321,89.582985,
112,0.981602,0.956877,0.970424,0.979830,0.994800,3.243019,4.178881,0.646915,0.955711,0.979600,0.989202,95.713592,
113,0.965545,0.933407,0.940538,0.962169,0.988697,3.243019,3.243019,0.543458,0.890814,0.944746,0.970496,89.213926,
114,0.964280,0.931362,0.941136,0.964514,0.984471,2.839406,3.530739,0.527708,0.880303,0.937006,0.963257,87.585975,
115,0.960369,0.924589,0.936865,0.961456,0.980807,2.839406,2.839406,0.512076,0.872193,0.932293,0.961630,86.454275,
116,0.968391,0.938997,0.948076,0.969519,0.985338,2.666037,3.545125,0.547317,0.908854,0.955390,0.975893,90.026743,
117,0.962136,0.928848,0.935089,0.961613,0.984373,2.666037,2.666037,0.514341,0.877325,0.935696,0.961978,86.790189,
118,0.964094,0.935160,0.940603,0.961988,0.984502,2.982340,2.982340,0.526845,0.882303,0.938484,0.964477,87.876199,
119,0.963789,0.932227,0.942355,0.960319,0.984693,2.672485,3.307430,0.543243,0.894611,0.945574,0.968491,88.036754,
120,0.980421,0.953701,0.969585,0.980836,0.992196,2.672485,2.672485,0.628153,0.950243,0.976969,0.986938,94.448645,
121,0.968951,0.938959,0.946820,0.967071,0.988580,2.830790,2.864426,0.551817,0.893795,0.944119,0.965594,89.028602,
122,0.966719,0.934498,0.944024,0.966250,0.986357,2.347848,2.830790,0.532990,0.884374,0.940471,0.965047,87.796051,
123,0.966256,0.932902,0.941562,0.966046,0.987054,2.347848,2.347848,0.522116,0.880137,0.938440,0.964066,87.552670,
124,0.972940,0.939776,0.954535,0.973937,0.989977,2.482809,2.890279,0.561917,0.915059,0.959062,0.976804,91.000478,
125,0.963932,0.931876,0.942655,0.963442,0.983101,2.482809,2.482809,0.529347,0.880412,0.936918,0.962279,87.002535,
126,0.969753,0.939898,0.951247,0.966526,0.988763,2.652353,2.652353,0.558811,0.892836,0.943837,0.967636,89.122641,
127,0.971367,0.946093,0.950107,0.969865,0.989201,2.506464,2.705999,0.591617,0.908728,0.953089,0.973740,90.142709,
128,0.987429,0.970237,0.979734,0.986976,0.995834,2.506464,2.506464,0.723260,0.969888,0.986036,0.992641,96.639571,
129,0.970858,0.947106,0.951527,0.968945,0.987485,2.642778,2.820920,0.587685,0.904337,0.949911,0.972091,89.932229,
130,0.969157,0.941271,0.947666,0.970173,0.985756,2.582402,2.642778,0.554214,0.890948,0.943931,0.968301,88.971472,
131,0.964558,0.934310,0.938000,0.963578,0.985689,2.582402,2.582402,0.529234,0.881148,0.938762,0.964951,87.541993,
132,0.974142,0.943722,0.954369,0.973847,0.991514,2.862387,2.862387,0.561172,0.913306,0.958151,0.977780,91.755297,
133,0.960319,0.933357,0.934834,0.960248,0.979518,2.584461,2.958308,0.518603,0.872200,0.931965,0.960533,86.029609,
134,0.964588,0.937263,0.944976,0.964546,0.981265,2.584461,2.584461,0.528239,0.882262,0.939933,0.964799,87.590291,
135,0.965341,0.935137,0.939442,0.967265,0.984788,2.645377,2.645377,0.537992,0.890519,0.944214,0.967348,88.193305,
136,0.981400,0.953481,0.970539,0.980241,0.994858,2.577935,3.885756,0.619589,0.947885,0.976189,0.987364,94.543180,
137,0.965721,0.932513,0.941253,0.963452,0.988071,2.577935,2.577935,0.542308,0.890361,0.943873,0.968592,88.269686,
138,0.967937,0.934514,0.945983,0.966243,0.988700,3.126801,3.126801,0.528881,0.884147,0.941138,0.965860,89.086561,
139,0.961446,0.929433,0.935992,0.958748,0.984459,2.560085,3.240856,0.519224,0.877399,0.935547,0.962527,86.544844,
140,0.970172,0.941736,0.953365,0.967191,0.988057,2.560085,2.560085,0.558590,0.915000,0.959019,0.977135,90.528779,
141,0.960955,0.928617,0.936221,0.961379,0.981049,2.620099,2.940998,0.522421,0.880627,0.938020,0.963530,86.688508,
142,0.966326,0.936104,0.945506,0.966350,0.984228,2.620099,2.620099,0.540908,0.888735,0.941693,0.965579,88.122411,
143,0.967272,0.940679,0.946491,0.965718,0.985472,2.985770,3.063184,0.556916,0.894957,0.945762,0.969011,89.187467,
144,0.984053,0.961961,0.972478,0.983986,0.995728,2.985770,2.985770,0.659634,0.958582,0.980821,0.989921,96.041687,
145,0.968789,0.941056,0.949752,0.967560,0.986567,2.731516,3.002842,0.561959,0.901181,0.948290,0.969361,89.341357,
146,0.966983,0.936099,0.945564,0.967229,0.986035,2.731516,2.731516,0.540788,0.890002,0.943097,0.965063,88.416531,
147,0.960878,0.928824,0.936302,0.959780,0.983006,2.715869,3.004519,0.520394,0.878555,0.936632,0.962992,86.689072,
148,0.970414,0.940955,0.950938,0.970942,0.987930,2.715869,2.715869,0.558025,0.917085,0.960235,0.977735,90.873981,
149,0.958142,0.925484,0.932875,0.960028,0.978326,2.802843,2.953578,0.519217,0.880419,0.938621,0.965169,86.465913,
150,0.963797,0.931873,0.940636,0.964910,0.983047,2.720343,2.802843,0.533435,0.885995,0.942231,0.968640,87.975167,
151,0.964425,0.935468,0.942526,0.964907,0.982629,2.720343,2.720343,0.550186,0.896217,0.947681,0.970736,88.486741,
152,0.981136,0.954094,0.969484,0.981066,0.994256,2.769447,2.771327,0.630112,0.950224,0.977496,0.987632,94.800571,
153,0.967083,0.935100,0.946708,0.966154,0.986626,2.713376,2.769447,0.551741,0.893864,0.944348,0.969081,88.771177,
154,0.965187,0.932330,0.946449,0.963568,0.984691,2.713376,2.713376,0.539837,0.886087,0.940810,0.967623,88.113746,
155,0.960485,0.928133,0.938596,0.958788,0.981362,2.892392,2.892392,0.523536,0.876810,0.933906,0.960617,86.510330,
156,0.969633,0.941038,0.949506,0.969048,0.987623,2.552502,2.995389,0.562736,0.913715,0.958690,0.977906,90.442529,
157,0.963016,0.932540,0.937790,0.962138,0.984097,2.552502,2.552502,0.534960,0.883189,0.939714,0.966379,87.320124,
158,0.968592,0.940612,0.948583,0.967752,0.986443,2.630734,2.868129,0.560160,0.890404,0.942337,0.966262,88.672341,
159,0.970278,0.944272,0.953805,0.966143,0.988250,2.630734,2.630734,0.592896,0.907080,0.951841,0.972264,89.886598,
160,0.987375,0.969363,0.981796,0.987751,0.994616,2.602799,2.693167,0.728091,0.971114,0.986646,0.992876,96.800465,
161,0.971769,0.945536,0.956571,0.971727,0.986064,2.602799,2.602799,0.595974,0.906971,0.951510,0.974365,90.320615,
162,0.967604,0.942341,0.946947,0.969922,0.982738,2.566017,2.626410,0.561519,0.891853,0.942707,0.969026,88.614823,
163,0.964350,0.932963,0.944522,0.961012,0.984639,2.566017,2.566017,0.532932,0.880197,0.935609,0.962990,87.186053,
164,0.970549,0.940617,0.953795,0.968711,0.987803,2.660013,2.766400,0.563404,0.915190,0.959012,0.977796,90.776621,
165,0.962001,0.928788,0.942250,0.958236,0.982794,2.660013,2.660013,0.522492,0.876690,0.933720,0.961349,86.607866,
