Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.985483,0.969906,0.978922,0.988137,0.991364,0.000000,0.000000,0.710930,0.961316,0.980853,0.988560,92.398765,
1,0.971982,0.949913,0.957652,0.975925,0.982927,3.746210,3.746210,0.619396,0.930055,0.964386,0.979520,92.748960,
2,0.972354,0.947939,0.955692,0.976139,0.985376,2.884961,6.382805,0.587072,0.912792,0.957207,0.977044,91.266924,
3,0.967494,0.942125,0.948894,0.967980,0.984608,2.884961,2.884961,0.558476,0.898974,0.949744,0.973087,89.606211,
4,0.972714,0.948896,0.955268,0.975518,0.985909,5.837796,13.314754,0.597272,0.916788,0.959742,0.978404,95.087573,
5,0.965075,0.940068,0.947245,0.966980,0.979940,4.566332,5.837796,0.539350,0.890947,0.944765,0.969331,90.590975,
6,0.967012,0.939740,0.951585,0.970289,0.980241,3.154178,4.566332,0.564543,0.899772,0.948317,0.970647,89.567162,
7,0.970526,0.944429,0.953672,0.975624,0.982412,3.154178,3.154178,0.576025,0.909976,0.954457,0.973224,90.787921,
8,0.979782,0.956222,0.968233,0.982856,0.989756,4.069302,9.112139,0.637013,0.948401,0.975491,0.985909,95.867956,
9,0.969415,0.940770,0.952936,0.972907,0.983056,4.069302,4.069302,0.559366,0.903854,0.951115,0.971647,91.385536,
10,0.968373,0.942238,0.949539,0.972610,0.981973,7.027479,7.027479,0.565108,0.899227,0.948983,0.971035,94.445304,
11,0.965953,0.939646,0.946662,0.968017,0.982278,7.215204,11.393105,0.537239,0.887050,0.940946,0.965333,93.334014,
12,0.972141,0.948534,0.957471,0.972199,0.986713,7.215204,7.215204,0.585060,0.918854,0.961164,0.978401,96.615381,
13,0.966646,0.943182,0.948476,0.965891,0.983263,10.014999,11.871850,0.550565,0.891819,0.945725,0.968476,96.996526,
14,0.971078,0.945192,0.950780,0.972766,0.987611,7.440211,10.014999,0.561677,0.896860,0.947386,0.970473,95.377505,
15,0.971825,0.946431,0.950100,0.971825,0.990036,6.989193,7.440211,0.580538,0.906060,0.951379,0.972737,95.395189,
16,0.984168,0.962881,0.972838,0.985765,0.995056,4.380547,6.989193,0.667153,0.962475,0.983510,0.991365,98.035430,
17,0.972230,0.945642,0.954289,0.973758,0.988153,4.380547,4.380547,0.576015,0.912916,0.957201,0.975724,92.945044,
18,0.971705,0.948532,0.954119,0.969952,0.988454,10.966059,11.969520,0.567383,0.898153,0.949432,0.972187,99.563695,
19,0.969326,0.942712,0.949560,0.970124,0.986051,5.416150,10.966059,0.536171,0.888307,0.943766,0.969394,92.453038,
20,0.974819,0.950583,0.958418,0.974342,0.990049,5.416150,5.416150,0.580851,0.924517,0.965079,0.981230,95.525608,
21,0.969875,0.944048,0.949225,0.970450,0.986949,6.341694,6.341694,0.538907,0.893179,0.946524,0.969853,93.788625,
22,0.970815,0.946264,0.951168,0.972967,0.985073,7.294937,12.626385,0.568859,0.895595,0.946628,0.970519,95.128029,
23,0.968829,0.943109,0.951060,0.970693,0.983310,5.245720,7.294937,0.558802,0.905458,0.952298,0.973668,92.856311,
24,0.983123,0.961937,0.972156,0.985138,0.992664,5.245720,5.245720,0.649115,0.956064,0.979776,0.989290,98.500123,
25,0.970674,0.946054,0.952247,0.973231,0.984239,6.824446,6.919890,0.560705,0.903809,0.951501,0.971512,94.863098,
26,0.972532,0.948251,0.954763,0.973174,0.987447,6.824446,6.824446,0.564445,0.901684,0.950944,0.974170,95.446091,
27,0.968354,0.941422,0.950674,0.966332,0.986273,7.224620,9.791444,0.543109,0.894294,0.946965,0.970038,94.492494,
28,0.974469,0.952131,0.957923,0.976475,0.987169,5.434075,7.224620,0.592966,0.923643,0.962479,0.977878,95.086697,
29,0.969058,0.943512,0.948329,0.968686,0.986131,5.434075,5.434075,0.551281,0.896062,0.946317,0.969088,92.499667,
30,0.972897,0.950764,0.954991,0.975072,0.985753,5.498270,5.498270,0.580064,0.906775,0.952026,0.971706,93.853440,
31,0.977148,0.955240,0.961074,0.976885,0.990923,4.327865,5.974670,0.600315,0.919531,0.960440,0.978353,94.289876,
32,0.989361,0.974129,0.982541,0.990922,0.995644,4.327865,4.327865,0.734570,0.974157,0.988396,0.993834,99.576281,
33,0.975549,0.949712,0.957542,0.977281,0.989801,5.028733,5.028733,0.599207,0.917031,0.957575,0.975099,94.393215,
34,0.972398,0.950053,0.954008,0.973994,0.986164,4.917128,7.512105,0.581098,0.907251,0.953215,0.972187,93.152585,
35,0.970939,0.945012,0.950331,0.970563,0.988106,4.917128,4.917128,0.553003,0.899660,0.950260,0.971807,92.687736,
36,0.976723,0.952317,0.961867,0.978183,0.989477,5.618725,5.618725,0.591962,0.926280,0.965104,0.980983,96.157973,
37,0.969184,0.939032,0.951163,0.973573,0.983217,4.216039,6.901472,0.538603,0.895140,0.947259,0.968164,91.080106,
38,0.971498,0.947693,0.953676,0.973760,0.985264,4.187749,4.216039,0.559758,0.903313,0.950957,0.970866,91.904249,
39,0.973077,0.945887,0.956668,0.971795,0.989690,4.187749,4.187749,0.561537,0.907803,0.954888,0.975289,92.767111,
40,0.983145,0.959426,0.972463,0.983443,0.994454,7.132816,7.132816,0.643982,0.954317,0.979528,0.988980,100.000000,
41,0.971997,0.943208,0.952855,0.971549,0.989199,6.028687,10.327979,0.550282,0.900374,0.950052,0.973762,94.351772,
42,0.970102,0.943591,0.950659,0.967774,0.988353,5.833809,6.028687,0.550724,0.895251,0.946971,0.970936,93.358454,
43,0.968254,0.943282,0.949334,0.966774,0.985444,3.478784,5.833809,0.540493,0.893563,0.946248,0.969996,90.105817,
44,0.975374,0.949801,0.961755,0.977988,0.987113,3.478784,3.478784,0.590428,0.931562,0.967225,0.980701,93.399562,
45,0.969920,0.939540,0.951289,0.970493,0.986669,3.767603,3.767603,0.545017,0.898770,0.949332,0.971483,91.055074,
46,0.970840,0.945166,0.954921,0.969437,0.986282,4.135451,5.813307,0.564233,0.902808,0.950349,0.971614,91.729050,
47,0.972167,0.945737,0.955092,0.971963,0.987739,3.861310,4.135451,0.573922,0.912046,0.956601,0.976577,92.354303,
48,0.984083,0.964779,0.976846,0.985195,0.992180,3.861310,3.861310,0.683521,0.965271,0.984099,0.991063,97.389693,
49,0.971927,0.946038,0.955798,0.974520,0.985394,3.321570,4.429099,0.575625,0.913076,0.955326,0.974234,91.414303,
50,0.972131,0.947296,0.955758,0.973586,0.986295,3.310854,3.321570,0.567396,0.908020,0.952729,0.973585,91.282965,
51,0.970147,0.943212,0.953873,0.970785,0.985384,3.310854,3.310854,0.548412,0.896766,0.947227,0.970316,90.371616,
52,0.974879,0.947370,0.961907,0.973994,0.989554,2.580352,4.258972,0.586803,0.929803,0.967045,0.981595,92.261575,
53,0.968324,0.945010,0.953437,0.967198,0.982738,2.580352,2.580352,0.551097,0.899510,0.949009,0.971406,89.264301,
54,0.970540,0.945766,0.955930,0.967458,0.986625,3.490116,3.490116,0.562841,0.904074,0.952601,0.972570,91.069522,
55,0.971054,0.943426,0.955348,0.969228,0.987768,3.104962,5.267213,0.561788,0.902790,0.949808,0.971314,90.498605,
56,0.981143,0.960414,0.972240,0.981912,0.990725,3.104962,3.104962,0.649420,0.956618,0.979949,0.988242,95.383444,
57,0.972541,0.947094,0.956225,0.972455,0.987718,3.675159,3.675159,0.567848,0.908804,0.953955,0.972964,91.812632,
58,0.970643,0.948009,0.951830,0.968687,0.987769,4.617943,4.617943,0.561295,0.901700,0.950521,0.972397,92.327311,
59,0.967736,0.939946,0.943797,0.967904,0.987469,6.004555,6.004555,0.536307,0.888891,0.943761,0.967576,92.644723,
60,0.974048,0.949645,0.959501,0.975277,0.987157,4.094038,7.190274,0.582585,0.920228,0.961856,0.978585,93.432928,
61,0.970485,0.940117,0.952756,0.973741,0.985503,3.550250,4.094038,0.546865,0.895109,0.947018,0.970522,90.737035,
62,0.973382,0.951683,0.956892,0.974069,0.987162,3.550250,3.550250,0.576730,0.907752,0.954252,0.974048,91.931477,
63,0.974014,0.951068,0.960638,0.974799,0.986480,3.898448,4.160108,0.592777,0.914581,0.956585,0.975306,92.684743,
64,0.988395,0.971331,0.982161,0.988355,0.996235,3.785497,3.898448,0.729941,0.972416,0.987146,0.992536,98.519021,
65,0.976234,0.952606,0.962638,0.974828,0.990689,3.785497,3.785497,0.594217,0.914194,0.958142,0.977063,93.231680,
66,0.973932,0.950753,0.959063,0.973042,0.988573,3.174457,5.524956,0.575432,0.905860,0.952801,0.972948,91.446008,
67,0.970527,0.941066,0.954928,0.972171,0.985411,3.174457,3.174457,0.550865,0.896927,0.948334,0.970682,90.362659,
68,0.976752,0.950234,0.962422,0.979927,0.989058,3.734304,5.174967,0.585691,0.924207,0.963688,0.980300,93.806562,
69,0.969914,0.943390,0.952754,0.971502,0.984708,3.734304,3.734304,0.544035,0.890792,0.942077,0.965264,90.209756,
70,0.970705,0.950301,0.949125,0.970440,0.986873,9.342113,9.342113,0.563381,0.893591,0.944132,0.967203,96.995052,
71,0.971913,0.947408,0.952335,0.972756,0.987722,4.699798,13.052180,0.559222,0.899884,0.948118,0.969629,92.375255,
72,0.981920,0.962163,0.973766,0.980431,0.992519,4.699798,4.699798,0.647508,0.954977,0.978957,0.988343,97.464657,
73,0.970924,0.946007,0.949265,0.971564,0.988080,4.793124,4.793124,0.561614,0.903682,0.950909,0.971999,92.581750,
74,0.971469,0.943727,0.954570,0.972129,0.986902,3.000067,5.007266,0.554732,0.897417,0.947140,0.968931,90.162213,
75,0.968838,0.938720,0.947158,0.971868,0.985729,3.000067,3.000067,0.541530,0.893532,0.945025,0.967643,89.421379,
76,0.975563,0.950286,0.961584,0.975922,0.989442,5.817775,5.852782,0.581525,0.922246,0.962137,0.979284,95.867916,
77,0.970332,0.942057,0.948166,0.969426,0.990380,5.802111,5.817775,0.538618,0.892744,0.946792,0.970224,93.310309,
78,0.971098,0.944641,0.954096,0.971419,0.986991,4.607211,5.802111,0.557489,0.898583,0.949163,0.971726,92.300156,
79,0.974878,0.950863,0.958316,0.975289,0.989561,4.379717,4.607211,0.575894,0.910396,0.954138,0.973229,93.181376,
80,0.984832,0.962940,0.975741,0.984337,0.995594,2.568783,4.379717,0.678775,0.964312,0.984058,0.991904,96.002324,
81,0.971757,0.947980,0.955086,0.969933,0.987731,2.568783,2.568783,0.585825,0.914227,0.956432,0.974690,90.537745,
82,0.973612,0.949158,0.953832,0.975509,0.988735,2.741210,2.741210,0.567128,0.903463,0.951812,0.972853,90.809231,
83,0.967929,0.940598,0.946969,0.970031,0.984332,4.181473,4.296279,0.544064,0.889259,0.942648,0.966383,90.423400,
84,0.974336,0.950953,0.959364,0.974547,0.987916,2.578579,4.181473,0.587339,0.923659,0.962134,0.978669,91.682550,
85,0.968341,0.941784,0.950240,0.967647,0.984983,2.578579,2.578579,0.547670,0.895983,0.946999,0.969675,89.045253,
86,0.970877,0.945741,0.954916,0.970741,0.985637,3.049477,3.049477,0.560447,0.899236,0.947959,0.969524,90.171060,
87,0.971062,0.945881,0.955019,0.969684,0.986627,3.436184,3.436184,0.566653,0.906252,0.952963,0.972835,91.152473,
88,0.982933,0.959213,0.974742,0.981244,0.994510,3.152821,3.812724,0.651493,0.956583,0.980196,0.989636,95.952792,
89,0.972929,0.945548,0.958897,0.969700,0.989576,3.152821,3.152821,0.567830,0.906293,0.952031,0.973367,91.213811,
90,0.971072,0.945298,0.953354,0.970775,0.987159,3.818115,4.445165,0.552964,0.896487,0.948071,0.971895,91.329385,
91,0.970935,0.943213,0.950013,0.969608,0.989770,3.818115,3.818115,0.537509,0.890931,0.944734,0.969341,90.968413,
92,0.973164,0.949149,0.956176,0.971431,0.989529,5.298904,5.298904,0.575924,0.920308,0.960853,0.978102,94.591391,
93,0.967924,0.941667,0.949306,0.967124,0.985408,5.315898,5.315898,0.542245,0.890254,0.943279,0.966325,91.772263,
94,0.969588,0.946691,0.955061,0.966019,0.985645,6.047953,6.047953,0.570933,0.899350,0.948368,0.970394,93.510079,
95,0.973120,0.953049,0.959001,0.970499,0.987091,4.095280,9.223781,0.591641,0.911886,0.956154,0.976297,92.783884,
96,0.987856,0.970581,0.980111,0.987829,0.996243,4.095280,4.095280,0.727286,0.972531,0.987428,0.993293,98.862236,
97,0.976182,0.952797,0.959338,0.978658,0.988933,6.405940,7.054461,0.588957,0.910184,0.954388,0.974292,95.927707,
98,0.970183,0.947220,0.955158,0.972747,0.982052,5.338048,6.405940,0.564544,0.899464,0.948205,0.970192,92.794481,
99,0.967669,0.942996,0.949962,0.969391,0.981950,5.338048,5.338048,0.542468,0.888508,0.942463,0.967621,91.808672,
