Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.974947,0.953015,0.962169,0.977387,0.986233,0.000000,0.000000,0.614657,0.935176,0.967327,0.980384,88.944374,
1,0.956282,0.928298,0.930988,0.961753,0.973601,3.746210,3.746210,0.521558,0.879397,0.934379,0.960564,86.642659,
2,0.948300,0.920343,0.920862,0.954074,0.966544,2.884961,6.382805,0.488515,0.831451,0.900689,0.937006,80.851731,
3,0.941576,0.907189,0.909876,0.944765,0.966137,2.884961,2.884961,0.461611,0.809216,0.883221,0.926009,78.039821,
4,0.947507,0.930082,0.919613,0.950001,0.964566,5.837796,13.314754,0.488646,0.815961,0.889902,0.930806,83.195136,
5,0.932148,0.894273,0.896801,0.937611,0.956920,4.566332,5.837796,0.438353,0.796354,0.877016,0.921124,77.471771,
6,0.939138,0.911447,0.913500,0.940069,0.959841,3.154178,4.566332,0.451294,0.802999,0.882449,0.925944,77.849928,
7,0.949008,0.921181,0.927057,0.950830,0.966699,3.154178,3.154178,0.457705,0.816109,0.891517,0.931174,80.609806,
8,0.958935,0.927760,0.934636,0.963043,0.976676,4.069302,9.112139,0.490361,0.865639,0.930897,0.959035,87.366601,
9,0.945848,0.909921,0.913677,0.951652,0.967685,4.069302,4.069302,0.443983,0.817718,0.897016,0.936495,81.639192,
10,0.942799,0.914565,0.919097,0.943109,0.962691,7.027479,7.027479,0.446482,0.796890,0.880660,0.925608,82.865577,
11,0.940924,0.912905,0.918113,0.935540,0.965861,7.215204,11.393105,0.425938,0.781541,0.868281,0.917991,81.708338,
12,0.947637,0.923850,0.928047,0.947567,0.965015,7.215204,7.215204,0.452661,0.803358,0.884999,0.928411,84.439250,
13,0.941822,0.922034,0.918448,0.938724,0.961988,10.014999,11.871850,0.441599,0.790740,0.875727,0.920717,85.278369,
14,0.941406,0.908711,0.913395,0.939426,0.966805,7.440211,10.014999,0.444924,0.800378,0.883404,0.929253,83.391981,
15,0.952748,0.925626,0.927222,0.950410,0.975261,6.989193,7.440211,0.464444,0.824151,0.899114,0.936580,86.390613,
16,0.964004,0.934995,0.942507,0.966873,0.981494,4.380547,6.989193,0.518548,0.896373,0.948375,0.969897,90.369898,
17,0.947326,0.918048,0.920371,0.945424,0.971597,4.380547,4.380547,0.465308,0.834395,0.905370,0.939754,82.808289,
18,0.946755,0.920943,0.916845,0.939649,0.974764,10.966059,11.969520,0.455496,0.803587,0.883352,0.924977,87.861419,
19,0.943075,0.914517,0.911008,0.944430,0.966093,5.416150,10.966059,0.432057,0.789023,0.874534,0.924788,80.910994,
20,0.950370,0.921430,0.923500,0.949505,0.972424,5.416150,5.416150,0.449633,0.809293,0.888825,0.933289,83.545021,
21,0.937853,0.905887,0.903957,0.941157,0.961278,6.341694,6.341694,0.426185,0.784775,0.866166,0.911877,79.578501,
22,0.943824,0.918088,0.915155,0.941898,0.965808,7.294937,12.626385,0.454114,0.793335,0.873650,0.920528,82.720100,
23,0.947151,0.900661,0.916921,0.948006,0.974301,5.245720,7.294937,0.441596,0.817848,0.895243,0.938105,83.291621,
24,0.962467,0.928701,0.938912,0.967305,0.979416,5.245720,5.245720,0.498963,0.875593,0.935888,0.963655,90.030910,
25,0.949255,0.914154,0.921516,0.949961,0.971477,6.824446,6.919890,0.454316,0.822874,0.897892,0.936836,85.456900,
26,0.947761,0.923700,0.918766,0.951513,0.965822,6.824446,6.824446,0.453216,0.798058,0.876172,0.919562,83.046368,
27,0.945952,0.913956,0.919257,0.943689,0.970042,7.224620,9.791444,0.444420,0.792621,0.872570,0.918580,82.916169,
28,0.951109,0.925024,0.927337,0.949992,0.970651,5.434075,7.224620,0.468664,0.811088,0.887002,0.929783,83.348965,
29,0.946458,0.916213,0.918950,0.946639,0.967657,5.434075,5.434075,0.455188,0.798974,0.877305,0.922146,81.473148,
30,0.951261,0.928496,0.923507,0.954508,0.968194,5.498270,5.498270,0.481144,0.818320,0.890036,0.928470,83.438438,
31,0.961501,0.934282,0.938311,0.962126,0.979418,4.327865,5.974670,0.515848,0.865371,0.926241,0.956474,87.784345,
32,0.979520,0.957108,0.967259,0.982070,0.989652,4.327865,4.327865,0.628166,0.949609,0.976864,0.987226,96.297160,
33,0.963951,0.934062,0.943284,0.963649,0.982121,5.028733,5.028733,0.505984,0.856739,0.918703,0.949358,88.267685,
34,0.951311,0.927391,0.924529,0.949835,0.971881,4.917128,7.512105,0.475929,0.814760,0.888753,0.929140,82.809287,
35,0.945666,0.914453,0.921910,0.942976,0.967461,4.917128,4.917128,0.446915,0.794981,0.874667,0.919321,80.444777,
36,0.950833,0.923165,0.922716,0.950448,0.972376,5.618725,5.618725,0.462590,0.809644,0.885803,0.925809,83.162415,
37,0.940772,0.906332,0.909506,0.945393,0.962512,4.216039,6.901472,0.425913,0.782386,0.865944,0.911746,77.835479,
38,0.943164,0.911303,0.910192,0.940708,0.970390,4.187749,4.216039,0.435416,0.788264,0.870482,0.916739,78.800242,
39,0.949897,0.914562,0.924328,0.945678,0.975546,4.187749,4.187749,0.441285,0.813012,0.891156,0.932876,82.134287,
40,0.962778,0.930276,0.938918,0.964308,0.981930,7.132816,7.132816,0.492379,0.869843,0.934030,0.961711,91.991415,
41,0.952614,0.915830,0.923878,0.949842,0.978240,6.028687,10.327979,0.434396,0.813649,0.894444,0.938564,85.331632,
42,0.947120,0.912667,0.916000,0.943784,0.973890,5.833809,6.028687,0.429158,0.789885,0.876015,0.925655,82.340585,
