Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.959436,0.933037,0.937362,0.962655,0.976388,0.000000,0.000000,0.508108,0.880678,0.938414,0.963791,83.272452,
1,0.938987,0.905936,0.904975,0.945734,0.961431,3.746210,3.746210,0.444732,0.823867,0.898960,0.938729,80.065975,
2,0.927860,0.891951,0.892748,0.931309,0.954628,2.884961,6.382805,0.418913,0.776140,0.860042,0.909388,73.321252,
3,0.928802,0.893337,0.890454,0.929631,0.959319,2.884961,2.884961,0.400751,0.753863,0.840477,0.895893,71.983710,
4,0.928692,0.909918,0.893846,0.928841,0.951631,5.837796,13.314754,0.425121,0.751901,0.837231,0.891223,74.700253,
5,0.923154,0.889937,0.886508,0.920139,0.954296,4.566332,5.837796,0.383827,0.727007,0.817316,0.874006,70.507830,
6,0.923432,0.892240,0.888589,0.922541,0.951519,3.154178,4.566332,0.383371,0.720522,0.813164,0.868699,68.553450,
7,0.928164,0.901676,0.902583,0.923810,0.952405,3.154178,3.154178,0.390233,0.734489,0.827248,0.880635,70.732660,
8,0.941538,0.909007,0.915796,0.938874,0.965836,4.069302,9.112139,0.403267,0.761393,0.851739,0.901281,76.678853,
9,0.929370,0.894583,0.901656,0.931690,0.951407,4.069302,4.069302,0.376778,0.733128,0.827639,0.882848,72.208952,
10,0.929270,0.903719,0.904055,0.930864,0.948156,7.027479,7.027479,0.380265,0.716477,0.811188,0.871148,74.046141,
11,0.926846,0.898185,0.900379,0.923453,0.952267,7.215204,11.393105,0.367455,0.709093,0.804690,0.867261,73.332098,
12,0.932766,0.905975,0.906031,0.928891,0.958028,7.215204,7.215204,0.382612,0.722447,0.814763,0.871752,75.078537,
13,0.928171,0.907080,0.903379,0.918960,0.954453,10.014999,11.871850,0.379221,0.719847,0.817140,0.878754,77.613106,
14,0.923988,0.895426,0.889980,0.914027,0.957738,7.440211,10.014999,0.369153,0.720905,0.822167,0.886458,74.867643,
15,0.927134,0.896276,0.885173,0.921433,0.961768,6.989193,7.440211,0.391150,0.746547,0.845995,0.903069,76.894403,
16,0.941891,0.911466,0.910370,0.942060,0.967347,4.380547,6.989193,0.409227,0.786543,0.879426,0.925590,79.823607,
