Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.961930,0.932474,0.942852,0.965899,0.977535,0.000000,0.000000,0.510384,0.882413,0.938869,0.963818,83.815648,
1,0.944217,0.906414,0.914877,0.951117,0.965426,3.746210,3.746210,0.448648,0.829523,0.902465,0.939614,81.348679,
2,0.934998,0.895461,0.900097,0.939166,0.962097,2.884961,6.382805,0.426735,0.788625,0.870239,0.912769,75.350823,
3,0.928065,0.890358,0.889178,0.928352,0.959994,2.884961,2.884961,0.405028,0.758488,0.843081,0.893843,71.737496,
4,0.931413,0.911180,0.903782,0.928023,0.953976,5.837796,13.314754,0.427676,0.754813,0.838894,0.888099,75.073095,
5,0.923355,0.881099,0.885407,0.922285,0.956129,4.566332,5.837796,0.384043,0.734396,0.825486,0.881283,71.303061,
6,0.929317,0.894345,0.898791,0.930512,0.954463,3.154178,4.566332,0.391244,0.733574,0.824893,0.880219,70.857616,
7,0.928760,0.895795,0.898408,0.929692,0.952979,3.154178,3.154178,0.394131,0.740883,0.831500,0.885014,71.264936,
8,0.940337,0.909389,0.910405,0.942439,0.962487,4.069302,9.112139,0.409409,0.769441,0.860090,0.907783,77.165007,
9,0.926399,0.893108,0.892867,0.931699,0.948596,4.069302,4.069302,0.381549,0.734400,0.829164,0.885155,71.798504,
10,0.920796,0.896053,0.889158,0.923609,0.941791,7.027479,7.027479,0.383968,0.715763,0.810972,0.869991,72.227007,
11,0.925472,0.893843,0.895223,0.925106,0.951260,7.215204,11.393105,0.372740,0.712009,0.807489,0.870583,73.349764,
12,0.932527,0.906665,0.902701,0.932659,0.955833,7.215204,7.215204,0.387437,0.725683,0.819873,0.879895,75.758918,
13,0.932619,0.903794,0.906847,0.931008,0.955365,10.014999,11.871850,0.382695,0.723734,0.820454,0.880696,78.750305,
14,0.926556,0.898200,0.893924,0.922115,0.955144,7.440211,10.014999,0.379609,0.722761,0.819977,0.883182,75.046456,
15,0.929455,0.899407,0.889702,0.928283,0.959094,6.989193,7.440211,0.395321,0.742237,0.838751,0.896974,76.680283,
16,0.941501,0.913821,0.909269,0.940795,0.967258,4.380547,6.989193,0.411262,0.782408,0.874021,0.923686,79.402953,
17,0.933758,0.902549,0.903974,0.926223,0.964706,4.380547,4.380547,0.389185,0.752466,0.848134,0.900073,75.280976,
18,0.935360,0.912067,0.907185,0.930336,0.960163,10.966059,11.969520,0.387166,0.728495,0.825796,0.881897,80.501064,
19,0.930725,0.898615,0.895498,0.931543,0.956728,5.416150,10.966059,0.372695,0.722093,0.819860,0.881659,73.666602,
20,0.933249,0.905064,0.896600,0.931842,0.960403,5.416150,5.416150,0.383994,0.732691,0.828115,0.888780,74.887170,
21,0.927819,0.897776,0.886918,0.924247,0.959430,6.341694,6.341694,0.373706,0.717759,0.814084,0.877950,73.618715,
22,0.922560,0.902474,0.887053,0.914150,0.951245,7.294937,12.626385,0.387822,0.721407,0.815640,0.874858,73.325085,
23,0.926952,0.884069,0.889458,0.922739,0.960634,5.245720,7.294937,0.377534,0.737983,0.832187,0.891423,73.735165,
24,0.943416,0.911976,0.912776,0.938651,0.970355,5.245720,5.245720,0.411728,0.778497,0.870031,0.920212,80.359146,
25,0.933955,0.895223,0.901078,0.931936,0.961634,6.824446,6.919890,0.387056,0.749339,0.842658,0.897409,77.584366,
26,0.935311,0.911264,0.899442,0.934430,0.960279,6.824446,6.824446,0.390765,0.736223,0.829164,0.886837,76.675084,
27,0.932910,0.905166,0.904100,0.927369,0.959345,7.224620,9.791444,0.384650,0.730534,0.824277,0.883668,76.248786,
28,0.935585,0.911999,0.903651,0.931733,0.960467,5.434075,7.224620,0.408670,0.743537,0.830667,0.887024,75.224638,
29,0.932782,0.903785,0.902215,0.927186,0.959324,5.434075,5.434075,0.398979,0.742396,0.830241,0.886964,74.658994,
30,0.942159,0.915522,0.908379,0.940268,0.966822,5.498270,5.498270,0.420129,0.773023,0.857744,0.911193,79.244692,
31,0.952182,0.921044,0.923338,0.951251,0.975044,4.327865,5.974670,0.449458,0.823593,0.897080,0.938044,83.360462,
32,0.965018,0.936676,0.941471,0.965986,0.983481,4.327865,4.327865,0.516054,0.897300,0.949306,0.972794,90.797520,
33,0.954029,0.923106,0.929941,0.948492,0.978121,5.028733,5.028733,0.449644,0.821076,0.893695,0.931907,83.942966,
34,0.936967,0.912000,0.903981,0.929403,0.965385,4.917128,7.512105,0.421578,0.773243,0.856918,0.906787,77.166910,
35,0.933865,0.905355,0.901444,0.927035,0.962186,4.917128,4.917128,0.397547,0.746973,0.835897,0.893379,74.965136,
36,0.938829,0.909937,0.903755,0.935831,0.966064,5.618725,5.618725,0.401822,0.748513,0.838920,0.895188,76.971960,
37,0.928804,0.896140,0.892060,0.925453,0.958903,4.216039,6.901472,0.371805,0.725998,0.822086,0.880943,71.984514,
38,0.931118,0.898902,0.894282,0.927569,0.961219,4.187749,4.216039,0.375980,0.726350,0.823746,0.885445,72.790715,
39,0.933622,0.902766,0.897220,0.926041,0.965986,4.187749,4.187749,0.378233,0.740006,0.839033,0.899620,74.780524,
40,0.948313,0.914628,0.915977,0.941485,0.978193,7.132816,7.132816,0.404534,0.772242,0.866630,0.920162,83.325783,
41,0.939184,0.902712,0.905026,0.932612,0.970076,6.028687,10.327979,0.369205,0.739375,0.842141,0.904121,78.380278,
42,0.933461,0.900884,0.896165,0.927943,0.964262,5.833809,6.028687,0.366390,0.720181,0.822273,0.887505,75.204688,
43,0.929876,0.900274,0.894186,0.923512,0.960168,3.478784,5.833809,0.360588,0.714485,0.816420,0.881820,71.385180,
