Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.998694,0.994693,0.996728,0.999438,0.999805,0.000000,0.000000,0.902151,0.998321,0.999288,0.999606,97.042191,
1,0.993027,0.977430,0.982309,0.993916,0.999559,4.175463,4.235790,0.698519,0.983088,0.993019,0.996202,100.000000,
2,0.993181,0.978448,0.982202,0.994326,0.999591,4.106378,4.175463,0.696960,0.984083,0.993409,0.996542,100.000000,
3,0.993388,0.976732,0.981601,0.994019,1.000825,4.106378,4.106378,0.676490,0.981578,0.992238,0.995747,100.000000,
4,0.994573,0.983933,0.986926,0.995547,0.999052,4.019186,4.112193,0.705423,0.988201,0.995156,0.997260,100.000000,
5,0.991696,0.976723,0.980682,0.993109,0.998202,3.897284,4.019186,0.684347,0.981007,0.991987,0.995656,99.880244,
6,0.992985,0.979646,0.982915,0.994534,0.998923,3.835277,3.897284,0.681183,0.982920,0.992571,0.996229,100.000000,
7,0.991895,0.975543,0.982551,0.992638,0.998806,3.807795,3.835277,0.675418,0.981180,0.992042,0.995864,99.833317,
8,0.996422,0.988609,0.992022,0.997172,0.999489,3.797967,3.807795,0.773792,0.993672,0.997309,0.998597,100.000000,
9,0.991919,0.976583,0.982199,0.992070,0.999021,3.783160,3.797967,0.679985,0.981534,0.991895,0.995507,99.773675,
10,0.992736,0.979682,0.983718,0.992364,0.999308,3.758775,3.783160,0.694208,0.983972,0.992997,0.996172,100.000000,
11,0.992349,0.976479,0.982374,0.992252,0.999740,3.665228,3.758775,0.676302,0.980977,0.991684,0.995223,99.686685,
12,0.995173,0.984171,0.988918,0.995298,0.999942,3.526541,3.665228,0.730867,0.988356,0.995086,0.997141,100.000000,
13,0.992669,0.975497,0.983109,0.992933,0.999891,3.426662,3.526541,0.695343,0.981671,0.991994,0.995512,99.497260,
14,0.993355,0.979500,0.985079,0.992417,1.000025,3.376822,3.426662,0.710216,0.984422,0.993332,0.996270,99.717062,
15,0.992152,0.977701,0.983445,0.993076,0.998161,3.376822,3.376822,0.698710,0.982268,0.992276,0.995671,99.349693,
16,0.997441,0.990987,0.994686,0.997874,0.999736,3.339864,3.412653,0.798334,0.994874,0.997691,0.998618,100.000000,
17,0.992642,0.978607,0.984756,0.992699,0.998906,3.198002,3.339864,0.685811,0.983046,0.992586,0.995775,99.260094,
18,0.993661,0.981373,0.987274,0.993752,0.999004,3.124537,3.198002,0.708388,0.985027,0.993530,0.996624,99.506287,
19,0.992960,0.977799,0.983656,0.993575,0.999803,2.984535,3.124537,0.687885,0.982362,0.992317,0.995748,99.043449,
20,0.995729,0.985702,0.989262,0.996285,1.000230,2.888214,2.984535,0.726419,0.989015,0.995137,0.997309,99.802650,
21,0.992388,0.978072,0.984091,0.991533,0.999215,2.721977,2.888214,0.683886,0.982652,0.992354,0.995397,98.563950,
22,0.993795,0.981069,0.985648,0.994707,0.999245,2.721977,2.721977,0.698891,0.986136,0.994065,0.996749,99.067213,
23,0.992786,0.978905,0.983698,0.992497,0.999622,2.757812,2.757812,0.687582,0.984495,0.993507,0.996476,98.841347,
24,0.997061,0.990355,0.993865,0.997587,0.999614,2.765138,2.772084,0.765052,0.994162,0.997598,0.998718,100.000000,
25,0.991708,0.979488,0.982403,0.991498,0.998186,2.731099,2.765138,0.688667,0.984425,0.993479,0.996192,98.547832,
26,0.993366,0.982337,0.986805,0.993182,0.998565,2.731099,2.731099,0.678523,0.985875,0.993910,0.996632,98.974260,
27,0.992484,0.979121,0.984242,0.993387,0.998317,2.767687,2.767687,0.683361,0.983076,0.992545,0.995753,98.681669,
28,0.995682,0.985994,0.989412,0.995935,1.000238,2.856482,2.856482,0.725591,0.989759,0.995714,0.997713,99.814066,
29,0.992709,0.978314,0.984586,0.993346,0.998776,3.288201,3.288201,0.685493,0.983703,0.993306,0.996439,99.476510,
30,0.993777,0.981793,0.986718,0.993671,0.999276,3.841294,3.841294,0.705817,0.986023,0.994091,0.996896,100.000000,
31,0.993215,0.978005,0.984552,0.993445,0.999870,3.975427,3.975427,0.693736,0.983288,0.992980,0.996132,100.000000,
