Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996415,0.987325,0.990851,0.998071,0.999319,0.000000,0.000000,0.767584,0.993522,0.997405,0.998557,96.396182,
1,0.984054,0.961102,0.964210,0.984479,0.995504,4.175463,4.235790,0.609009,0.952821,0.976987,0.986215,97.038892,
2,0.984364,0.963449,0.964512,0.983953,0.996073,4.106378,4.175463,0.591332,0.952652,0.977770,0.988170,97.221881,
3,0.978196,0.954751,0.954398,0.977893,0.991733,4.106378,4.106378,0.564163,0.940287,0.970327,0.983015,95.126896,
4,0.985422,0.968742,0.969096,0.984655,0.995201,4.019186,4.112193,0.585896,0.958951,0.981426,0.989962,97.675799,
5,0.980203,0.957864,0.958941,0.977118,0.994513,3.897284,4.019186,0.576100,0.942379,0.972184,0.984502,95.507796,
6,0.981728,0.961442,0.959150,0.981276,0.995009,3.835277,3.897284,0.571203,0.949318,0.975950,0.986945,96.148268,
7,0.977707,0.955204,0.953861,0.974153,0.993867,3.807795,3.835277,0.572223,0.946047,0.973860,0.985159,94.999722,
8,0.988837,0.974310,0.975631,0.988495,0.997378,3.797967,3.807795,0.633411,0.973466,0.988564,0.993890,98.816028,
9,0.978143,0.956257,0.954915,0.976141,0.992888,3.783160,3.797967,0.571673,0.940662,0.969520,0.981943,94.603064,
10,0.981155,0.962203,0.965682,0.977898,0.993131,3.758775,3.783160,0.576678,0.946819,0.974329,0.985880,95.763964,
11,0.978952,0.955835,0.959492,0.977869,0.992000,3.665228,3.758775,0.561626,0.937139,0.968157,0.981643,94.552117,
12,0.984172,0.967969,0.968282,0.979319,0.996551,3.526541,3.665228,0.606785,0.959020,0.981955,0.990459,96.858731,
13,0.977353,0.952101,0.957179,0.974356,0.992033,3.426662,3.526541,0.578878,0.939223,0.969997,0.982972,94.095654,
14,0.983389,0.963787,0.969157,0.979444,0.995218,3.376822,3.426662,0.596127,0.950251,0.976099,0.987045,95.952455,
15,0.979476,0.957003,0.961524,0.974378,0.994229,3.376822,3.376822,0.591695,0.943225,0.971444,0.984062,94.644645,
16,0.991724,0.978018,0.981582,0.992103,0.998438,3.339864,3.412653,0.653442,0.977613,0.989967,0.994413,98.995177,
17,0.981586,0.956754,0.964113,0.981676,0.993944,3.198002,3.339864,0.576815,0.946542,0.973076,0.984711,95.029951,
18,0.984253,0.960396,0.971265,0.985897,0.993939,3.124537,3.198002,0.599634,0.953537,0.977988,0.988656,96.051682,
19,0.980341,0.951914,0.961792,0.983172,0.992542,2.984535,3.124537,0.576177,0.943998,0.972507,0.985455,94.529021,
20,0.987020,0.969116,0.974301,0.987274,0.995906,2.888214,2.984535,0.603995,0.960679,0.981727,0.990175,96.669369,
21,0.982393,0.958152,0.963777,0.979917,0.996112,2.721977,2.888214,0.573937,0.945199,0.972571,0.983673,94.518543,
22,0.985926,0.967571,0.971467,0.983408,0.996953,2.721977,2.721977,0.589126,0.954431,0.977937,0.987495,95.837366,
23,0.984264,0.963208,0.968802,0.982330,0.996114,2.757812,2.757812,0.586179,0.951336,0.976530,0.987012,95.413742,
24,0.990587,0.977021,0.979695,0.989832,0.998421,2.765138,2.772084,0.629907,0.976761,0.989806,0.994490,98.040795,
25,0.979508,0.957660,0.962775,0.979378,0.990979,2.731099,2.765138,0.585811,0.950205,0.975635,0.986322,94.254315,
26,0.982956,0.963588,0.968328,0.982075,0.993514,2.731099,2.731099,0.567036,0.954540,0.978359,0.987611,95.256485,
27,0.981207,0.959967,0.963738,0.979410,0.994024,2.767687,2.767687,0.578927,0.947557,0.973993,0.985020,94.489488,
28,0.987171,0.971647,0.974585,0.985510,0.996635,2.856482,2.856482,0.608830,0.962967,0.983188,0.990836,96.785075,
29,0.981482,0.959648,0.960959,0.982944,0.993289,3.288201,3.288201,0.580510,0.946729,0.973530,0.984621,95.126855,
30,0.984736,0.964945,0.969528,0.983826,0.995511,3.841294,3.841294,0.599618,0.953782,0.977847,0.987536,96.934143,
31,0.981843,0.963168,0.963433,0.979454,0.994353,3.975427,3.975427,0.604293,0.952700,0.976368,0.986591,96.322181,
32,0.992583,0.981748,0.983637,0.993082,0.998053,4.171820,4.171820,0.695574,0.984775,0.993494,0.996279,100.000000,
