Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996278,0.987083,0.990338,0.997308,0.999690,0.000000,0.000000,0.758555,0.992352,0.996797,0.998244,96.314504,
1,0.977552,0.951785,0.950942,0.975412,0.993340,4.175463,4.235790,0.593837,0.949063,0.975215,0.985620,95.498632,
2,0.981232,0.957984,0.955544,0.981255,0.995162,4.106378,4.175463,0.576747,0.949237,0.976227,0.987361,96.407600,
3,0.973979,0.946589,0.943336,0.971425,0.992012,4.106378,4.106378,0.551400,0.937384,0.970082,0.983594,94.253991,
4,0.984744,0.965506,0.964966,0.984432,0.996008,4.019186,4.112193,0.576707,0.956771,0.980685,0.989605,97.465061,
5,0.972671,0.949269,0.944438,0.972630,0.987843,3.897284,4.019186,0.558438,0.935482,0.968608,0.982728,93.578614,
6,0.978951,0.956610,0.953276,0.977654,0.994347,3.835277,3.897284,0.557477,0.946200,0.975246,0.986872,95.512189,
7,0.973848,0.948435,0.944918,0.970156,0.992610,3.807795,3.835277,0.557042,0.940785,0.971409,0.984015,93.965690,
8,0.988041,0.971334,0.973839,0.987850,0.997390,3.797967,3.807795,0.621602,0.970790,0.987308,0.993266,98.530212,
9,0.975290,0.949638,0.948118,0.973436,0.992259,3.783160,3.797967,0.560130,0.940655,0.970664,0.983043,94.134117,
10,0.978408,0.956786,0.956657,0.976557,0.992420,3.758775,3.783160,0.566290,0.944888,0.973677,0.985461,95.110241,
11,0.974931,0.948609,0.951487,0.972088,0.991204,3.665228,3.758775,0.550901,0.935256,0.967616,0.981859,93.683335,
12,0.984467,0.964479,0.967575,0.982294,0.996499,3.526541,3.665228,0.596597,0.955774,0.980284,0.989618,96.776689,
13,0.975191,0.949378,0.947213,0.969792,0.994075,3.426662,3.526541,0.568719,0.935795,0.968523,0.982648,93.539247,
14,0.980395,0.958482,0.958546,0.976517,0.995357,3.376822,3.426662,0.585524,0.948952,0.976110,0.987016,95.306503,
15,0.975106,0.951447,0.950430,0.971816,0.991457,3.376822,3.376822,0.581676,0.942067,0.971063,0.983052,93.608103,
16,0.991268,0.977115,0.980291,0.991644,0.998389,3.339864,3.412653,0.642975,0.976280,0.989556,0.994424,98.876670,
17,0.976479,0.951565,0.954528,0.975105,0.991342,3.198002,3.339864,0.566056,0.944387,0.972702,0.984798,93.920953,
18,0.980582,0.960123,0.960884,0.980520,0.992904,3.124537,3.198002,0.588380,0.950799,0.976657,0.987894,95.137547,
19,0.974301,0.947449,0.946282,0.974581,0.991137,2.984535,3.124537,0.563436,0.941218,0.971765,0.985385,93.192813,
20,0.984740,0.967336,0.969544,0.984783,0.994516,2.888214,2.984535,0.593309,0.958383,0.980719,0.989575,96.083367,
21,0.976033,0.950925,0.952772,0.973495,0.991599,2.721977,2.888214,0.560035,0.941730,0.971022,0.982863,93.019629,
22,0.981722,0.959690,0.963155,0.979423,0.994960,2.721977,2.721977,0.576048,0.952621,0.977353,0.987558,94.914137,
23,0.979178,0.955728,0.960493,0.980004,0.991120,2.757812,2.757812,0.572100,0.947944,0.974553,0.985867,94.139815,
24,0.989675,0.975602,0.976937,0.990885,0.997145,2.765138,2.772084,0.617586,0.974954,0.989139,0.994032,97.776913,
25,0.977655,0.956535,0.955565,0.978636,0.990187,2.731099,2.765138,0.577062,0.951433,0.976308,0.986374,93.900649,
26,0.980161,0.955850,0.959500,0.980833,0.993176,2.731099,2.731099,0.555765,0.951951,0.976628,0.986578,94.498253,
27,0.976867,0.952691,0.953053,0.977106,0.991491,2.767687,2.767687,0.565390,0.944082,0.972480,0.984465,93.446697,
28,0.987189,0.967878,0.973772,0.988043,0.996387,2.856482,2.856482,0.601160,0.962701,0.983000,0.990528,96.761092,
29,0.979496,0.953935,0.958103,0.980074,0.993051,3.288201,3.288201,0.572508,0.946278,0.973730,0.984991,94.741528,
30,0.982166,0.961321,0.964804,0.981667,0.993716,3.841294,3.841294,0.589333,0.952174,0.977236,0.987072,96.313559,
31,0.979513,0.959162,0.960287,0.977402,0.992555,3.975427,3.975427,0.594735,0.948917,0.974432,0.985194,95.613306,
32,0.992614,0.980994,0.985780,0.993696,0.997199,4.171820,4.171820,0.683856,0.982623,0.992332,0.995499,100.000000,
33,0.979384,0.960037,0.958611,0.975237,0.993789,4.354852,4.411150,0.588564,0.947981,0.973786,0.985211,96.014752,
34,0.982489,0.961368,0.964133,0.981877,0.994514,4.354852,4.354852,0.579779,0.949845,0.975381,0.986197,96.847038,
35,0.978241,0.955441,0.957292,0.973332,0.994342,4.541366,4.541366,0.574459,0.941597,0.970980,0.983916,95.752028,
36,0.984665,0.966951,0.970292,0.981119,0.996245,4.671879,4.671879,0.595432,0.956639,0.979782,0.989027,98.134470,
37,0.976748,0.954764,0.955089,0.975555,0.989854,4.837750,4.837750,0.562957,0.936079,0.967424,0.981372,95.412653,
38,0.981495,0.962794,0.963500,0.976948,0.994332,4.994174,4.994174,0.584361,0.945183,0.972473,0.984217,97.089438,
39,0.976015,0.956080,0.954224,0.970475,0.991517,5.094744,5.172161,0.589301,0.937282,0.967338,0.981165,95.529000,
