Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.997082,0.989492,0.992534,0.997825,0.999844,0.000000,0.000000,0.802936,0.994808,0.997902,0.998974,96.582623,
1,0.988295,0.967088,0.971289,0.988270,0.998688,4.175463,4.235790,0.642034,0.965288,0.983869,0.991194,98.699441,
2,0.986722,0.968696,0.967816,0.987591,0.996686,4.106378,4.175463,0.624043,0.964816,0.984167,0.991679,98.327746,
3,0.985831,0.966134,0.967039,0.986832,0.996078,4.106378,4.106378,0.601407,0.955913,0.979298,0.988363,97.629148,
4,0.988325,0.971782,0.973884,0.987828,0.997291,4.019186,4.112193,0.614224,0.966853,0.985239,0.992138,98.666127,
5,0.984779,0.965599,0.967136,0.984183,0.995683,3.897284,4.019186,0.609162,0.955546,0.979297,0.988935,97.188430,
6,0.987070,0.967844,0.972419,0.987359,0.996858,3.835277,3.897284,0.601590,0.961570,0.982758,0.991111,97.963470,
7,0.986977,0.964589,0.970769,0.986368,0.998629,3.807795,3.835277,0.604164,0.960335,0.982092,0.990514,97.826682,
8,0.991907,0.978503,0.980321,0.993403,0.998482,3.797967,3.807795,0.660638,0.979687,0.991314,0.995386,99.747898,
9,0.985321,0.967353,0.965724,0.986169,0.996126,3.783160,3.797967,0.608934,0.960171,0.981447,0.989178,97.298110,
10,0.985687,0.967273,0.972316,0.985016,0.995273,3.758775,3.783160,0.610346,0.960931,0.981596,0.989706,97.398928,
11,0.984971,0.964680,0.970340,0.983017,0.996175,3.665228,3.758775,0.597397,0.955100,0.978676,0.988044,96.854504,
12,0.988445,0.973570,0.974935,0.987733,0.997181,3.526541,3.665228,0.635040,0.967523,0.985441,0.991839,98.069329,
13,0.986065,0.966803,0.969169,0.986096,0.996437,3.426662,3.526541,0.616288,0.956721,0.979421,0.988603,96.872957,
14,0.987073,0.968428,0.973481,0.984473,0.997672,3.376822,3.426662,0.628879,0.964025,0.983639,0.991320,97.454645,
15,0.985867,0.965251,0.970514,0.984752,0.996910,3.376822,3.376822,0.624532,0.960225,0.981408,0.990019,96.977867,
16,0.994083,0.981869,0.986521,0.994656,0.999404,3.339864,3.412653,0.678179,0.983454,0.992730,0.995930,99.774463,
17,0.986934,0.965791,0.972932,0.985854,0.997832,3.198002,3.339864,0.605599,0.960049,0.981259,0.989793,96.976583,
18,0.987885,0.970019,0.976899,0.986978,0.996908,3.124537,3.198002,0.628365,0.965277,0.984217,0.991495,97.364898,
19,0.984949,0.963146,0.971667,0.984375,0.995656,2.984535,3.124537,0.607420,0.959662,0.981420,0.989845,96.292317,
20,0.988818,0.975088,0.978352,0.987494,0.996774,2.888214,2.984535,0.631556,0.970117,0.986457,0.992503,97.472127,
21,0.986654,0.966687,0.972567,0.984952,0.997333,2.721977,2.888214,0.605164,0.961777,0.981712,0.989326,96.319200,
22,0.987375,0.969633,0.975763,0.986119,0.996526,2.721977,2.721977,0.614999,0.965502,0.983861,0.991034,96.713420,
23,0.988088,0.968656,0.974719,0.988353,0.997490,2.757812,2.757812,0.610131,0.962581,0.982732,0.990578,96.819053,
24,0.993502,0.981339,0.985092,0.993971,0.999361,2.765138,2.772084,0.651676,0.981950,0.992391,0.995905,98.914464,
25,0.985566,0.962722,0.974679,0.987158,0.994219,2.731099,2.765138,0.611932,0.964528,0.983478,0.990469,96.268753,
26,0.987993,0.967888,0.974328,0.988252,0.997722,2.731099,2.731099,0.594481,0.966512,0.984291,0.990750,96.875726,
27,0.986903,0.969649,0.971590,0.986654,0.996986,2.767687,2.767687,0.605255,0.961765,0.981679,0.989379,96.432344,
28,0.990259,0.975211,0.979322,0.988835,0.998866,2.856482,2.856482,0.632421,0.971320,0.986966,0.993075,97.818927,
29,0.987848,0.969562,0.974471,0.987484,0.997319,3.288201,3.288201,0.610329,0.962356,0.982649,0.990249,97.388706,
30,0.987956,0.971667,0.977919,0.985675,0.996863,3.841294,3.841294,0.626445,0.966278,0.984601,0.991431,98.277189,
31,0.987964,0.969198,0.975585,0.987404,0.997275,3.975427,3.975427,0.629405,0.964933,0.983447,0.990934,98.345572,
32,0.995336,0.985792,0.988857,0.996222,0.999405,4.171820,4.171820,0.715596,0.988532,0.995137,0.997120,100.000000,
33,0.987968,0.971273,0.977313,0.986550,0.996589,4.354852,4.411150,0.624828,0.964640,0.983513,0.991252,98.836295,
34,0.987148,0.970702,0.975922,0.985745,0.995971,4.354852,4.354852,0.615051,0.963787,0.982828,0.990131,98.536612,
35,0.987210,0.971291,0.974913,0.984431,0.997229,4.541366,4.541366,0.612538,0.958935,0.980386,0.989169,98.572446,
36,0.989490,0.974919,0.979006,0.986393,0.998652,4.671879,4.671879,0.630215,0.968041,0.985390,0.991817,99.691945,
37,0.985188,0.969398,0.970425,0.983225,0.994961,4.837750,4.837750,0.602342,0.954732,0.977771,0.987445,98.222141,
38,0.988580,0.972756,0.975856,0.987208,0.997232,4.994174,4.994174,0.624515,0.962599,0.982335,0.989990,99.578333,
39,0.987842,0.970425,0.974745,0.986165,0.997503,5.094744,5.172161,0.636222,0.961988,0.981887,0.989882,99.507677,
40,0.992051,0.980540,0.983720,0.990342,0.998575,4.920234,5.094744,0.677706,0.979576,0.991069,0.995104,100.000000,
41,0.986696,0.970677,0.972573,0.985999,0.995903,4.746991,4.920234,0.585582,0.959675,0.980535,0.989123,98.719795,
42,0.988048,0.969225,0.976715,0.987126,0.996807,4.705685,4.746991,0.608307,0.962962,0.982800,0.991348,99.249707,
43,0.986408,0.970050,0.973988,0.984236,0.995790,4.518733,4.705685,0.609215,0.957772,0.979499,0.988601,98.282869,
44,0.989780,0.974842,0.980992,0.989417,0.996922,4.502865,4.518733,0.647883,0.971285,0.986629,0.992412,99.665369,
45,0.986033,0.967722,0.971991,0.984890,0.996244,4.502865,4.502865,0.615465,0.959936,0.980636,0.989352,98.298871,
46,0.987014,0.971504,0.975490,0.984094,0.996309,4.533692,4.555827,0.635736,0.965363,0.983564,0.990900,98.819863,
47,0.987460,0.970740,0.973402,0.985586,0.997409,4.450178,4.533692,0.637019,0.962887,0.982391,0.990268,98.703584,
48,0.993087,0.982642,0.984700,0.993207,0.998476,4.281782,4.450178,0.681393,0.983106,0.992642,0.995950,100.000000,
49,0.985912,0.970075,0.972223,0.984201,0.995749,4.099783,4.281782,0.626979,0.961621,0.981057,0.989099,97.785915,
50,0.986300,0.969218,0.974820,0.985359,0.995471,3.955391,4.099783,0.617147,0.963882,0.982697,0.989969,97.848754,
51,0.985785,0.970776,0.973320,0.981931,0.996253,3.814478,3.955391,0.617136,0.959756,0.980060,0.988434,97.310628,
52,0.988592,0.973353,0.978266,0.987084,0.997178,3.814478,3.814478,0.631256,0.971482,0.986777,0.992406,98.576473,
53,0.985892,0.969609,0.970128,0.985425,0.995915,3.875855,3.884072,0.606139,0.961779,0.981437,0.989599,97.575241,
54,0.986241,0.969759,0.973166,0.983978,0.996235,3.853274,3.875855,0.612290,0.965710,0.983756,0.990790,97.833539,
55,0.983845,0.965903,0.971699,0.981516,0.994032,3.790989,3.853274,0.610720,0.963323,0.982510,0.990336,97.137487,
56,0.991264,0.980373,0.982703,0.989211,0.998030,3.729502,3.790989,0.677733,0.982037,0.992094,0.995753,99.595421,
57,0.987230,0.969398,0.973243,0.984530,0.998125,3.676986,3.729502,0.626555,0.966203,0.984095,0.991185,97.875943,
58,0.986739,0.969701,0.974514,0.984941,0.996438,3.624452,3.676986,0.622136,0.967070,0.985116,0.992007,97.821363,
59,0.985443,0.967014,0.972746,0.985143,0.995005,3.569544,3.624452,0.613673,0.962520,0.981973,0.989758,97.140043,
60,0.989113,0.974626,0.976992,0.987154,0.998453,3.486398,3.569544,0.641119,0.972141,0.987082,0.992664,98.320201,
61,0.986784,0.972798,0.971167,0.985279,0.996893,3.486398,3.486398,0.620433,0.961809,0.981574,0.989601,97.293176,
62,0.987184,0.973481,0.973282,0.985816,0.996834,3.507444,3.552782,0.632460,0.969336,0.985877,0.992336,97.839027,
63,0.988170,0.970911,0.973933,0.990660,0.996131,3.430328,3.507444,0.632903,0.969759,0.986079,0.992245,97.961785,
64,0.995948,0.988889,0.991500,0.995851,0.999352,3.362479,3.430328,0.740171,0.992273,0.996799,0.998180,100.000000,
65,0.988828,0.973741,0.977078,0.987808,0.997343,3.333726,3.362479,0.623950,0.969341,0.985535,0.992131,97.955332,
66,0.988014,0.972438,0.974120,0.988001,0.997016,3.274201,3.333726,0.610073,0.970367,0.986743,0.992901,97.832840,
67,0.985280,0.971348,0.970276,0.985701,0.994155,3.117878,3.274201,0.596975,0.964756,0.983677,0.991069,96.752123,
68,0.988306,0.976305,0.976927,0.987405,0.996363,2.783307,3.117878,0.614509,0.972893,0.987573,0.993589,97.390538,
69,0.987112,0.971052,0.971952,0.987070,0.997237,2.553624,2.783307,0.611586,0.966522,0.984159,0.991067,96.470172,
70,0.986867,0.973634,0.975093,0.984529,0.996003,2.388966,2.553624,0.620892,0.969058,0.985692,0.992132,96.367627,
71,0.987382,0.973291,0.975549,0.985664,0.996216,2.279585,2.388966,0.620272,0.967974,0.984413,0.991215,96.209047,
72,0.992098,0.981939,0.983117,0.991139,0.998448,2.015785,2.279585,0.670472,0.983779,0.992652,0.995974,97.678304,
73,0.985781,0.975426,0.974240,0.981669,0.994884,1.941426,2.015785,0.620955,0.969598,0.985719,0.991638,95.536646,
74,0.987131,0.975017,0.975338,0.985139,0.995668,1.941426,1.941426,0.637851,0.972533,0.987439,0.992743,95.990145,
75,0.984761,0.968815,0.972113,0.983573,0.994456,1.962746,1.962746,0.615761,0.969298,0.986157,0.992584,95.441766,
76,0.988807,0.976415,0.978789,0.988052,0.996432,1.954797,1.972041,0.632662,0.979258,0.991100,0.994874,96.737113,
77,0.985206,0.966714,0.973407,0.982471,0.996226,1.954797,1.954797,0.620725,0.969490,0.985714,0.991778,95.439468,
78,0.987882,0.973639,0.976994,0.984477,0.997722,1.967256,1.967256,0.634957,0.974306,0.987954,0.993193,96.254316,
79,0.988035,0.970527,0.975268,0.988398,0.997353,1.926661,1.972344,0.632481,0.974189,0.988074,0.993360,96.257124,
80,0.994895,0.984822,0.987238,0.995644,0.999974,1.926483,1.926661,0.679204,0.988424,0.995223,0.997352,98.415657,
81,0.986020,0.972307,0.976744,0.983564,0.994472,1.926483,1.926483,0.604868,0.970776,0.986145,0.991961,95.635792,
82,0.986812,0.973891,0.975577,0.984803,0.995750,1.902252,1.931048,0.627175,0.974336,0.988842,0.994142,96.063682,
83,0.983427,0.970271,0.970656,0.981460,0.992940,1.902252,1.902252,0.605452,0.967780,0.985197,0.991924,94.987010,
84,0.988488,0.977433,0.978437,0.986065,0.996499,1.908261,1.908261,0.610871,0.977246,0.990380,0.995404,96.632723,
85,0.985477,0.970422,0.972675,0.979908,0.997364,2.016183,2.016183,0.603990,0.966382,0.984601,0.991533,95.511698,
86,0.988561,0.972659,0.979343,0.986185,0.997669,2.142437,2.146806,0.617015,0.973218,0.987827,0.993297,96.635931,
87,0.988283,0.973871,0.977849,0.986748,0.997091,2.142437,2.142437,0.611417,0.969226,0.985450,0.991518,96.316844,
88,0.992634,0.982900,0.985290,0.991757,0.998676,2.154352,2.154352,0.663745,0.984354,0.993276,0.996091,98.014767,
89,0.984436,0.971435,0.969924,0.982106,0.994886,2.367452,2.367452,0.586447,0.965375,0.982904,0.989751,95.518446,
90,0.987890,0.972781,0.976954,0.988269,0.995681,2.429549,2.437692,0.603330,0.968705,0.985056,0.991207,96.551695,
91,0.986586,0.970307,0.977890,0.984494,0.995559,2.429549,2.429549,0.592602,0.964869,0.982937,0.989789,96.057359,
92,0.989023,0.976409,0.979522,0.987641,0.996804,2.460095,2.460095,0.626225,0.973500,0.987917,0.993104,97.114489,
93,0.985596,0.969453,0.970816,0.986535,0.995231,2.510120,2.510120,0.578248,0.967170,0.984618,0.991154,96.149076,
94,0.988345,0.973311,0.975882,0.986997,0.997996,2.570050,2.570050,0.610446,0.970619,0.986292,0.992456,96.980922,
95,0.987171,0.968304,0.976252,0.985046,0.997964,2.618947,2.618947,0.612066,0.972138,0.987201,0.993117,96.884772,
96,0.994969,0.987904,0.990212,0.993049,0.999783,2.688339,2.688339,0.703086,0.990444,0.995903,0.997839,99.470267,
97,0.987660,0.972332,0.974934,0.987118,0.997149,2.692625,2.692625,0.626804,0.968710,0.985048,0.991498,96.832000,
98,0.988106,0.972829,0.975888,0.986528,0.997698,2.773374,2.773374,0.632436,0.970466,0.986172,0.991964,97.119512,
99,0.987321,0.970205,0.977018,0.989183,0.994693,2.819186,2.819186,0.623781,0.965976,0.983871,0.990860,96.803853,
100,0.989690,0.977304,0.978848,0.989556,0.996896,2.833655,2.833655,0.638458,0.973344,0.987765,0.993297,97.724564,
101,0.988022,0.969365,0.977139,0.987122,0.997486,2.835056,2.862841,0.621477,0.963788,0.982480,0.990156,96.850912,
102,0.989173,0.974054,0.981223,0.989336,0.996263,2.753881,2.835056,0.630566,0.968393,0.985135,0.992226,97.295319,
103,0.988585,0.971378,0.977858,0.986521,0.998728,2.753881,2.753881,0.619505,0.966111,0.983836,0.991019,97.012086,
104,0.993700,0.983105,0.986370,0.994321,0.999158,2.681828,2.770062,0.675202,0.981971,0.992094,0.995846,98.824195,
105,0.987839,0.972804,0.975596,0.987918,0.996667,2.549699,2.681828,0.617815,0.967961,0.984810,0.991466,96.684194,
106,0.988897,0.974951,0.977555,0.989683,0.996587,2.453596,2.549699,0.635750,0.970545,0.986674,0.992596,96.963973,
107,0.985732,0.972303,0.973811,0.982460,0.995936,2.387158,2.453596,0.616618,0.963907,0.982646,0.989191,95.732479,
108,0.989609,0.976812,0.979720,0.988646,0.997376,2.387158,2.387158,0.635411,0.974096,0.988178,0.993410,97.182391,
109,0.986289,0.972114,0.972793,0.984480,0.996552,2.276959,2.409232,0.607358,0.966784,0.984413,0.990846,95.946578,
110,0.988857,0.974190,0.976676,0.988173,0.998085,2.138746,2.276959,0.621746,0.970075,0.986358,0.992576,96.555803,
111,0.987561,0.970234,0.975439,0.987510,0.997270,2.113065,2.138746,0.613329,0.967095,0.984487,0.991356,96.057974,
112,0.993837,0.984024,0.987810,0.993601,0.999130,2.113065,2.113065,0.670725,0.986107,0.993832,0.996450,98.281890,
113,0.987799,0.970300,0.977067,0.987329,0.997166,2.114841,2.114841,0.619807,0.968556,0.984844,0.991433,96.133238,
114,0.987889,0.972523,0.977758,0.985454,0.997662,2.070220,2.121379,0.635067,0.970083,0.985942,0.992022,96.184994,
115,0.987128,0.969354,0.975376,0.987221,0.996591,2.070220,2.070220,0.629663,0.964720,0.983369,0.990961,95.805145,
116,0.990323,0.975441,0.980810,0.988659,0.999390,2.099094,2.126213,0.644289,0.975929,0.989529,0.994613,97.133653,
117,0.987006,0.970004,0.975493,0.985037,0.997695,2.099094,2.099094,0.623347,0.965654,0.983901,0.990884,95.841310,
118,0.988167,0.972546,0.978163,0.987662,0.996930,2.127013,2.127013,0.637461,0.970556,0.986516,0.992444,96.375884,
119,0.985263,0.967699,0.972959,0.985876,0.994716,2.133836,2.133836,0.639236,0.968010,0.985502,0.992001,95.662117,
120,0.993247,0.981013,0.986122,0.993622,0.999172,2.166775,2.166775,0.672303,0.985128,0.993777,0.996654,98.230242,
121,0.985383,0.970542,0.970162,0.985862,0.994961,2.230745,2.230745,0.624893,0.969460,0.985915,0.992387,95.876721,
122,0.988872,0.972788,0.977239,0.988411,0.997744,2.234725,2.234725,0.633398,0.971698,0.987440,0.993330,96.784179,
123,0.986872,0.969128,0.973229,0.986911,0.996413,2.300268,2.304986,0.622160,0.966792,0.984602,0.991464,96.146546,
124,0.990155,0.976458,0.979357,0.989731,0.997979,2.300268,2.300268,0.651669,0.976797,0.989577,0.994284,97.324257,
125,0.984242,0.969245,0.970140,0.983067,0.994514,2.322525,2.322525,0.615810,0.965612,0.983652,0.990752,95.505882,
126,0.988749,0.972647,0.977575,0.988824,0.997246,2.370714,2.370714,0.653249,0.973318,0.987807,0.993122,96.919372,
127,0.986272,0.970459,0.972389,0.986655,0.995260,2.374571,2.374571,0.640556,0.971019,0.986451,0.992526,96.277697,
128,0.995871,0.988687,0.990506,0.996992,0.998999,2.392235,2.401652,0.743985,0.992861,0.996916,0.998247,99.371175,
129,0.987695,0.972814,0.974879,0.985565,0.997689,2.392235,2.392235,0.643211,0.970678,0.986328,0.992273,96.579810,
130,0.987454,0.972968,0.976535,0.986757,0.996045,2.443889,2.443889,0.640586,0.971635,0.987039,0.992819,96.673296,
131,0.985104,0.971200,0.969641,0.983691,0.995623,2.335559,2.449902,0.623831,0.965094,0.983231,0.989980,95.619383,
132,0.989874,0.975937,0.977157,0.988255,0.999513,2.285161,2.335559,0.641393,0.976342,0.989163,0.993576,97.174149,
133,0.986413,0.970221,0.971171,0.984627,0.997551,2.285161,2.285161,0.620481,0.966302,0.984215,0.990864,95.962477,
134,0.987747,0.971790,0.977458,0.985066,0.997643,2.257764,2.308681,0.635400,0.970989,0.986389,0.992285,96.433558,
135,0.987488,0.971853,0.975803,0.986021,0.997246,2.163180,2.257764,0.608829,0.968817,0.985249,0.991640,96.172130,
136,0.993291,0.982700,0.987768,0.992221,0.998985,2.157678,2.163180,0.677524,0.984780,0.993138,0.996001,98.142433,
137,0.985559,0.970699,0.973680,0.981386,0.996416,2.113461,2.157678,0.621464,0.966688,0.983920,0.990629,95.531425,
138,0.986550,0.973240,0.975949,0.983855,0.995785,2.078565,2.113461,0.636165,0.971204,0.986927,0.992688,96.005361,
139,0.984046,0.967382,0.970645,0.979211,0.996699,2.078565,2.078565,0.598293,0.962500,0.982211,0.989735,95.021510,
140,0.987785,0.976300,0.976584,0.985064,0.996914,2.052488,2.082282,0.644822,0.975413,0.988725,0.993189,96.370443,
141,0.986023,0.970783,0.974063,0.985705,0.995270,1.973048,2.052488,0.624783,0.965602,0.983070,0.990250,95.381195,
142,0.987221,0.973938,0.976993,0.986329,0.995488,1.968317,1.973048,0.641941,0.971635,0.986857,0.992162,95.963682,
143,0.986119,0.972036,0.973438,0.985571,0.995037,1.967362,1.968317,0.624617,0.970223,0.985865,0.991678,95.650788,
144,0.993658,0.983741,0.986774,0.993189,0.999136,1.967362,1.967362,0.674029,0.987198,0.994328,0.996430,98.081287,
145,0.985413,0.970245,0.973833,0.981022,0.996375,1.951025,1.969586,0.598311,0.970424,0.986152,0.991989,95.543180,
146,0.986501,0.973921,0.973419,0.984400,0.996092,1.931814,1.951025,0.607026,0.972325,0.987448,0.992947,95.887524,
147,0.986122,0.971488,0.972112,0.982145,0.997524,1.910114,1.931814,0.606600,0.966492,0.984566,0.991533,95.515167,
148,0.989063,0.977204,0.977628,0.988915,0.996418,1.891968,1.910114,0.630066,0.975990,0.989049,0.994217,96.558378,
149,0.986001,0.971814,0.973260,0.984540,0.995269,1.888372,1.891968,0.606821,0.967480,0.985233,0.992356,95.560852,
150,0.985687,0.973374,0.973441,0.982022,0.995591,1.879763,1.888372,0.616210,0.970209,0.986164,0.992318,95.520703,
151,0.984943,0.968934,0.969777,0.985421,0.994377,1.879763,1.879763,0.590803,0.968852,0.985393,0.991892,95.314303,
152,0.992398,0.982469,0.984856,0.991742,0.998257,1.937819,1.937819,0.638977,0.984540,0.993300,0.996274,97.724422,
153,0.985911,0.967703,0.969257,0.987998,0.995809,1.966896,1.966896,0.600022,0.967903,0.984637,0.991465,95.550380,
154,0.986084,0.971145,0.975475,0.984063,0.995396,1.981015,1.994493,0.607848,0.971029,0.986679,0.992450,95.778529,
155,0.983408,0.968554,0.968998,0.982896,0.993133,1.919116,1.981015,0.597605,0.966179,0.983412,0.990263,94.794541,
156,0.988445,0.974371,0.976500,0.989511,0.996173,1.901762,1.919116,0.616226,0.976253,0.989120,0.993884,96.427331,
157,0.984314,0.967021,0.967199,0.983878,0.995775,1.901762,1.901762,0.609037,0.968567,0.985387,0.991846,95.179752,
158,0.985983,0.969715,0.970442,0.983564,0.997286,1.834166,1.911007,0.607975,0.971700,0.987253,0.993102,95.653517,
159,0.986813,0.970892,0.972509,0.987429,0.995811,1.812469,1.834166,0.623595,0.973503,0.988006,0.993620,95.872084,
160,0.994636,0.987118,0.988184,0.994613,0.999020,1.788640,1.812469,0.703912,0.991926,0.996636,0.998168,98.314639,
161,0.986773,0.969991,0.971963,0.984574,0.998017,1.768234,1.788640,0.622547,0.972034,0.986563,0.992189,95.623948,
162,0.988528,0.972236,0.974544,0.989152,0.997672,1.768234,1.768234,0.628198,0.974607,0.988625,0.993583,96.212839,
163,0.985531,0.968202,0.970876,0.982569,0.997138,1.774030,1.794554,0.612199,0.969690,0.985823,0.991905,95.308384,
164,0.988870,0.976049,0.976251,0.987738,0.997624,1.751657,1.774030,0.643743,0.978523,0.990634,0.994740,96.450277,
165,0.985561,0.967281,0.969072,0.984971,0.996924,1.726697,1.751657,0.627925,0.971663,0.987316,0.993175,95.414721,
166,0.988035,0.970859,0.975451,0.988903,0.996896,1.726697,1.726697,0.636355,0.976041,0.989599,0.994294,96.152039,
167,0.985878,0.968879,0.973167,0.985490,0.995435,1.792063,1.792063,0.638589,0.974076,0.988141,0.993017,95.588724,
168,0.993202,0.981278,0.982291,0.993152,1.000514,1.809436,1.809436,0.666970,0.985493,0.993562,0.996282,97.731848,
169,0.988423,0.970588,0.972777,0.988043,0.999236,1.895053,1.895053,0.637134,0.974066,0.988388,0.993659,96.334833,
170,0.989923,0.972520,0.975164,0.990894,0.999537,1.890602,1.920852,0.638168,0.974945,0.988685,0.993624,96.667849,
171,0.986550,0.968812,0.969348,0.988903,0.996377,1.890602,1.890602,0.614232,0.969484,0.985724,0.992097,95.683326,
172,0.989965,0.975395,0.978888,0.987511,0.999469,1.945398,1.952877,0.656397,0.978490,0.990411,0.994745,96.913122,
173,0.986589,0.966878,0.974684,0.985930,0.996532,1.945398,1.945398,0.621651,0.969193,0.985693,0.991919,95.736051,
174,0.986591,0.969728,0.979937,0.985678,0.994122,2.002872,2.002872,0.633605,0.973196,0.987649,0.992853,95.974635,
175,0.986181,0.969275,0.974778,0.985893,0.995125,2.015437,2.015437,0.622387,0.971530,0.986347,0.992215,95.796348,
176,0.993659,0.983363,0.988061,0.994402,0.998265,2.024371,2.024371,0.671292,0.986986,0.994413,0.996743,98.183773,
177,0.986691,0.968885,0.974410,0.990172,0.994464,2.036412,2.059286,0.618965,0.971937,0.986705,0.992341,95.964011,
178,0.987612,0.973715,0.976883,0.988751,0.995002,2.036412,2.036412,0.624509,0.973574,0.987936,0.993050,96.276788,
179,0.987408,0.969899,0.976857,0.988725,0.995420,2.040610,2.040610,0.616924,0.969691,0.986219,0.992024,96.071157,
180,0.989652,0.975797,0.978293,0.990758,0.997213,2.052205,2.052205,0.619972,0.976454,0.989576,0.994014,96.905680,
181,0.985613,0.971658,0.974299,0.984866,0.994195,2.076667,2.076667,0.600868,0.967109,0.984494,0.991201,95.590993,
182,0.988748,0.973753,0.979271,0.990777,0.995249,2.150916,2.150916,0.613929,0.971546,0.986880,0.992402,96.569266,
183,0.988514,0.974641,0.975213,0.989878,0.996703,2.155369,2.155369,0.607691,0.972058,0.987276,0.992776,96.579916,
184,0.993481,0.980982,0.986066,0.995612,0.998347,2.198303,2.198303,0.641369,0.983594,0.992939,0.996242,98.263532,
185,0.987992,0.973413,0.977395,0.988430,0.995594,2.199481,2.199481,0.601536,0.970299,0.986260,0.992346,96.440957,
186,0.989573,0.974028,0.980653,0.990333,0.996555,2.221648,2.221648,0.607526,0.972839,0.987967,0.993594,96.991942,
187,0.989872,0.971828,0.978482,0.989067,0.999224,2.202849,2.251801,0.622178,0.968766,0.985656,0.991709,96.749864,
188,0.991432,0.977034,0.982533,0.992474,0.997909,2.202849,2.202849,0.640119,0.977104,0.989862,0.994229,97.497332,
189,0.988515,0.972187,0.976830,0.989797,0.996547,2.204539,2.204539,0.627518,0.969352,0.985824,0.991557,96.450210,
190,0.990998,0.976824,0.981078,0.991184,0.998128,2.241567,2.241567,0.648477,0.974432,0.988352,0.993277,97.290475,
191,0.990871,0.976220,0.979699,0.992321,0.997843,2.252582,2.252582,0.654629,0.975986,0.989264,0.994119,97.387198,
192,0.996513,0.988828,0.993132,0.996475,0.999842,2.268078,2.268078,0.750796,0.993301,0.997286,0.998485,99.388383,
193,0.990427,0.975277,0.982430,0.990311,0.997612,2.290762,2.290762,0.656164,0.973192,0.987939,0.993405,97.209940,
194,0.991717,0.974523,0.983794,0.993035,0.998569,2.334993,2.337466,0.648698,0.972927,0.987589,0.993124,97.511871,
195,0.987565,0.969222,0.974141,0.985927,0.998844,2.314027,2.334993,0.638954,0.965138,0.983687,0.991088,96.223314,
196,0.991316,0.976432,0.981497,0.992423,0.998669,2.259486,2.314027,0.651563,0.974318,0.988882,0.994405,97.494055,
197,0.986575,0.971527,0.971149,0.985485,0.997142,2.148090,2.259486,0.632120,0.966477,0.984571,0.991774,95.905428,
198,0.989231,0.973053,0.979291,0.988405,0.997890,2.139419,2.148090,0.644913,0.971455,0.987476,0.993441,96.742972,
199,0.986778,0.970108,0.974476,0.987205,0.995857,2.124172,2.139419,0.633480,0.967734,0.985060,0.991603,95.930986,
200,0.993939,0.982736,0.987200,0.994334,0.999409,2.042366,2.124172,0.681717,0.983621,0.993088,0.996135,98.138020,
201,0.987166,0.973921,0.975180,0.988938,0.994361,2.023817,2.042366,0.618666,0.970372,0.986214,0.992110,96.005323,
202,0.990395,0.972918,0.979603,0.990058,0.999698,1.986146,2.023817,0.617195,0.972695,0.987785,0.993817,96.876356,
203,0.985552,0.967930,0.968857,0.984769,0.997348,1.928498,1.986146,0.604095,0.967245,0.984414,0.991260,95.391504,
