Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.985729,0.967257,0.968672,0.985566,0.995545,0.000000,0.000000,0.582796,0.958020,0.980712,0.988811,92.642810,
1,0.962527,0.935357,0.929311,0.956232,0.983207,4.175463,4.235790,0.493740,0.885587,0.932886,0.957888,88.246706,
2,0.953367,0.928580,0.918728,0.946876,0.974450,4.106378,4.175463,0.459699,0.865953,0.921085,0.950469,85.210758,
3,0.948927,0.921752,0.910086,0.939914,0.973374,4.106378,4.106378,0.439929,0.850692,0.909009,0.939848,83.014925,
4,0.958664,0.929794,0.927013,0.951916,0.979828,4.019186,4.112193,0.435473,0.861611,0.920097,0.949599,86.173827,
5,0.945877,0.924777,0.912151,0.938061,0.966803,3.897284,4.019186,0.435222,0.839536,0.901904,0.936612,81.630004,
6,0.950492,0.927889,0.920525,0.943397,0.970975,3.835277,3.897284,0.425427,0.846987,0.909054,0.943865,83.383577,
7,0.944291,0.921799,0.900899,0.930969,0.973271,3.807795,3.835277,0.425988,0.844424,0.905734,0.939210,81.560215,
8,0.962294,0.936719,0.929482,0.958715,0.982532,3.797967,3.807795,0.454739,0.879321,0.934037,0.960416,88.067697,
9,0.941594,0.917787,0.895422,0.933969,0.968224,3.783160,3.797967,0.421154,0.834779,0.899013,0.937391,80.588710,
10,0.948124,0.919245,0.908030,0.939950,0.974075,3.758775,3.783160,0.423262,0.838883,0.903126,0.939938,82.277087,
11,0.945687,0.919690,0.911766,0.939718,0.967406,3.665228,3.758775,0.420720,0.835908,0.899709,0.937417,81.342218,
12,0.951769,0.928178,0.918519,0.939986,0.976145,3.526541,3.665228,0.440973,0.847859,0.911153,0.945710,83.491453,
13,0.940814,0.911453,0.902661,0.922828,0.971334,3.426662,3.526541,0.430066,0.831574,0.896767,0.933771,79.641464,
14,0.950644,0.922035,0.913662,0.939122,0.976850,3.376822,3.426662,0.436494,0.838341,0.901916,0.936957,82.065592,
15,0.948271,0.918388,0.906296,0.936602,0.977169,3.376822,3.376822,0.440554,0.843724,0.906933,0.941837,82.122638,
16,0.965233,0.941759,0.937809,0.956222,0.986021,3.339864,3.412653,0.453863,0.876786,0.932533,0.959516,88.031381,
17,0.947758,0.916034,0.914821,0.935179,0.974952,3.198002,3.339864,0.423021,0.844894,0.906899,0.941799,81.847300,
18,0.948148,0.921541,0.914011,0.937353,0.973843,3.124537,3.198002,0.436820,0.844550,0.907449,0.944527,82.042709,
19,0.948099,0.916534,0.909597,0.937972,0.976378,2.984535,3.124537,0.427963,0.841096,0.903506,0.939133,81.328470,
20,0.959375,0.933461,0.927569,0.949336,0.983124,2.888214,2.984535,0.439601,0.861535,0.921054,0.951181,85.178550,
21,0.951049,0.924847,0.914633,0.938389,0.977177,2.721977,2.888214,0.425531,0.848925,0.909272,0.942292,82.114914,
22,0.956749,0.926159,0.924218,0.950810,0.979076,2.721977,2.721977,0.433826,0.857156,0.915766,0.947312,83.934045,
23,0.954959,0.929749,0.924155,0.947279,0.976656,2.757812,2.757812,0.436854,0.860690,0.918596,0.950143,83.921198,
24,0.967711,0.945010,0.944051,0.960878,0.986065,2.765138,2.772084,0.452201,0.889184,0.940161,0.964597,88.613270,
25,0.950730,0.928856,0.916743,0.941500,0.973614,2.731099,2.765138,0.441472,0.863010,0.918497,0.948859,82.881505,
26,0.954035,0.929262,0.919012,0.947105,0.976734,2.731099,2.731099,0.420012,0.861328,0.918519,0.949260,83.665739,
27,0.953125,0.926237,0.914098,0.947533,0.977483,2.767687,2.767687,0.431629,0.850976,0.908350,0.939728,82.351882,
28,0.963344,0.940392,0.932497,0.958976,0.982895,2.856482,2.856482,0.449783,0.868507,0.923642,0.952815,86.188716,
29,0.955979,0.930534,0.921783,0.950151,0.977763,3.288201,3.288201,0.444055,0.859609,0.915759,0.948406,84.482883,
30,0.960759,0.936296,0.926748,0.954296,0.982643,3.841294,3.841294,0.460298,0.869491,0.924072,0.952672,86.765464,
31,0.960076,0.938766,0.931784,0.953018,0.979513,3.975427,3.975427,0.473073,0.879837,0.930047,0.955903,87.250464,
32,0.977123,0.957288,0.955027,0.974782,0.991022,4.171820,4.171820,0.516095,0.925778,0.963612,0.978855,94.356421,
33,0.961782,0.939992,0.934081,0.953164,0.981845,4.354852,4.411150,0.465587,0.876823,0.927131,0.953297,87.738077,
34,0.958527,0.935863,0.930900,0.952385,0.977420,4.354852,4.354852,0.450780,0.867392,0.920164,0.947812,86.360139,
35,0.958140,0.933075,0.927577,0.948994,0.980767,4.541366,4.541366,0.449049,0.857785,0.913670,0.944676,85.991238,
36,0.963368,0.942999,0.939128,0.952787,0.983312,4.671879,4.671879,0.451390,0.861834,0.917622,0.948276,87.681230,
37,0.955248,0.934649,0.928303,0.947298,0.973610,4.837750,4.837750,0.440340,0.848149,0.904959,0.936573,84.763516,
38,0.954896,0.935091,0.928128,0.942761,0.975124,4.994174,4.994174,0.447893,0.850102,0.907341,0.940636,85.257603,
39,0.954488,0.934286,0.923727,0.943158,0.976509,5.094744,5.172161,0.460785,0.849970,0.907730,0.941223,85.324955,
40,0.969485,0.948269,0.944219,0.964287,0.986022,4.920234,5.094744,0.480301,0.884620,0.936220,0.962421,91.101791,
41,0.955672,0.934872,0.924322,0.949787,0.975097,4.746991,4.920234,0.415230,0.848694,0.906891,0.939659,85.111290,
42,0.958267,0.934091,0.924458,0.948520,0.980779,4.705685,4.746991,0.428560,0.848202,0.906033,0.940074,85.585664,
43,0.955481,0.932774,0.916522,0.950301,0.977160,4.518733,4.705685,0.434867,0.845044,0.903504,0.937929,84.512738,
44,0.960568,0.941938,0.933391,0.956736,0.977332,4.502865,4.518733,0.457560,0.862727,0.919456,0.949666,87.066914,
45,0.949051,0.929594,0.916026,0.934535,0.974335,4.502865,4.502865,0.437694,0.848037,0.905331,0.938771,83.266893,
46,0.955426,0.936297,0.917252,0.945800,0.978477,4.533692,4.555827,0.453764,0.855780,0.911630,0.942756,85.170488,
47,0.958111,0.939105,0.928335,0.951445,0.976730,4.450178,4.533692,0.463609,0.858766,0.913917,0.945975,85.966269,
48,0.968157,0.949464,0.941727,0.961159,0.985848,4.281782,4.450178,0.469069,0.886234,0.937720,0.963961,90.284841,
49,0.954273,0.935860,0.922021,0.942465,0.977219,4.099783,4.281782,0.449696,0.854663,0.911334,0.944828,84.589121,
50,0.956707,0.934629,0.927301,0.944873,0.980207,3.955391,4.099783,0.436486,0.855489,0.912422,0.945700,85.075749,
51,0.957545,0.932305,0.928590,0.946626,0.980563,3.814478,3.955391,0.443294,0.855342,0.912143,0.945045,85.016682,
52,0.958795,0.933903,0.922863,0.950303,0.983365,3.814478,3.814478,0.443176,0.865822,0.921144,0.952687,86.232689,
53,0.954474,0.931102,0.914620,0.941076,0.982500,3.875855,3.884072,0.433770,0.857071,0.913152,0.945299,84.516414,
54,0.957339,0.937547,0.921039,0.946365,0.981302,3.853274,3.875855,0.436874,0.862656,0.918188,0.949371,85.605083,
55,0.957023,0.934934,0.928718,0.944333,0.980144,3.790989,3.853274,0.442701,0.870032,0.923561,0.952187,85.890020,
56,0.970427,0.951512,0.944805,0.961311,0.989080,3.729502,3.790989,0.477012,0.893333,0.942666,0.966855,90.558743,
57,0.962170,0.941796,0.930960,0.953911,0.982987,3.676986,3.729502,0.458349,0.877390,0.928808,0.955347,87.282271,
58,0.957615,0.939762,0.929477,0.948483,0.977541,3.624452,3.676986,0.443510,0.867586,0.920914,0.949668,85.520062,
59,0.959725,0.940181,0.931220,0.954339,0.978438,3.569544,3.624452,0.447415,0.870163,0.923064,0.951038,86.089579,
60,0.965207,0.950095,0.938933,0.957733,0.983202,3.486398,3.569544,0.458934,0.879825,0.929815,0.956353,87.826988,
61,0.958480,0.943618,0.929207,0.948388,0.978865,3.486398,3.486398,0.458856,0.877253,0.927160,0.953501,86.065651,
62,0.960190,0.943813,0.928796,0.953493,0.980385,3.507444,3.552782,0.464490,0.889015,0.936553,0.960537,87.383898,
63,0.969890,0.949291,0.942497,0.969420,0.985191,3.430328,3.507444,0.480952,0.903230,0.945264,0.965051,90.066124,
64,0.983587,0.967225,0.964613,0.983565,0.994440,3.362479,3.430328,0.521696,0.945746,0.973711,0.984351,95.714106,
65,0.970879,0.950110,0.946839,0.963241,0.988950,3.333726,3.362479,0.475218,0.902059,0.942881,0.963165,89.923526,
66,0.961218,0.944840,0.932093,0.956284,0.978878,3.274201,3.333726,0.444434,0.886470,0.932593,0.955982,86.849778,
67,0.957872,0.940406,0.933959,0.952962,0.974251,3.117878,3.274201,0.433003,0.875868,0.925077,0.951701,85.340364,
68,0.964274,0.942796,0.932737,0.966105,0.980722,2.783307,3.117878,0.434557,0.883650,0.933016,0.959309,87.227768,
69,0.954836,0.939119,0.927179,0.946295,0.974872,2.553624,2.783307,0.438276,0.872837,0.922349,0.949346,83.739559,
70,0.960949,0.941998,0.931675,0.954961,0.980110,2.388966,2.553624,0.447215,0.881285,0.930411,0.955677,85.641813,
71,0.960940,0.941762,0.930410,0.956577,0.979271,2.279585,2.388966,0.446733,0.882982,0.930785,0.956274,85.575242,
72,0.969549,0.946643,0.940252,0.967171,0.987201,2.015785,2.279585,0.467693,0.904573,0.948389,0.969199,88.809558,
73,0.956752,0.939481,0.921720,0.948953,0.978024,1.941426,2.015785,0.445150,0.883364,0.930630,0.956092,84.275308,
74,0.957394,0.939279,0.925032,0.945677,0.980452,1.941426,1.941426,0.456397,0.883083,0.931572,0.957151,84.504272,
75,0.951159,0.934313,0.916920,0.937602,0.976436,1.962746,1.962746,0.436088,0.873652,0.923499,0.951540,82.498565,
76,0.961208,0.944676,0.930619,0.951094,0.983456,1.954797,1.972041,0.438291,0.887003,0.936125,0.960121,85.794600,
77,0.951344,0.931532,0.923985,0.934211,0.977167,1.954797,1.954797,0.441030,0.877529,0.927037,0.952934,82.766510,
78,0.954713,0.934960,0.928604,0.936002,0.980756,1.967256,1.967256,0.446252,0.882670,0.930737,0.955517,83.831242,
79,0.954473,0.933898,0.923415,0.946890,0.976204,1.926661,1.972344,0.448473,0.883863,0.929766,0.953987,83.567837,
80,0.970554,0.948778,0.942827,0.964871,0.989923,1.926483,1.926661,0.460435,0.913190,0.954206,0.971952,89.408858,
81,0.947970,0.934118,0.918315,0.934644,0.970120,1.926483,1.926483,0.420834,0.877984,0.926497,0.950217,81.845369,
82,0.952855,0.935921,0.928946,0.943768,0.971810,1.902252,1.931048,0.436103,0.875464,0.925924,0.952274,82.940948,
83,0.951376,0.935691,0.928423,0.936324,0.973086,1.902252,1.902252,0.424884,0.871952,0.923496,0.950014,82.387524,
84,0.963575,0.940559,0.938662,0.953247,0.984635,1.908261,1.908261,0.421372,0.889044,0.938799,0.962755,86.603504,
85,0.960722,0.936780,0.931546,0.950583,0.983586,2.016183,2.016183,0.431015,0.876015,0.928020,0.955480,85.084397,
86,0.961070,0.940028,0.932014,0.948183,0.984976,2.142437,2.146806,0.434743,0.880634,0.930235,0.956948,85.501405,
87,0.960739,0.937296,0.933427,0.954977,0.980868,2.142437,2.142437,0.437431,0.883203,0.931893,0.956815,85.483044,
88,0.970267,0.951115,0.945128,0.966601,0.987385,2.154352,2.154352,0.461460,0.903681,0.947224,0.967570,88.961916,
89,0.954872,0.936372,0.921074,0.950498,0.975354,2.367452,2.367452,0.420050,0.879883,0.927329,0.951863,83.975153,
90,0.955541,0.931479,0.925964,0.950751,0.975486,2.429549,2.437692,0.428158,0.876574,0.925123,0.951386,84.040441,
91,0.959569,0.939039,0.938391,0.954248,0.976311,2.429549,2.429549,0.427545,0.880706,0.928949,0.953942,85.249190,
92,0.964208,0.943904,0.945646,0.961688,0.978122,2.460095,2.460095,0.448750,0.889563,0.936679,0.960550,87.056194,
93,0.958291,0.935847,0.931014,0.958161,0.975201,2.510120,2.510120,0.416060,0.884885,0.933082,0.956777,85.492853,
94,0.961437,0.942694,0.938448,0.954798,0.979276,2.570050,2.570050,0.446418,0.892160,0.937608,0.960310,86.622608,
95,0.966972,0.945310,0.944468,0.965744,0.982453,2.618947,2.618947,0.457446,0.906357,0.947831,0.967319,88.824940,
96,0.978769,0.963947,0.957370,0.976007,0.992363,2.688339,2.688339,0.496340,0.937887,0.969458,0.982437,93.545704,
97,0.967414,0.945515,0.937008,0.962578,0.988238,2.692625,2.692625,0.470704,0.904628,0.946086,0.965712,88.776967,
98,0.966422,0.940367,0.936396,0.960769,0.987963,2.773374,2.773374,0.462835,0.893652,0.940154,0.962423,88.158526,
99,0.964723,0.936785,0.936014,0.962957,0.984217,2.819186,2.819186,0.456897,0.887266,0.935437,0.959695,87.448474,
100,0.967822,0.944874,0.944300,0.961947,0.985715,2.833655,2.833655,0.455797,0.889969,0.938310,0.962508,88.468637,
101,0.963936,0.942224,0.938462,0.951934,0.986217,2.835056,2.862841,0.448165,0.875745,0.926268,0.952726,86.392956,
102,0.959390,0.942459,0.937003,0.956304,0.974464,2.753881,2.835056,0.447261,0.877026,0.927189,0.953375,85.424836,
103,0.964787,0.943917,0.939821,0.956425,0.985273,2.753881,2.753881,0.449847,0.884767,0.933224,0.958901,87.245651,
104,0.968345,0.952005,0.944148,0.963960,0.985152,2.681828,2.770062,0.472369,0.900156,0.945931,0.967672,89.102848,
105,0.965039,0.945814,0.936324,0.956701,0.986499,2.549699,2.681828,0.446235,0.888480,0.937424,0.962166,87.500353,
106,0.960135,0.946515,0.931958,0.950546,0.980496,2.453596,2.549699,0.449364,0.879381,0.930480,0.956483,85.605510,
107,0.960665,0.941846,0.936879,0.952876,0.979600,2.387158,2.453596,0.437811,0.876651,0.928147,0.954165,85.391052,
108,0.960085,0.947359,0.932888,0.951705,0.978699,2.387158,2.387158,0.437204,0.878247,0.928701,0.955192,85.372357,
109,0.957533,0.941359,0.930202,0.945764,0.979740,2.276959,2.409232,0.424299,0.872934,0.923541,0.949916,84.116788,
110,0.959193,0.945593,0.933763,0.950390,0.978174,2.138746,2.276959,0.430380,0.874926,0.924469,0.950553,84.377498,
111,0.959296,0.944482,0.932695,0.955164,0.976516,2.113065,2.138746,0.430056,0.882552,0.931495,0.956316,85.106574,
112,0.968502,0.951371,0.947377,0.962061,0.985672,2.113065,2.113065,0.445694,0.903308,0.948144,0.968553,88.688158,
113,0.959404,0.942076,0.939115,0.948535,0.978842,2.114841,2.114841,0.431376,0.882087,0.932022,0.956960,85.199964,
114,0.957590,0.937634,0.932540,0.949874,0.977709,2.070220,2.121379,0.436315,0.874661,0.926738,0.954362,84.332240,
115,0.959190,0.936888,0.929538,0.954688,0.979641,2.070220,2.070220,0.439979,0.869581,0.922131,0.951887,84.281587,
116,0.960591,0.941815,0.934615,0.953999,0.980415,2.099094,2.126213,0.439784,0.881312,0.931916,0.957832,85.475116,
117,0.953314,0.934669,0.927605,0.939325,0.977692,2.099094,2.099094,0.434817,0.870959,0.922525,0.951251,83.054436,
118,0.957452,0.937045,0.932422,0.953366,0.975815,2.127013,2.127013,0.441998,0.877553,0.928362,0.956407,84.580177,
