Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.998694,0.994858,0.998176,0.998647,0.999652,0.000000,0.000000,0.945592,0.998362,0.999070,0.999428,97.024928,
1,0.994637,0.979555,0.985571,0.997094,0.999032,6.932724,7.146386,0.825876,0.986556,0.994508,0.997175,100.000000,
2,0.993629,0.980526,0.983092,0.995068,0.998753,6.726403,6.932724,0.821102,0.986747,0.994348,0.997117,100.000000,
3,0.993654,0.976130,0.982777,0.993807,1.000304,6.487056,6.726403,0.808201,0.984358,0.993518,0.996834,100.000000,
4,0.994884,0.983815,0.987734,0.995277,0.998875,6.363400,6.487056,0.845262,0.990705,0.995820,0.997581,100.000000,
5,0.993387,0.976142,0.982275,0.993959,0.999522,6.135891,6.363400,0.810620,0.984468,0.993027,0.996380,100.000000,
6,0.993983,0.979729,0.984953,0.995157,0.998820,5.762312,6.135891,0.824652,0.986758,0.994052,0.996814,100.000000,
7,0.992361,0.977083,0.982950,0.993717,0.997986,5.647958,5.762312,0.821705,0.985381,0.993172,0.996037,100.000000,
8,0.996716,0.988850,0.993471,0.998021,0.998817,5.356437,5.647958,0.893490,0.994636,0.997541,0.998343,100.000000,
9,0.992849,0.978981,0.984604,0.995283,0.997304,4.964181,5.356437,0.829695,0.986947,0.994280,0.996805,100.000000,
10,0.993777,0.981383,0.987305,0.994200,0.998550,4.539202,4.964181,0.834027,0.987421,0.994414,0.997224,100.000000,
11,0.992631,0.978688,0.982163,0.993023,0.999075,4.457428,4.539202,0.822817,0.985408,0.993806,0.996922,100.000000,
12,0.994976,0.986051,0.987896,0.995669,0.998791,4.415695,4.457428,0.857961,0.991458,0.996371,0.998029,100.000000,
13,0.993636,0.980192,0.982930,0.996195,0.998459,4.415695,4.415695,0.829837,0.986940,0.994232,0.996772,100.000000,
14,0.993359,0.981042,0.984877,0.996078,0.997029,4.566179,4.566179,0.840867,0.988195,0.995039,0.997638,100.000000,
15,0.993162,0.979372,0.984970,0.994095,0.997986,5.980486,5.980486,0.834893,0.986546,0.993739,0.996420,100.000000,
16,0.997015,0.990897,0.994479,0.997687,0.998636,6.839999,6.839999,0.907546,0.995582,0.997902,0.998593,100.000000,
17,0.993168,0.980484,0.985304,0.992549,0.998318,7.346855,7.346855,0.833384,0.986379,0.994236,0.997320,100.000000,
18,0.993931,0.982357,0.985399,0.995636,0.997844,7.824231,7.824231,0.835070,0.986566,0.993652,0.996574,100.000000,
19,0.991383,0.980477,0.982411,0.992189,0.996072,8.303477,8.303477,0.825176,0.984426,0.992808,0.995892,100.000000,
20,0.994582,0.984495,0.988150,0.995596,0.997945,8.069918,8.652019,0.857775,0.990441,0.995579,0.997793,100.000000,
21,0.993219,0.980225,0.985537,0.995002,0.997178,7.720404,8.069918,0.826829,0.985619,0.993778,0.996590,100.000000,
22,0.993205,0.983986,0.987363,0.993334,0.996973,7.582816,7.720404,0.844552,0.988353,0.994913,0.997001,100.000000,
23,0.992975,0.980911,0.985459,0.995524,0.996572,7.550639,7.582816,0.837743,0.986572,0.993952,0.996753,100.000000,
24,0.996238,0.989636,0.994114,0.996307,0.998231,7.123490,7.550639,0.895277,0.995018,0.997906,0.998820,100.000000,
25,0.993212,0.980288,0.985550,0.994976,0.997500,6.523065,7.123490,0.837351,0.986912,0.994236,0.997154,100.000000,
26,0.993504,0.981865,0.983705,0.995441,0.998123,6.421107,6.523065,0.840547,0.988561,0.995188,0.997757,100.000000,
27,0.992832,0.979546,0.981927,0.993875,0.998502,6.376199,6.421107,0.829494,0.985985,0.993795,0.996760,100.000000,
28,0.994837,0.985198,0.987858,0.995902,0.998619,6.236766,6.376199,0.866445,0.991533,0.996201,0.997686,100.000000,
