Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.996605,0.989899,0.994223,0.996560,0.998738,0.000000,0.000000,0.893185,0.995241,0.997826,0.998659,96.429265,
1,0.985776,0.967830,0.974231,0.984522,0.993764,6.932724,7.146386,0.747462,0.964735,0.983108,0.990786,100.000000,
2,0.984880,0.967043,0.970060,0.983683,0.993948,6.726403,6.932724,0.738474,0.964464,0.982598,0.990392,100.000000,
3,0.982987,0.966113,0.966553,0.979047,0.993522,6.487056,6.726403,0.721921,0.956848,0.978709,0.988365,99.875455,
4,0.986931,0.969213,0.973445,0.984797,0.995431,6.363400,6.487056,0.749828,0.969657,0.985371,0.991527,100.000000,
5,0.984506,0.961588,0.967309,0.982688,0.994777,6.135891,6.363400,0.711962,0.955310,0.977990,0.987710,99.688482,
6,0.984399,0.966299,0.967805,0.982571,0.993998,5.762312,6.135891,0.728664,0.963493,0.982996,0.990473,99.699690,
7,0.980793,0.964266,0.966035,0.979238,0.990386,5.647958,5.762312,0.729190,0.959364,0.979988,0.988512,98.467990,
8,0.991276,0.979045,0.986098,0.991433,0.995841,5.356437,5.647958,0.805626,0.983042,0.992118,0.995490,100.000000,
9,0.984494,0.964607,0.973970,0.983875,0.993030,4.964181,5.356437,0.739130,0.964476,0.983939,0.991214,98.855115,
10,0.986815,0.967941,0.975233,0.984847,0.996378,4.539202,4.964181,0.751220,0.967979,0.985218,0.992101,98.983316,
11,0.982612,0.965995,0.970169,0.981827,0.991101,4.457428,4.539202,0.736370,0.960612,0.980580,0.988685,97.450154,
12,0.987931,0.972819,0.978178,0.985652,0.995753,4.415695,4.457428,0.772414,0.975172,0.988403,0.993616,99.377363,
13,0.985645,0.965840,0.973463,0.987127,0.992972,4.415695,4.415695,0.737990,0.963284,0.982249,0.990277,98.271855,
14,0.989339,0.969982,0.975278,0.991482,0.996589,4.566179,4.566179,0.756803,0.968232,0.985105,0.991980,99.557296,
15,0.984844,0.966012,0.973654,0.986073,0.991457,5.980486,5.980486,0.752667,0.965034,0.982709,0.990304,100.000000,
16,0.993536,0.981576,0.987033,0.993530,0.997968,6.839999,6.839999,0.826844,0.986029,0.993158,0.995912,100.000000,
17,0.986269,0.970246,0.971576,0.986593,0.993583,7.346855,7.346855,0.752256,0.961816,0.980725,0.989339,100.000000,
18,0.987371,0.972152,0.975758,0.987650,0.993744,7.824231,7.824231,0.751356,0.963409,0.981654,0.989704,100.000000,
19,0.983623,0.968422,0.968780,0.985559,0.990402,8.303477,8.303477,0.731505,0.956936,0.978862,0.987294,100.000000,
20,0.986566,0.973795,0.975480,0.986555,0.992508,8.069918,8.652019,0.767886,0.971271,0.985977,0.991882,100.000000,
21,0.984387,0.968824,0.969264,0.986175,0.991208,7.720404,8.069918,0.733802,0.958218,0.979523,0.988260,100.000000,
22,0.986373,0.973647,0.977311,0.986263,0.992075,7.582816,7.720404,0.758001,0.967113,0.983956,0.990395,100.000000,
23,0.986625,0.967963,0.969708,0.989438,0.994785,7.550639,7.582816,0.751256,0.963497,0.983173,0.990791,100.000000,
24,0.991963,0.979093,0.984340,0.992258,0.996858,7.123490,7.550639,0.814725,0.984290,0.993241,0.996403,100.000000,
