Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990616,0.979302,0.985868,0.992289,0.993363,0.000000,0.000000,0.799443,0.983108,0.991660,0.994959,94.520435,
1,0.957980,0.930766,0.922551,0.953714,0.977270,6.932724,7.146386,0.596590,0.885853,0.934399,0.961331,90.711514,
2,0.967458,0.942488,0.942592,0.960669,0.984620,6.726403,6.932724,0.600728,0.897373,0.944061,0.966977,93.376110,
3,0.957615,0.934477,0.923301,0.942981,0.980873,6.487056,6.726403,0.574881,0.874073,0.926618,0.955475,89.338273,
4,0.968245,0.939835,0.941045,0.960531,0.985870,6.363400,6.487056,0.607424,0.909876,0.953125,0.972161,93.941653,
5,0.960571,0.924216,0.919087,0.955025,0.982473,6.135891,6.363400,0.573272,0.882212,0.934557,0.959855,90.245065,
6,0.964044,0.934398,0.933602,0.955472,0.983927,5.762312,6.135891,0.587172,0.896415,0.945483,0.967349,91.614849,
7,0.958131,0.933079,0.924946,0.957446,0.975268,5.647958,5.762312,0.580792,0.883055,0.934315,0.957730,88.979307,
8,0.975395,0.954570,0.954840,0.976507,0.986864,5.356437,5.647958,0.657720,0.941358,0.972282,0.983560,96.117651,
9,0.958821,0.931442,0.918757,0.953086,0.982666,4.964181,5.356437,0.593147,0.891160,0.940626,0.964212,89.098247,
10,0.965580,0.933082,0.932390,0.964922,0.984841,4.539202,4.964181,0.607829,0.906615,0.950801,0.970787,91.006393,
11,0.959311,0.934186,0.929011,0.958130,0.976078,4.457428,4.539202,0.597808,0.890591,0.937531,0.959879,88.130989,
12,0.972055,0.947505,0.949256,0.967461,0.987584,4.415695,4.457428,0.634430,0.919664,0.958197,0.975914,92.989861,
13,0.958344,0.938423,0.931164,0.950555,0.976370,4.415695,4.415695,0.599414,0.884582,0.931661,0.959525,87.595584,
14,0.966666,0.939789,0.939920,0.964250,0.982223,4.566179,4.566179,0.612624,0.899297,0.944152,0.968800,90.819770,
15,0.960977,0.936596,0.930203,0.959001,0.976815,5.980486,5.980486,0.600823,0.883138,0.931524,0.957304,89.819986,
