Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.990573,0.978245,0.985454,0.990694,0.994606,0.000000,0.000000,0.794741,0.981724,0.990770,0.994362,94.419932,
1,0.955254,0.923327,0.907333,0.950737,0.979631,6.932724,7.146386,0.589135,0.887655,0.935465,0.961377,90.176011,
2,0.965459,0.941317,0.929324,0.961923,0.984063,6.726403,6.932724,0.594803,0.897553,0.944449,0.968355,93.069815,
3,0.947521,0.922622,0.895361,0.933508,0.976251,6.487056,6.726403,0.543916,0.859357,0.917173,0.948596,86.275773,
4,0.968494,0.937907,0.935453,0.961762,0.987727,6.363400,6.487056,0.603739,0.908929,0.953538,0.974362,94.184952,
5,0.954719,0.916514,0.912348,0.942884,0.980654,6.135891,6.363400,0.562810,0.874501,0.930319,0.959769,88.808615,
6,0.961052,0.928324,0.919101,0.962285,0.979524,5.762312,6.135891,0.581750,0.891732,0.942609,0.967796,90.881707,
7,0.952371,0.921562,0.904516,0.953427,0.974617,5.647958,5.762312,0.568364,0.879338,0.932585,0.958791,87.761832,
8,0.974367,0.949987,0.950623,0.974693,0.988331,5.356437,5.647958,0.646622,0.932651,0.967100,0.980983,95.437397,
9,0.955235,0.930162,0.913361,0.954375,0.976112,4.964181,5.356437,0.582352,0.887543,0.939068,0.963271,88.194285,
10,0.961373,0.934026,0.930146,0.958163,0.980446,4.539202,4.964181,0.594294,0.892371,0.941295,0.966301,89.335704,
11,0.958528,0.931501,0.921574,0.958617,0.977172,4.457428,4.539202,0.595799,0.893336,0.941507,0.964730,88.513864,
12,0.969489,0.946219,0.948545,0.959485,0.987419,4.415695,4.457428,0.627787,0.917248,0.957874,0.976994,92.504555,
13,0.953979,0.927383,0.919472,0.945304,0.976393,4.415695,4.415695,0.591334,0.889030,0.936397,0.960554,86.948511,
14,0.962833,0.932645,0.934388,0.960656,0.979476,4.566179,4.566179,0.609124,0.900839,0.944419,0.967115,89.878220,
15,0.960063,0.927119,0.924713,0.958047,0.979097,5.980486,5.980486,0.603162,0.894176,0.939129,0.962441,90.353254,
16,0.979234,0.955596,0.964375,0.977508,0.989628,6.839999,6.839999,0.671227,0.942339,0.971548,0.983191,98.658245,
17,0.962131,0.932791,0.923993,0.957105,0.982053,7.346855,7.346855,0.604439,0.895581,0.942256,0.965077,92.711302,
18,0.964649,0.942910,0.924860,0.967032,0.979797,7.824231,7.824231,0.597324,0.889100,0.937831,0.962249,93.375793,
19,0.952831,0.926672,0.911012,0.948649,0.974667,8.303477,8.303477,0.585531,0.875970,0.928635,0.956400,90.519868,
20,0.969517,0.944164,0.940095,0.963023,0.987472,8.069918,8.652019,0.620115,0.908872,0.953233,0.974223,96.339797,
21,0.959438,0.930857,0.919641,0.960234,0.977298,7.720404,8.069918,0.591166,0.882653,0.934675,0.961805,91.962859,
22,0.966418,0.941304,0.937134,0.968103,0.980267,7.582816,7.720404,0.613781,0.898467,0.943914,0.965618,94.023435,
23,0.956349,0.932269,0.911928,0.954750,0.978245,7.550639,7.582816,0.603889,0.886939,0.936637,0.962489,91.250733,
24,0.975061,0.952810,0.954304,0.974061,0.986851,7.123490,7.550639,0.665990,0.934505,0.966919,0.981453,97.714321,
25,0.954654,0.936117,0.917232,0.949861,0.974109,6.523065,7.123490,0.607115,0.883057,0.933227,0.961098,89.457790,
26,0.964677,0.937149,0.930059,0.962161,0.983841,6.421107,6.523065,0.618781,0.899491,0.945830,0.970217,92.758156,
27,0.958141,0.929352,0.918040,0.950605,0.981753,6.376199,6.421107,0.601459,0.885862,0.935464,0.965254,90.457443,
28,0.969887,0.947485,0.940190,0.968570,0.985710,6.236766,6.376199,0.635803,0.910440,0.952660,0.973604,94.247346,
29,0.960032,0.937298,0.921860,0.958064,0.979050,6.059467,6.236766,0.611539,0.892197,0.939069,0.961988,90.397186,
30,0.965015,0.943867,0.936716,0.964139,0.979405,5.922710,6.059467,0.632236,0.907753,0.949174,0.969179,92.323541,
31,0.965574,0.942289,0.931194,0.961517,0.984536,5.885519,5.922710,0.650864,0.912399,0.949131,0.967012,92.238124,
32,0.988715,0.974950,0.977842,0.988035,0.995669,5.711262,5.885519,0.780638,0.976716,0.988921,0.993157,100.000000,
33,0.962321,0.944189,0.922632,0.959087,0.982587,5.438617,5.711262,0.640296,0.905980,0.945776,0.967725,90.908580,
34,0.968179,0.947534,0.936321,0.963719,0.985327,4.416277,5.438617,0.637852,0.907525,0.947781,0.970353,91.243464,
35,0.955438,0.933010,0.914284,0.946446,0.978453,3.825669,4.416277,0.619554,0.889623,0.933151,0.955901,86.034578,
36,0.968371,0.948259,0.946072,0.962580,0.983495,3.114298,3.825669,0.656265,0.923015,0.959069,0.975954,90.642748,
37,0.957376,0.937248,0.917875,0.953728,0.976917,3.114298,3.114298,0.628942,0.895753,0.936481,0.959790,86.027043,
38,0.965478,0.946619,0.927316,0.962273,0.984528,3.138537,3.138537,0.641153,0.914293,0.953514,0.974657,89.700946,
39,0.949235,0.935431,0.898675,0.951094,0.968688,3.033360,3.147941,0.626591,0.896814,0.940393,0.962675,84.579344,
40,0.977805,0.961752,0.959456,0.976999,0.988921,3.033360,3.033360,0.697198,0.949862,0.975094,0.985941,94.127904,
41,0.960087,0.936340,0.926673,0.949440,0.984287,2.955781,3.041119,0.641832,0.914029,0.951874,0.972314,88.061100,
42,0.968917,0.947188,0.932248,0.970992,0.985522,2.955781,2.955781,0.643668,0.921536,0.957767,0.974209,90.376583,
43,0.961199,0.940888,0.925372,0.953062,0.983658,3.349617,3.349617,0.621019,0.902851,0.945536,0.967107,88.103145,
44,0.970529,0.953948,0.948997,0.963433,0.987006,3.469608,3.469608,0.652067,0.921808,0.958312,0.975085,91.444273,
