Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.984403,0.966771,0.973102,0.985128,0.991115,0.000000,0.000000,0.712949,0.961853,0.981314,0.988627,92.190647,
1,0.950561,0.920381,0.907220,0.943836,0.974452,6.932724,7.146386,0.557180,0.860411,0.915069,0.945050,87.061281,
2,0.958583,0.923974,0.908409,0.955719,0.983375,6.726403,6.932724,0.539607,0.847429,0.909525,0.945089,88.328407,
3,0.939627,0.913408,0.889262,0.926013,0.967838,6.487056,6.726403,0.504640,0.816743,0.885228,0.924443,81.576917,
4,0.956871,0.919433,0.904473,0.950554,0.982913,6.363400,6.487056,0.532487,0.849130,0.912652,0.945662,87.727956,
5,0.945979,0.906696,0.896510,0.927512,0.977809,6.135891,6.363400,0.506018,0.817507,0.887850,0.927820,82.876666,
6,0.952177,0.915837,0.890692,0.936362,0.987004,5.762312,6.135891,0.526017,0.835613,0.902309,0.939335,85.163703,
7,0.941429,0.902758,0.891970,0.937753,0.968975,5.647958,5.762312,0.525195,0.832946,0.899162,0.935601,82.353269,
8,0.962667,0.934880,0.929176,0.963029,0.980923,5.356437,5.647958,0.580898,0.892103,0.941286,0.962337,90.272684,
9,0.950013,0.918365,0.913685,0.947999,0.971138,4.964181,5.356437,0.538013,0.843884,0.904867,0.938849,83.833513,
10,0.950628,0.922693,0.915507,0.946701,0.971645,4.539202,4.964181,0.541368,0.847945,0.909951,0.941503,83.871879,
11,0.941849,0.920014,0.910058,0.935229,0.961944,4.457428,4.539202,0.531549,0.834901,0.900138,0.938128,81.297126,
12,0.954622,0.922621,0.914637,0.949404,0.977758,4.415695,4.457428,0.554152,0.864149,0.924103,0.954840,86.159331,
13,0.939386,0.912897,0.900461,0.930593,0.963312,4.415695,4.415695,0.529891,0.834793,0.898894,0.936512,80.559473,
14,0.951177,0.916503,0.906360,0.953322,0.971503,4.566179,4.566179,0.539735,0.844157,0.907381,0.944215,84.129828,
15,0.950470,0.920723,0.907511,0.950770,0.969924,5.980486,5.980486,0.543697,0.840773,0.903580,0.938336,85.003288,
16,0.968224,0.937271,0.935101,0.967042,0.985488,6.839999,6.839999,0.589103,0.891428,0.940672,0.963120,93.216511,
17,0.952597,0.925610,0.915125,0.944173,0.973778,7.346855,7.346855,0.544133,0.839390,0.899745,0.932208,86.375246,
18,0.951795,0.926720,0.901165,0.951979,0.972171,7.824231,7.824231,0.537845,0.828273,0.891659,0.931058,86.341531,
19,0.944393,0.921848,0.900388,0.934270,0.970014,8.303477,8.303477,0.530564,0.819218,0.883343,0.921940,84.301579,
20,0.957094,0.929269,0.917218,0.953637,0.976961,8.069918,8.652019,0.559694,0.858016,0.916451,0.947067,89.939007,
21,0.947766,0.917375,0.902818,0.945593,0.969463,7.720404,8.069918,0.539351,0.835758,0.896586,0.931877,85.619479,
22,0.953829,0.930065,0.912416,0.951520,0.973776,7.582816,7.720404,0.555159,0.849057,0.909507,0.943521,88.148815,
23,0.948294,0.921232,0.908244,0.937326,0.975592,7.550639,7.582816,0.555627,0.843685,0.901430,0.935586,86.006568,
24,0.964990,0.940458,0.934791,0.961288,0.981896,7.123490,7.550639,0.600053,0.895032,0.943064,0.965917,93.170548,
25,0.955662,0.928570,0.912259,0.949593,0.979752,6.523065,7.123490,0.571812,0.857401,0.914545,0.946430,87.765697,
26,0.951758,0.923295,0.905350,0.948937,0.975235,6.421107,6.523065,0.560092,0.851801,0.911173,0.946041,86.657225,
27,0.954870,0.926447,0.909895,0.950468,0.978033,6.376199,6.421107,0.559171,0.853744,0.913210,0.949253,87.598837,
28,0.960373,0.933243,0.921820,0.957709,0.981109,6.236766,6.376199,0.580519,0.872961,0.928177,0.957784,89.884064,
29,0.957017,0.930343,0.920134,0.945841,0.982233,6.059467,6.236766,0.566902,0.856123,0.912690,0.942276,87.130911,
30,0.951493,0.935251,0.919276,0.944964,0.969491,5.922710,6.059467,0.575474,0.862076,0.915907,0.945983,86.205959,
31,0.958541,0.939482,0.924068,0.953266,0.977337,5.885519,5.922710,0.598350,0.877026,0.925673,0.951867,88.518099,
32,0.981294,0.963338,0.964027,0.982211,0.990252,5.711262,5.885519,0.699296,0.952525,0.976461,0.986497,98.295037,
33,0.961965,0.944234,0.929963,0.958669,0.979459,5.438617,5.711262,0.606910,0.888438,0.934854,0.959852,89.739357,
34,0.956284,0.936075,0.929706,0.948454,0.973527,4.416277,5.438617,0.582262,0.866725,0.918217,0.946827,85.623679,
35,0.952351,0.929789,0.913884,0.945298,0.973418,3.825669,4.416277,0.573714,0.856463,0.910041,0.939695,83.218579,
36,0.960068,0.934992,0.921333,0.964160,0.975602,3.114298,3.825669,0.589577,0.878725,0.928631,0.953190,85.793018,
37,0.949646,0.927720,0.908653,0.946106,0.970004,3.114298,3.114298,0.578426,0.860960,0.911965,0.940911,81.959470,
38,0.949839,0.930997,0.900227,0.947532,0.972222,3.138537,3.138537,0.585809,0.875731,0.927927,0.955539,83.798179,
39,0.949842,0.930857,0.903212,0.944254,0.973719,3.033360,3.147941,0.590134,0.874288,0.926729,0.954746,83.555536,
40,0.966163,0.945599,0.932454,0.965790,0.983672,3.033360,3.033360,0.634067,0.918494,0.956618,0.974185,89.828869,
41,0.956744,0.932399,0.916887,0.947656,0.982344,2.955781,3.041119,0.591321,0.879744,0.929079,0.953408,84.925872,
42,0.956316,0.933480,0.909451,0.951569,0.981209,2.955781,2.955781,0.585176,0.873702,0.924561,0.949577,84.357911,
43,0.952949,0.933742,0.912918,0.944974,0.976481,3.349617,3.349617,0.577928,0.865186,0.919632,0.949616,83.924438,
44,0.958847,0.936079,0.929274,0.952395,0.979340,3.469608,3.469608,0.588624,0.881550,0.931355,0.955225,86.233210,
45,0.953390,0.935285,0.919992,0.945004,0.975241,3.936929,3.936929,0.572044,0.860682,0.913384,0.942422,83.916022,
46,0.956457,0.930839,0.921373,0.952694,0.976659,3.996175,3.996175,0.573223,0.859748,0.913349,0.943077,84.686884,
47,0.956186,0.929125,0.915593,0.948976,0.980936,4.098707,4.098707,0.578801,0.869934,0.920456,0.948279,85.434263,
48,0.967475,0.941945,0.934372,0.967070,0.983988,4.330342,4.330342,0.610972,0.905847,0.948865,0.966381,90.732100,
49,0.954815,0.930826,0.921107,0.955652,0.970924,4.468635,4.468635,0.572190,0.867303,0.921491,0.950621,85.809194,
50,0.955066,0.936682,0.920717,0.947261,0.974996,4.675571,4.675571,0.563757,0.856130,0.913487,0.946480,85.469683,
51,0.957707,0.926212,0.926171,0.950009,0.979576,4.531422,4.711752,0.561275,0.852261,0.909233,0.943451,85.461716,
52,0.960066,0.931780,0.916128,0.958056,0.981084,4.238189,4.531422,0.574582,0.871966,0.925601,0.956892,87.312304,
53,0.953212,0.928544,0.902704,0.948491,0.977147,3.863943,4.238189,0.567392,0.866467,0.922206,0.953518,85.012834,
54,0.954612,0.932118,0.911407,0.950346,0.976415,3.712129,3.863943,0.575339,0.872794,0.925824,0.955505,85.424445,
55,0.950375,0.931626,0.917012,0.934935,0.974695,3.308479,3.712129,0.579582,0.877274,0.928537,0.957456,84.298860,
56,0.965698,0.945073,0.936681,0.961514,0.982909,3.287753,3.308479,0.621081,0.916606,0.955300,0.973158,89.909682,
57,0.954268,0.933419,0.916897,0.948102,0.975561,3.245438,3.287753,0.573871,0.875425,0.926646,0.956423,84.901771,
58,0.956085,0.928553,0.916708,0.947713,0.980392,3.245438,3.245438,0.576412,0.879112,0.930592,0.959428,85.683864,
59,0.947529,0.922367,0.895689,0.946716,0.971292,3.257536,3.257536,0.565947,0.861465,0.914865,0.946403,82.239098,
60,0.961652,0.935426,0.923698,0.953805,0.984601,3.355467,3.355467,0.599125,0.892967,0.939179,0.964905,87.776138,
61,0.949050,0.925809,0.906695,0.940175,0.973059,3.516947,3.516947,0.576765,0.871933,0.922789,0.952745,83.666453,
62,0.955956,0.932489,0.923372,0.952230,0.973653,3.684656,3.684656,0.591355,0.880941,0.930067,0.954204,85.737139,
63,0.954253,0.932243,0.916394,0.944109,0.976645,3.730235,3.730235,0.599402,0.890675,0.938271,0.961779,86.357804,
64,0.982117,0.962396,0.965315,0.985412,0.989696,3.806345,3.806345,0.709311,0.958964,0.980056,0.988388,96.474927,
65,0.956376,0.932156,0.912846,0.950617,0.979315,3.742148,3.849193,0.595690,0.881200,0.927374,0.950967,85.528377,
66,0.956730,0.926241,0.914241,0.952865,0.980181,3.495389,3.742148,0.577906,0.868922,0.920412,0.948129,84.820151,
67,0.945904,0.920061,0.906950,0.943935,0.966305,3.388505,3.495389,0.569619,0.857567,0.910580,0.941971,81.532912,
68,0.961770,0.930564,0.925618,0.964340,0.979593,3.315921,3.388505,0.598076,0.891557,0.938686,0.961832,87.491945,
69,0.940897,0.918305,0.899386,0.935008,0.963799,3.175405,3.315921,0.576526,0.868115,0.921657,0.950252,81.289534,
70,0.957374,0.923537,0.926276,0.956201,0.976306,3.056323,3.175405,0.587293,0.877829,0.929022,0.955061,85.312264,
71,0.955612,0.923297,0.921475,0.951648,0.977578,2.998017,3.056323,0.591748,0.880953,0.929651,0.953645,84.777366,
72,0.967051,0.945291,0.942592,0.965013,0.982221,2.960530,2.998017,0.635026,0.922852,0.959782,0.975878,90.208829,
73,0.947401,0.924485,0.912062,0.942556,0.967831,2.903926,2.960530,0.584760,0.870542,0.921569,0.948358,82.182124,
74,0.957199,0.924815,0.920858,0.954837,0.978819,2.896972,2.903926,0.588900,0.876568,0.929256,0.954149,85.019037,
75,0.945975,0.917666,0.903184,0.941186,0.971031,2.889364,2.896972,0.574663,0.857814,0.911626,0.939448,80.793844,
76,0.954631,0.929170,0.916507,0.957804,0.972136,2.889364,2.889364,0.598599,0.886921,0.935991,0.964083,85.507853,
77,0.952628,0.919076,0.911364,0.949707,0.976832,2.972355,3.006500,0.578625,0.866493,0.919307,0.947958,83.261600,
78,0.951664,0.918387,0.914233,0.948995,0.974540,2.853365,2.972355,0.583799,0.872946,0.925480,0.951121,83.403180,
79,0.949419,0.922982,0.900086,0.944725,0.975705,2.707204,2.853365,0.586263,0.874134,0.923024,0.948474,82.440157,
80,0.968286,0.943865,0.939455,0.966776,0.985058,2.647741,2.707204,0.638368,0.922689,0.959937,0.975352,90.051082,
81,0.951373,0.931761,0.906393,0.950862,0.971177,2.647741,2.647741,0.596364,0.883487,0.928816,0.952836,83.347319,
82,0.955773,0.926996,0.915521,0.952528,0.977181,2.640247,2.700222,0.595840,0.882017,0.929601,0.956077,84.560730,
83,0.953197,0.920575,0.905338,0.952837,0.976486,2.640247,2.640247,0.590995,0.876683,0.925872,0.956081,83.862999,
