name,avg_vmaf
parkjoy1080p_37qp_0fr_50fps_medium-preset_8t,58.678840122
parkjoy1080p_32qp_0fr_50fps_fast-preset_8t,74.03143081
parkjoy1080p_37qp_0fr_50fps_faster-preset_8t,52.333107296
parkjoy1080p_37qp_0fr_50fps_slower-preset_8t,60.238821674
parkjoy1080p_22qp_0fr_50fps_slower-preset_8t,99.258309978
parkjoy1080p_22qp_0fr_50fps_fast-preset_8t,98.797090882
parkjoy1080p_27qp_0fr_50fps_slower-preset_8t,92.073616034
parkjoy1080p_22qp_0fr_50fps_slow-preset_8t,99.22692649
parkjoy1080p_32qp_0fr_50fps_slow-preset_8t,77.04727427
parkjoy1080p_37qp_0fr_50fps_fast-preset_8t,55.145387812
parkjoy1080p_27qp_0fr_50fps_fast-preset_8t,89.788513846
parkjoy1080p_22qp_0fr_50fps_faster-preset_8t,98.296678816
parkjoy1080p_27qp_0fr_50fps_medium-preset_8t,91.52926863
parkjoy1080p_22qp_0fr_50fps_medium-preset_8t,99.211473598
parkjoy1080p_32qp_0fr_50fps_faster-preset_8t,71.420309384
parkjoy1080p_32qp_0fr_50fps_medium-preset_8t,76.596106618
parkjoy1080p_27qp_0fr_50fps_slow-preset_8t,91.818069132
parkjoy1080p_37qp_0fr_50fps_slow-preset_8t,59.428202534
parkjoy1080p_32qp_0fr_50fps_slower-preset_8t,77.592333374
parkjoy1080p_27qp_0fr_50fps_faster-preset_8t,87.720300322
