Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.995362,0.983772,0.992079,0.997983,0.999226,0.000000,0.000000,0.807281,0.994068,0.997529,0.998691,96.162870,
1,0.970633,0.942631,0.951687,0.974259,0.988452,12.545672,12.545672,0.455458,0.927610,0.965962,0.981045,100.000000,
2,0.970145,0.938158,0.952483,0.973152,0.989146,12.699924,12.699924,0.451291,0.929952,0.967422,0.982192,100.000000,
3,0.966035,0.933038,0.945916,0.970099,0.986004,12.233448,12.879362,0.429419,0.918746,0.961260,0.978580,100.000000,
4,0.976808,0.948406,0.964879,0.979656,0.991353,11.826159,12.233448,0.470398,0.949154,0.976888,0.987621,100.000000,
5,0.966857,0.934623,0.946605,0.970379,0.986074,11.826159,11.826159,0.422227,0.921682,0.962356,0.978927,100.000000,
6,0.970270,0.939788,0.953573,0.972601,0.987807,12.701688,12.711871,0.435009,0.931108,0.967547,0.981919,100.000000,
7,0.969775,0.937022,0.950196,0.974617,0.987657,12.701688,12.701688,0.423780,0.925579,0.964785,0.980437,100.000000,
8,0.985727,0.966421,0.977636,0.987728,0.994825,13.041832,13.041832,0.551093,0.973630,0.988572,0.993784,100.000000,
9,0.969996,0.941948,0.950658,0.970856,0.988848,12.819995,13.058935,0.427462,0.925697,0.964863,0.980876,100.000000,
10,0.971999,0.940332,0.954376,0.974311,0.990219,12.819995,12.819995,0.432393,0.930188,0.967551,0.982336,100.000000,
11,0.969724,0.939514,0.950325,0.973742,0.987569,13.369892,13.369892,0.431237,0.922339,0.963485,0.979817,100.000000,
12,0.977561,0.953877,0.965482,0.979408,0.990931,13.422387,13.422387,0.482763,0.949895,0.977407,0.987554,100.000000,
13,0.967574,0.935752,0.947585,0.969913,0.988402,12.598223,13.590824,0.432032,0.921318,0.962784,0.979206,100.000000,
14,0.970827,0.940903,0.953804,0.972678,0.989854,12.197645,12.598223,0.447047,0.929147,0.967040,0.982366,100.000000,
15,0.970397,0.940799,0.954148,0.973190,0.988388,10.726541,12.197645,0.453647,0.926936,0.964929,0.980224,100.000000,
16,0.986126,0.969127,0.979733,0.987961,0.994720,10.726541,10.726541,0.546512,0.966192,0.984083,0.990802,100.000000,
17,0.969679,0.939448,0.952962,0.973607,0.987865,10.544472,10.831574,0.450981,0.928839,0.966029,0.981161,100.000000,
