Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.986970,0.971262,0.979707,0.988017,0.995889,0.000000,0.000000,0.619180,0.980147,0.991589,0.995772,93.970096,
1,0.946490,0.912831,0.913016,0.949162,0.975417,12.545672,12.545672,0.367325,0.842961,0.912390,0.947296,92.099656,
2,0.942458,0.903375,0.907662,0.943150,0.975693,12.699924,12.699924,0.349431,0.840370,0.913772,0.949556,91.622785,
3,0.935233,0.892227,0.896190,0.940186,0.968947,12.233448,12.879362,0.323581,0.811329,0.893260,0.935950,87.882434,
4,0.948895,0.906900,0.919961,0.951890,0.977914,11.826159,12.233448,0.350276,0.864206,0.929956,0.960138,93.606859,
5,0.935680,0.892056,0.895209,0.938554,0.970348,11.826159,11.826159,0.314633,0.815722,0.895994,0.936841,87.759011,
6,0.941461,0.898930,0.906512,0.944370,0.972543,12.701688,12.711871,0.327233,0.837186,0.911041,0.946924,91.104333,
7,0.938577,0.894092,0.902271,0.944883,0.968378,12.701688,12.701688,0.319704,0.827984,0.903980,0.942084,89.866520,
8,0.966045,0.930420,0.946579,0.969701,0.985240,13.041832,13.041832,0.404472,0.915025,0.959869,0.977900,100.000000,
9,0.942424,0.905131,0.907143,0.941375,0.974187,12.819995,13.058935,0.321106,0.827522,0.904252,0.942507,90.822241,
10,0.942613,0.901010,0.907735,0.945754,0.972629,12.819995,12.819995,0.319376,0.831809,0.909105,0.947459,91.423925,
11,0.937964,0.900078,0.901197,0.941780,0.968104,13.369892,13.369892,0.317011,0.814041,0.896132,0.937534,89.725839,
12,0.952065,0.915409,0.925167,0.954791,0.977285,13.422387,13.422387,0.356948,0.863297,0.929859,0.959830,95.743265,
13,0.933117,0.892213,0.894922,0.935520,0.967378,12.598223,13.590824,0.315346,0.807113,0.890370,0.933625,87.508171,
14,0.940252,0.899331,0.905973,0.941997,0.973098,12.197645,12.598223,0.330181,0.830452,0.907896,0.945932,90.189507,
15,0.940462,0.900686,0.909695,0.943044,0.970725,10.726541,12.197645,0.338885,0.828571,0.903750,0.941901,88.353423,
16,0.965857,0.932916,0.950590,0.969040,0.984493,10.726541,10.726541,0.407817,0.906480,0.953437,0.972954,98.163200,
17,0.938003,0.896999,0.905229,0.941887,0.969876,10.544472,10.831574,0.332191,0.829214,0.904979,0.943287,87.818603,
18,0.940915,0.898936,0.910938,0.943976,0.972147,10.544472,10.544472,0.335360,0.837642,0.912202,0.948149,89.072198,
19,0.933329,0.887654,0.896866,0.938580,0.967651,11.336177,11.336177,0.317742,0.810966,0.893389,0.935763,86.631404,
20,0.943943,0.902720,0.915249,0.946789,0.972811,11.370445,11.370445,0.342702,0.845393,0.916294,0.950514,90.842366,
21,0.931701,0.889459,0.892072,0.933568,0.967129,11.139047,11.820625,0.320128,0.806020,0.889508,0.933293,85.778800,
22,0.938942,0.892298,0.903790,0.942766,0.972557,11.139047,11.139047,0.333931,0.830339,0.907556,0.945576,88.866103,
23,0.939553,0.891912,0.904564,0.944755,0.972047,10.894889,11.786671,0.338197,0.820524,0.899785,0.940148,88.052564,
24,0.958677,0.915594,0.940054,0.963843,0.980602,10.894889,10.894889,0.395115,0.890782,0.945122,0.969012,96.115088,
25,0.935887,0.889020,0.902293,0.941797,0.967420,11.468954,11.468954,0.341043,0.814978,0.896223,0.938032,87.551994,
26,0.937120,0.892416,0.904489,0.941392,0.968032,12.282783,12.282783,0.351954,0.824843,0.903779,0.943690,89.290178,
