Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.992658,0.983581,0.988766,0.994670,0.996987,0.000000,0.000000,0.772905,0.990272,0.995650,0.997601,95.404300,
1,0.964339,0.924632,0.942035,0.969184,0.989598,11.449331,11.449331,0.470619,0.922321,0.963147,0.979664,99.579618,
2,0.964722,0.930531,0.944989,0.969846,0.986341,11.639974,11.639974,0.467182,0.923299,0.963117,0.979355,99.824680,
3,0.960409,0.914935,0.938140,0.967882,0.985534,11.270910,11.824476,0.445970,0.913392,0.958356,0.976789,98.087075,
4,0.972803,0.944111,0.960404,0.975820,0.988516,10.946801,11.270910,0.496776,0.940960,0.972332,0.984617,100.000000,
5,0.960794,0.917930,0.938879,0.964939,0.985783,10.946801,10.946801,0.439055,0.914870,0.958865,0.976778,97.863950,
6,0.965942,0.931252,0.945574,0.966964,0.988875,11.760733,11.760733,0.457510,0.923864,0.963019,0.978825,100.000000,
7,0.963266,0.920354,0.939643,0.968619,0.987267,11.825182,11.825182,0.450577,0.920378,0.961662,0.978247,99.521814,
8,0.983897,0.965217,0.975654,0.985167,0.993998,12.189578,12.208318,0.575850,0.967668,0.985490,0.992148,100.000000,
9,0.963806,0.925118,0.940943,0.970734,0.984974,11.935991,12.189578,0.451139,0.919791,0.961836,0.978690,99.788103,
10,0.966631,0.932670,0.947022,0.970147,0.987224,11.935991,11.935991,0.453693,0.922832,0.963550,0.980288,100.000000,
11,0.961688,0.921970,0.939598,0.967832,0.984109,12.433972,12.433972,0.444952,0.914261,0.958887,0.977108,99.551374,
12,0.972355,0.948229,0.960756,0.973988,0.987360,12.466149,12.466149,0.501738,0.941308,0.972675,0.984958,100.000000,
13,0.959844,0.922012,0.939021,0.965404,0.983618,11.597003,12.576557,0.440957,0.912178,0.957905,0.977225,98.298510,
14,0.964957,0.933145,0.947364,0.967421,0.986135,11.160918,11.597003,0.460619,0.922997,0.963085,0.979323,99.385456,
15,0.962512,0.923446,0.943606,0.968493,0.985738,9.894833,11.160918,0.464031,0.920519,0.961750,0.978825,97.469766,
16,0.982582,0.965874,0.975889,0.985034,0.991924,9.894833,9.894833,0.583550,0.965138,0.983476,0.990440,100.000000,
17,0.962989,0.927069,0.943011,0.967233,0.987163,9.629407,9.903625,0.466577,0.921464,0.962508,0.979599,97.393236,
