Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.985602,0.966918,0.979694,0.987900,0.994707,0.000000,0.000000,0.616671,0.974892,0.989083,0.994189,93.418916,
1,0.948004,0.904420,0.922423,0.953297,0.976419,11.449331,11.449331,0.389313,0.849255,0.915149,0.947766,91.513461,
2,0.939344,0.889011,0.908242,0.948837,0.970788,11.639974,11.639974,0.362223,0.838842,0.912322,0.947957,89.786402,
3,0.933836,0.879754,0.898323,0.941805,0.969991,11.270910,11.824476,0.340095,0.812344,0.892292,0.933753,86.463938,
4,0.943954,0.897995,0.915652,0.948104,0.974636,10.946801,11.270910,0.369088,0.859459,0.926589,0.957493,91.374072,
5,0.931859,0.878280,0.899200,0.935865,0.966997,10.946801,10.946801,0.329733,0.811884,0.891536,0.932982,85.659093,
6,0.935884,0.882606,0.902603,0.937871,0.971896,11.760733,11.760733,0.344760,0.830029,0.905347,0.942378,88.489750,
7,0.938837,0.886726,0.906817,0.943472,0.971272,11.825182,11.825182,0.344827,0.827159,0.901600,0.938733,88.748467,
8,0.963652,0.927026,0.943679,0.965579,0.985986,12.189578,12.208318,0.430905,0.909125,0.956497,0.975498,99.481397,
9,0.940187,0.895014,0.911506,0.946224,0.967674,11.935991,12.189578,0.342277,0.824662,0.900315,0.938022,89.036219,
10,0.939162,0.888092,0.908456,0.944727,0.970588,11.935991,11.935991,0.336785,0.829660,0.905970,0.943752,89.472802,
11,0.933022,0.886808,0.904453,0.934733,0.964985,12.433972,12.433972,0.329226,0.809101,0.891254,0.933827,87.377323,
12,0.946013,0.905769,0.922957,0.948017,0.973833,12.466149,12.466149,0.368757,0.854940,0.923922,0.955711,93.027532,
13,0.929996,0.881419,0.900828,0.936525,0.962547,11.597003,12.576557,0.327725,0.808332,0.889580,0.932138,85.768143,
14,0.935473,0.888164,0.908467,0.938728,0.967797,11.160918,11.597003,0.341303,0.828523,0.905300,0.943006,87.876553,
15,0.936095,0.890968,0.909694,0.940715,0.967687,9.894833,11.160918,0.355997,0.831490,0.903648,0.940879,86.519744,
16,0.964686,0.934084,0.951049,0.968372,0.983362,9.894833,9.894833,0.440000,0.910881,0.955254,0.973774,97.232357,
17,0.936982,0.892264,0.912198,0.942021,0.967227,9.629407,9.903625,0.353999,0.832655,0.905403,0.942511,86.633267,
18,0.935760,0.885261,0.904271,0.943241,0.970256,9.629407,9.629407,0.346236,0.832529,0.907879,0.945593,86.718588,
19,0.931144,0.878054,0.900187,0.937211,0.966556,10.271667,10.271667,0.333561,0.814327,0.895523,0.937320,85.325283,
20,0.941596,0.896141,0.916510,0.942708,0.974692,10.278802,10.278802,0.361185,0.847182,0.917538,0.951389,89.391479,
21,0.928729,0.876927,0.894980,0.934209,0.966482,9.857967,10.579202,0.335398,0.812890,0.894300,0.936540,84.309155,
22,0.932020,0.880202,0.900067,0.936930,0.968103,9.857967,9.857967,0.343865,0.828426,0.905658,0.943713,85.942663,
23,0.936269,0.885832,0.909139,0.942491,0.968254,9.550590,10.417071,0.353756,0.826891,0.901978,0.940640,86.137315,
24,0.956121,0.915336,0.938902,0.962293,0.978865,9.550590,9.550590,0.418592,0.893680,0.945701,0.968601,94.212173,
25,0.935346,0.882747,0.909658,0.942573,0.967040,10.014263,10.014263,0.354562,0.824194,0.901097,0.940234,86.347090,
26,0.930749,0.876459,0.898136,0.935825,0.968829,10.748261,10.748261,0.347878,0.819352,0.900301,0.940607,86.123817,
27,0.929920,0.870343,0.897235,0.935435,0.968698,10.885224,10.885224,0.343031,0.807871,0.891499,0.934778,85.330859,
28,0.942843,0.891170,0.915357,0.946968,0.975609,11.069359,11.069359,0.377630,0.847531,0.919120,0.953624,90.664958,
29,0.933339,0.872116,0.898078,0.939479,0.973103,10.985383,11.589134,0.351203,0.813894,0.896166,0.939190,86.636011,
