Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.986555,0.970807,0.978740,0.988517,0.995929,0.000000,0.000000,0.647489,0.978732,0.990842,0.995281,93.759413,
1,0.952489,0.912502,0.925805,0.957228,0.980607,11.449331,11.449331,0.407796,0.863436,0.925265,0.955486,93.466291,
2,0.947105,0.900328,0.916750,0.953082,0.979656,11.639974,11.639974,0.385151,0.860837,0.927652,0.957927,92.792926,
3,0.941055,0.892181,0.908139,0.948516,0.974008,11.270910,11.824476,0.360804,0.837466,0.911665,0.946793,89.674803,
4,0.950314,0.906976,0.924792,0.952972,0.979567,10.946801,11.270910,0.389009,0.876317,0.937361,0.964380,93.694984,
5,0.938868,0.890064,0.908787,0.941548,0.971815,10.946801,10.946801,0.347467,0.829606,0.904188,0.941204,88.192973,
6,0.944759,0.894486,0.914950,0.947123,0.977478,11.760733,11.760733,0.363951,0.850731,0.919419,0.951718,91.602614,
7,0.948038,0.899574,0.919569,0.953272,0.976759,11.825182,11.825182,0.365035,0.848642,0.916831,0.949172,92.056225,
8,0.970319,0.938716,0.954055,0.972052,0.989004,12.189578,12.208318,0.459648,0.925498,0.965241,0.980711,100.000000,
9,0.949371,0.905462,0.923032,0.956130,0.974510,11.935991,12.189578,0.364491,0.848680,0.917142,0.949086,92.448942,
10,0.946016,0.898440,0.917321,0.952169,0.974573,11.935991,11.935991,0.358790,0.852684,0.921678,0.953665,92.274086,
11,0.941968,0.896315,0.915230,0.946261,0.970667,12.433972,12.433972,0.348688,0.830839,0.906961,0.944283,90.608440,
12,0.953294,0.914933,0.933545,0.957863,0.976317,12.466149,12.466149,0.386401,0.871177,0.933871,0.961688,95.441890,
13,0.939060,0.893239,0.910440,0.946322,0.969522,11.597003,12.576557,0.346662,0.830184,0.905480,0.943006,89.049500,
14,0.944803,0.900732,0.919067,0.948605,0.974649,11.160918,11.597003,0.362809,0.852000,0.921418,0.953212,91.226517,
15,0.943590,0.905635,0.921387,0.946608,0.970876,9.894833,11.160918,0.374730,0.851525,0.917845,0.950100,89.330023,
16,0.970083,0.943847,0.958633,0.972611,0.986475,9.894833,9.894833,0.457857,0.923188,0.962991,0.979003,99.166247,
17,0.944257,0.903151,0.919847,0.949841,0.972296,9.629407,9.903625,0.370734,0.851154,0.919218,0.951806,89.392570,
18,0.941790,0.895731,0.914612,0.948735,0.972177,9.629407,9.629407,0.363798,0.850784,0.920219,0.953168,89.023232,
19,0.938037,0.889869,0.910384,0.941812,0.971331,10.271667,10.271667,0.352795,0.834785,0.909960,0.946477,87.976389,
20,0.949538,0.907132,0.927501,0.952444,0.977955,10.278802,10.278802,0.383130,0.868107,0.930626,0.958712,92.147680,
21,0.935990,0.888605,0.905413,0.943320,0.968342,9.857967,10.579202,0.351510,0.828825,0.905482,0.943318,86.727864,
22,0.939704,0.890754,0.912882,0.943166,0.972677,9.857967,9.857967,0.359378,0.842853,0.915501,0.950607,88.437871,
